entidad,distrito,primer_lugar,segundo_lugar,tercer_lugar,votos_1ro,votos_2do,votos_3ro
,1,FCM,SHH,MC,109134.0,90589.0,15288.0
,1,SHH,FCM,MC,87776.0,60808.0,15030.0
,1,SHH,FCM,MC,110774.0,65966.0,15450.0
,1,SHH,MC,FCM,101973.0,84744.0,45978.0
,1,SHH,FCM,MC,170772.0,12235.0,11216.0
,1,SHH,FCM,MC,114462.0,22102.0,15018.0
,1,SHH,FCM,MC,151538.0,55784.0,19287.0
,1,SHH,FCM,MC,92012.0,91233.0,6410.0
,1,SHH,FCM,MC,77624.0,71068.0,32595.0
,1,SHH,FCM,MC,92926.0,70821.0,8552.0
,1,FCM,SHH,MC,83916.0,66700.0,11592.0
,1,SHH,FCM,MC,147603.0,46930.0,10592.0
,1,SHH,FCM,MC,164967.0,42645.0,11351.0
,1,SHH,MC,FCM,88479.0,61219.0,51595.0
,1,SHH,FCM,MC,137246.0,75855.0,14647.0
,1,SHH,FCM,MC,110207.0,33496.0,12691.0
,1,SHH,FCM,MC,96638.0,76549.0,27900.0
,1,SHH,MC,FCM,97648.0,33149.0,29261.0
,1,FCM,MC,SHH,105767.0,53826.0,51649.0
,1,SHH,FCM,MC,150116.0,31449.0,17508.0
,1,SHH,FCM,MC,121351.0,51246.0,15419.0
,1,SHH,FCM,MC,112486.0,75023.0,14621.0
,1,SHH,FCM,MC,140647.0,52751.0,10753.0
,1,SHH,FCM,MC,112070.0,35331.0,23369.0
,1,SHH,FCM,MC,122167.0,36463.0,8212.0
,1,SHH,FCM,MC,78945.0,39515.0,21926.0
,1,SHH,FCM,MC,116007.0,17909.0,12934.0
,1,SHH,FCM,MC,101216.0,80779.0,7221.0
,1,SHH,FCM,MC,124121.0,53091.0,48261.0
,1,SHH,FCM,MC,113374.0,59842.0,9727.0
,1,SHH,FCM,MC,113895.0,91030.0,4540.0
,1,SHH,FCM,MC,80664.0,73885.0,19239.0
,2,FCM,SHH,MC,90063.0,77616.0,20862.0
,2,SHH,FCM,MC,98873.0,44286.0,14428.0
,2,SHH,FCM,MC,79362.0,43598.0,8970.0
,2,SHH,MC,FCM,121322.0,56572.0,21936.0
,2,SHH,FCM,MC,112828.0,47561.0,5335.0
,2,SHH,FCM,MC,101889.0,13390.0,8499.0
,2,SHH,FCM,MC,137157.0,119685.0,26945.0
,2,SHH,FCM,MC,104547.0,83709.0,5072.0
,2,SHH,FCM,MC,88278.0,36460.0,21548.0
,2,SHH,FCM,MC,107455.0,69191.0,12101.0
,2,SHH,FCM,MC,92678.0,68715.0,14804.0
,2,SHH,FCM,MC,113644.0,18148.0,10771.0
,2,SHH,FCM,MC,159880.0,43334.0,17354.0
,2,MC,FCM,SHH,61009.0,60474.0,52937.0
,2,SHH,FCM,MC,111633.0,52545.0,19800.0
,2,SHH,FCM,MC,71361.0,52832.0,19571.0
,2,SHH,FCM,MC,122579.0,54925.0,23217.0
,2,SHH,FCM,MC,97032.0,42663.0,33979.0
,2,FCM,SHH,MC,79337.0,68209.0,37457.0
,2,SHH,FCM,MC,117528.0,40641.0,17591.0
,2,SHH,FCM,MC,120368.0,69334.0,11520.0
,2,SHH,FCM,MC,83940.0,70666.0,13673.0
,2,SHH,MC,FCM,141503.0,36431.0,30029.0
,2,SHH,FCM,MC,103700.0,36162.0,16148.0
,2,SHH,FCM,MC,124401.0,52793.0,15846.0
,2,SHH,FCM,MC,98023.0,40915.0,22220.0
,2,SHH,FCM,MC,131858.0,29182.0,12359.0
,2,SHH,FCM,MC,111858.0,37807.0,17087.0
,2,SHH,FCM,MC,150335.0,49433.0,30450.0
,2,SHH,FCM,MC,113531.0,47075.0,13098.0
