entidad,entidad_ascii,distrito,coalicion,grupo_parlamentario
AGUASCALIENTES,AGUASCALIENTES,1,FUERZA Y CORAZON POR MEXICO,PRI
AGUASCALIENTES,AGUASCALIENTES,2,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,BAJA CALIFORNIA,1,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,BAJA CALIFORNIA,2,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,BAJA CALIFORNIA,3,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,BAJA CALIFORNIA,5,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,BAJA CALIFORNIA,6,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,BAJA CALIFORNIA,7,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,BAJA CALIFORNIA,8,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,BAJA CALIFORNIA,9,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,1,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,2,FUERZA Y CORAZON POR MEXICO,PAN
CAMPECHE,CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRI
CAMPECHE,CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,1,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,2,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,CHIAPAS,3,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,4,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,6,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,7,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,CHIAPAS,9,FUERZA Y CORAZON POR MEXICO,PAN
CHIAPAS,CHIAPAS,10,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,11,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,8,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,CHIAPAS,5,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,CHIAPAS,12,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,CHIAPAS,13,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,CHIHUAHUA,1,FUERZA Y CORAZON POR MEXICO,PRD
CHIHUAHUA,CHIHUAHUA,2,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,CHIHUAHUA,3,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,CHIHUAHUA,4,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,CHIHUAHUA,5,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,CHIHUAHUA,6,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,CHIHUAHUA,7,FUERZA Y CORAZON POR MEXICO,PAN
CHIHUAHUA,CHIHUAHUA,8,FUERZA Y CORAZON POR MEXICO,PRI
CHIHUAHUA,CHIHUAHUA,9,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,1,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,2,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,3,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,4,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,5,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,6,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,7,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,8,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,9,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,10,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,11,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,12,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,13,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,14,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,15,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,16,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,17,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,18,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,19,FUERZA Y CORAZON POR MEXICO,PAN
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,20,FUERZA Y CORAZON POR MEXICO,PRD
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,21,FUERZA Y CORAZON POR MEXICO,PRI
CIUDAD DE MÉXICO,CIUDAD DE MEXICO,22,FUERZA Y CORAZON POR MEXICO,PRD
COAHUILA,COAHUILA,1,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,COAHUILA,2,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,COAHUILA,3,FUERZA Y CORAZON POR MEXICO,PAN
COAHUILA,COAHUILA,4,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,COAHUILA,5,FUERZA Y CORAZON POR MEXICO,PAN
COAHUILA,COAHUILA,6,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,COAHUILA,7,FUERZA Y CORAZON POR MEXICO,PRI
COAHUILA,COAHUILA,8,FUERZA Y CORAZON POR MEXICO,PRD
COLIMA,COLIMA,1,FUERZA Y CORAZON POR MEXICO,PAN
COLIMA,COLIMA,2,FUERZA Y CORAZON POR MEXICO,PRI
DURANGO,DURANGO,1,FUERZA Y CORAZON POR MEXICO,PAN
DURANGO,DURANGO,2,FUERZA Y CORAZON POR MEXICO,PRI
DURANGO,DURANGO,3,FUERZA Y CORAZON POR MEXICO,PRD
DURANGO,DURANGO,4,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,1,FUERZA Y CORAZON POR MEXICO,PRI
GUANAJUATO,GUANAJUATO,2,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,3,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,7,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,5,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,8,FUERZA Y CORAZON POR MEXICO,PRD
GUANAJUATO,GUANAJUATO,9,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,10,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,12,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,13,FUERZA Y CORAZON POR MEXICO,PRI
GUANAJUATO,GUANAJUATO,14,FUERZA Y CORAZON POR MEXICO,PAN
GUANAJUATO,GUANAJUATO,15,FUERZA Y CORAZON POR MEXICO,PAN
GUERRERO,GUERRERO,1,FUERZA Y CORAZON POR MEXICO,PRI
GUERRERO,GUERRERO,2,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,GUERRERO,3,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,GUERRERO,4,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,GUERRERO,5,FUERZA Y CORAZON POR MEXICO,PRD
GUERRERO,GUERRERO,6,FUERZA Y CORAZON POR MEXICO,PRI
GUERRERO,GUERRERO,7,FUERZA Y CORAZON POR MEXICO,PAN
GUERRERO,GUERRERO,8,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,HIDALGO,1,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,HIDALGO,2,FUERZA Y CORAZON POR MEXICO,PRD
HIDALGO,HIDALGO,3,FUERZA Y CORAZON POR MEXICO,PRD
HIDALGO,HIDALGO,4,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,HIDALGO,5,FUERZA Y CORAZON POR MEXICO,PAN
HIDALGO,HIDALGO,6,FUERZA Y CORAZON POR MEXICO,PRI
HIDALGO,HIDALGO,7,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,1,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,2,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,3,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,4,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,5,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,6,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,7,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,8,FUERZA Y CORAZON POR MEXICO,PAN
JALISCO,JALISCO,9,FUERZA Y CORAZON POR MEXICO,PRI
JALISCO,JALISCO,10,FUERZA Y CORAZON POR MEXICO,PAN
