entidad,distrito,coalicion,grupo_parlamentario
AGUASCALIENTES,1,FUERZA Y CORAZON POR MEXICO,PRI
AGUASCALIENTES,1,SIGAMOS HACIENDO HISTORIA,PVEM
AGUASCALIENTES,2,FUERZA Y CORAZON POR MEXICO,PAN
AGUASCALIENTES,2,SIGAMOS HACIENDO HISTORIA,MORENA
AGUASCALIENTES,3,SIGAMOS HACIENDO HISTORIA,MORENA
BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,5,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,6,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,7,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,8,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,9,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,10,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,11,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,11,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA,12,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA SUR,13,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA SUR,13,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA SUR,14,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA SUR,14,SIGAMOS HACIENDO HISTORIA,PT
CAMPECHE,15,SIGAMOS HACIENDO HISTORIA,MORENA
CAMPECHE,16,FUERZA Y CORAZON POR MEXICO,PRI
CAMPECHE,16,FUERZA Y CORAZON POR MEXICO,PRD
CAMPECHE,16,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,17,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,17,SIGAMOS HACIENDO HISTORIA,PT
CHIAPAS,18,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,18,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,19,FUERZA Y CORAZON POR MEXICO,PRD
