entidad_ascii,distrito,coalicion,grupo_parlamentario
AGUASCALIENTES,1,FUERZA Y CORAZON POR MEXICO,PRI
AGUASCALIENTES,1,SIGAMOS HACIENDO HISTORIA,PVEM
AGUASCALIENTES,2,FUERZA Y CORAZON POR MEXICO,PAN
AGUASCALIENTES,2,SIGAMOS HACIENDO HISTORIA,MORENA
AGUASCALIENTES,3,SIGAMOS HACIENDO HISTORIA,MORENA
BAJA CALIFORNIA,1,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,2,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,3,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,4,FUERZA Y CORAZON POR MEXICO,PRD
BAJA CALIFORNIA,5,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,6,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,7,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA,8,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA,8,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA,9,FUERZA Y CORAZON POR MEXICO,PRI
BAJA CALIFORNIA SUR,1,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA SUR,1,SIGAMOS HACIENDO HISTORIA,PVEM
BAJA CALIFORNIA SUR,2,FUERZA Y CORAZON POR MEXICO,PAN
BAJA CALIFORNIA SUR,2,SIGAMOS HACIENDO HISTORIA,PT
CAMPECHE,1,SIGAMOS HACIENDO HISTORIA,MORENA
CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRI
CAMPECHE,2,FUERZA Y CORAZON POR MEXICO,PRD
CAMPECHE,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,1,FUERZA Y CORAZON POR MEXICO,PRD
CHIAPAS,1,SIGAMOS HACIENDO HISTORIA,PT
CHIAPAS,2,FUERZA Y CORAZON POR MEXICO,PRI
CHIAPAS,2,SIGAMOS HACIENDO HISTORIA,MORENA
CHIAPAS,3,FUERZA Y CORAZON POR MEXICO,PRD
