ENTIDAD,COALICION,FORMULA,GRUPO_PARLAMENTARIO,PARTIDO_ORIGEN
AGUASCALIENTES,POR MEXICO AL FRENTE,1,PAN,PAN
AGUASCALIENTES,POR MEXICO AL FRENTE,2,PAN,PAN
BAJA CALIFORNIA,POR MEXICO AL FRENTE,1,PAN,PAN
BAJA CALIFORNIA,POR MEXICO AL FRENTE,2,PAN,PAN
BAJA CALIFORNIA SUR,POR MEXICO AL FRENTE,1,PAN,PAN
BAJA CALIFORNIA SUR,POR MEXICO AL FRENTE,2,PAN,PAN
CAMPECHE,POR MEXICO AL FRENTE,1,PAN,PAN
CAMPECHE,POR MEXICO AL FRENTE,2,PAN,PAN
CHIAPAS,POR MEXICO AL FRENTE,1,MC,MC
CHIAPAS,POR MEXICO AL FRENTE,2,PRD,PRD
CHIHUAHUA,POR MEXICO AL FRENTE,1,PAN,PAN
CHIHUAHUA,POR MEXICO AL FRENTE,2,PAN,PAN
CIUDAD DE MÉXICO ,POR MEXICO AL FRENTE,1,PRD,PRD
CIUDAD DE MÉXICO ,POR MEXICO AL FRENTE,2,PAN,PAN
COAHUILA ,POR MEXICO AL FRENTE,1,PAN,PAN
COAHUILA ,POR MEXICO AL FRENTE,2,PAN,PAN
COLIMA,POR MEXICO AL FRENTE,1,MC,MC
COLIMA,POR MEXICO AL FRENTE,2,PAN,PAN
DURANGO,POR MEXICO AL FRENTE,1,MC,MC
DURANGO,POR MEXICO AL FRENTE,2,PAN,PAN
GUANAJUATO,POR MEXICO AL FRENTE,1,PAN,PAN
GUANAJUATO,POR MEXICO AL FRENTE,2,PAN,PAN
GUERERO,POR MEXICO AL FRENTE,1,PRD,PRD
GUERERO,POR MEXICO AL FRENTE,2,MC,MC
HIDALGO,POR MEXICO AL FRENTE,1,PRD,PRD
HIDALGO,POR MEXICO AL FRENTE,2,MC,MC
JALISCO,POR MEXICO AL FRENTE,1,MC,MC
JALISCO,POR MEXICO AL FRENTE,2,MC,MC
MÉXICO ,POR MEXICO AL FRENTE,1,PRD,PRD
MÉXICO ,POR MEXICO AL FRENTE,2,PAN,PAN
MICHOACÁN ,POR MEXICO AL FRENTE,1,PRD,PRD
MICHOACÁN ,POR MEXICO AL FRENTE,2,PAN,PAN
NAYARIT,POR MEXICO AL FRENTE,1,PAN,PAN
NAYARIT,POR MEXICO AL FRENTE,2,PRD,PRD
OAXACA,POR MEXICO AL FRENTE,1,PRD,PRD
OAXACA,POR MEXICO AL FRENTE,2,PAN,PAN
PUEBLA,POR MEXICO AL FRENTE,1,PAN,PAN
PUEBLA,POR MEXICO AL FRENTE,2,PAN,PAN
QUERÉTARO ,POR MEXICO AL FRENTE,1,PAN,PAN
QUERÉTARO ,POR MEXICO AL FRENTE,2,PAN,PAN
QUINTANA ROO,POR MEXICO AL FRENTE,1,PAN,PAN
QUINTANA ROO,POR MEXICO AL FRENTE,2,PRD,PRD
