CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,1,3,1157,114,13,0,2,49,93,1,18,5,0,0,0,1452,0,10,1462,2226
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,2,2,281,44,2,3,2,25,74,4,4,5,1,0,0,445,0,12,457,916
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,3,3,541,42,8,6,3,61,229,12,11,2,0,0,0,915,0,19,934,1723
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,4,2,370,37,3,4,5,58,250,4,8,3,2,0,0,744,0,8,752,1415
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,5,2,216,21,1,2,2,41,144,5,5,2,0,0,0,439,0,5,444,772
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,6,1,207,28,6,3,5,45,108,2,4,1,0,0,0,409,0,4,413,678
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,7,2,227,28,2,3,1,39,159,2,13,2,0,0,0,476,0,7,483,784
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,8,2,371,49,3,5,1,57,212,7,19,4,0,0,2,730,0,7,737,1198
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,9,2,393,34,7,4,4,44,244,9,4,2,0,0,0,745,0,15,760,1263
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,10,2,409,47,12,1,21,100,166,10,10,3,3,0,0,782,0,10,792,1212
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,11,2,257,18,6,2,5,56,192,6,10,6,0,0,0,558,0,16,574,1244
,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,12,2,243,35,7,2,3,60,141,4,10,1,1,0,0,507,0,9,516,819
