CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANALH,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_PANALH,PT_MORENA,PT_PANALH,MORENA_PANALH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,28,157,10,32,55,23,353,74,6,2,0,0,6,8,1,4,759,1,17,777,1747
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,1,4,61,2,31,23,10,172,14,0,0,0,1,2,3,0,0,323,0,7,330,731
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,2,45,4,11,16,3,66,6,1,0,0,0,0,3,0,1,158,0,4,162,364
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,5,96,13,19,24,15,239,18,3,0,0,0,3,4,0,1,440,0,15,455,972
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,9,43,1,12,31,5,153,8,0,0,0,0,4,0,0,3,269,0,4,273,482
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,2,18,46,10,11,32,11,230,13,2,0,0,0,3,10,1,3,390,0,21,411,770
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,6,51,3,10,7,1,98,13,1,0,0,0,0,1,0,0,191,0,2,193,322
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,14,33,8,26,22,10,256,14,1,0,0,0,4,5,0,1,394,0,4,398,1373
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,2,30,5,10,65,11,138,10,0,0,0,0,3,5,2,0,281,0,9,290,890
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,6,99,6,13,17,8,246,30,3,1,0,0,2,0,0,0,431,0,12,443,1000
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,1,45,3,7,3,1,41,3,1,0,0,0,0,0,0,0,105,0,0,105,227
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,21,97,12,28,34,9,316,22,3,3,0,0,8,6,0,1,560,0,7,567,1299
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,10,41,5,9,21,12,179,11,0,1,0,0,3,2,0,0,294,0,10,304,782
