CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PUP,MORENA,NAO,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_PUP_MORENA,PT_PVEM_PUP,PT_PVEM_MORENA,PT_PUP_MORENA,PVEM_PUP_MORENA,PT_PVEM,PT_PUP,PT_MORENA,PVEM_PUP,PVEM_MORENA,PUP_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,1,3,68,0,14,2,2,4,280,0,7,3,1,2,0,1,0,1,0,0,2,1,1,2,394,1,7,402,656
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,3,8,134,3,25,3,14,6,707,1,12,1,0,9,1,0,2,3,0,0,1,0,0,3,933,0,14,947,1637
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,3,14,97,4,13,3,20,10,646,4,10,5,2,8,0,1,6,1,2,0,3,3,4,5,861,0,22,883,1698
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,2,1,93,1,8,5,9,7,338,2,8,3,0,3,1,0,2,0,0,0,3,1,1,2,488,0,9,497,643
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,3,16,55,7,19,4,21,9,652,1,6,2,2,5,0,0,1,0,0,0,4,0,1,1,806,0,17,823,1630
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,2,14,29,3,4,2,11,13,417,0,3,1,1,3,0,0,2,1,0,0,3,0,1,0,508,0,10,518,929
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,2,12,33,12,6,7,7,4,334,4,4,0,4,1,0,1,0,0,1,1,2,0,0,1,434,0,7,441,759
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,1,9,23,9,8,2,3,4,298,0,2,0,3,5,0,0,2,1,0,0,5,0,1,3,378,0,2,380,656
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,2,27,37,3,14,1,9,9,470,4,3,0,1,6,0,2,0,1,0,0,6,1,0,1,595,0,8,603,1162
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,3,17,52,10,11,0,14,8,518,4,5,0,1,4,0,1,2,1,0,2,7,0,2,6,665,0,19,684,1525
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,3,22,68,12,13,6,14,6,640,0,8,2,7,14,0,0,0,0,0,0,4,0,2,1,819,0,14,833,1625
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,13,1,9,58,4,13,4,13,2,292,8,4,0,1,0,0,0,0,3,0,0,1,0,0,1,413,0,11,424,640
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,14,2,14,60,5,16,8,8,7,300,1,6,2,0,2,0,2,1,2,1,0,2,0,0,6,443,0,5,448,799
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,15,2,10,48,5,14,5,11,3,436,1,5,2,0,0,0,0,1,2,0,0,1,0,1,3,548,0,10,558,786
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,16,1,11,25,2,3,2,1,8,128,3,0,0,2,0,0,1,0,0,0,0,0,0,1,1,188,0,8,196,333
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,17,2,9,114,10,9,2,8,13,517,2,6,2,3,5,0,0,0,3,0,0,2,0,0,4,709,0,17,726,1204
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,18,1,3,21,0,8,3,1,2,224,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,267,0,2,269,441
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,19,1,3,43,4,4,0,1,1,245,0,1,0,3,3,0,1,0,1,0,0,1,0,0,2,313,0,6,319,540
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,1,8,20,3,10,2,15,3,275,0,3,1,0,3,0,1,1,1,0,0,3,0,0,0,349,0,7,356,640
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,2,21,49,73,21,4,11,8,504,2,11,0,1,1,0,1,0,1,0,0,3,0,0,0,711,0,12,723,1203
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,1,5,10,14,7,3,3,7,249,1,4,0,2,0,0,0,1,0,0,0,0,1,0,3,310,0,5,315,504
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,1,11,23,3,7,2,7,3,332,1,5,0,3,1,0,0,2,0,0,0,5,0,2,3,410,0,8,418,608
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,3,19,71,3,18,4,20,6,494,4,11,3,0,3,0,0,0,0,1,0,4,1,0,3,665,1,22,688,1153
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,2,5,33,2,6,3,8,5,421,4,7,1,0,7,0,0,2,1,0,0,1,0,1,1,508,0,7,515,810
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,2,13,27,4,17,7,14,5,399,1,5,0,1,2,0,1,3,2,0,1,4,0,0,3,509,0,15,524,853
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,27,2,10,59,5,3,2,8,6,305,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,408,0,11,419,725
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,2,17,71,18,5,4,15,3,324,2,12,2,1,1,1,1,0,0,0,1,3,0,0,6,487,0,12,499,791
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,3,13,40,3,17,7,13,9,558,2,5,0,0,0,0,0,1,0,0,1,5,0,5,2,681,0,9,690,1110
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,2,10,74,3,11,8,17,9,364,1,8,2,1,2,4,0,1,0,0,0,2,0,1,0,518,0,11,529,854
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,3,27,135,6,41,14,22,6,741,3,11,1,2,2,0,0,0,0,0,0,0,0,1,5,1017,1,29,1047,1945
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,32,1,1,117,0,7,0,1,4,147,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,282,0,3,285,384
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,3,16,83,2,13,11,10,18,663,7,11,4,0,1,0,4,3,1,0,0,4,0,2,3,856,0,26,882,1288
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,2,27,91,36,47,5,19,9,500,6,3,2,0,0,0,0,0,0,0,0,1,0,1,2,749,1,26,776,1208
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,2,10,153,3,9,2,5,3,224,0,1,0,6,1,0,0,1,1,0,0,1,0,0,1,421,0,14,435,780
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,3,17,520,25,16,4,19,3,361,1,7,2,15,3,0,0,0,2,0,0,4,0,1,0,1000,0,131,1131,1830
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,3,5,795,44,11,5,17,5,474,0,8,2,11,1,0,0,1,1,0,0,2,0,1,0,1383,0,28,1411,1874
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,137,1,5,272,2,10,1,6,3,142,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,447,0,13,460,599
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,138,1,2,316,2,5,5,5,2,85,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,436,0,66,502,628
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,2,2,665,4,5,3,16,1,278,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,982,0,47,1029,1249
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,140,1,7,207,1,4,4,6,1,116,2,1,0,7,0,0,0,0,0,1,0,1,0,0,0,358,0,17,375,472
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,141,1,5,110,4,10,7,8,11,203,1,9,0,0,0,0,0,1,1,0,0,2,0,1,0,373,0,15,388,703
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,142,1,11,109,3,9,5,2,2,76,0,4,1,3,1,0,1,0,0,2,0,0,0,0,0,229,0,12,241,444
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,2,3,453,6,13,1,11,5,208,1,4,2,16,1,0,0,0,1,0,0,1,1,0,2,729,1,5,735,1103
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,4,5,380,15,17,2,10,3,501,1,2,1,5,0,0,1,0,0,0,0,1,0,0,1,945,0,31,976,1868
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,953,1,4,76,0,3,0,2,1,206,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,296,0,1,297,568
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,954,1,3,186,9,4,1,2,3,140,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,352,0,10,362,725
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,4,2,391,67,173,11,8,121,519,8,9,3,27,5,2,1,2,1,0,2,5,1,0,4,1362,9,52,1423,2324
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,963,1,2,139,2,45,5,3,2,105,1,0,0,4,0,0,1,0,0,0,3,3,0,0,2,317,0,13,330,489
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,964,1,2,108,1,15,0,4,8,80,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,220,0,6,226,341
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,965,1,3,151,5,23,7,4,12,83,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,293,0,5,298,540
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,966,2,5,339,24,44,3,6,3,177,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,610,1,16,627,895
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,967,1,2,175,26,104,0,0,9,29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,348,0,7,355,614
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,968,1,0,76,1,39,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,146,1,0,147,295
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,969,1,0,155,40,59,0,2,16,160,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,437,0,8,445,655
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,970,2,4,294,28,85,9,5,54,248,2,9,0,6,3,1,0,0,0,1,0,1,0,0,2,752,0,35,787,1203
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,971,1,1,69,15,13,1,3,17,50,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,172,0,3,175,249
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,972,3,4,416,72,149,9,6,16,223,2,5,0,12,12,1,0,0,0,0,0,4,4,4,2,941,1,66,1008,1600
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,973,1,0,100,2,24,1,2,2,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,160,1,7,168,265
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,974,2,2,192,8,34,3,5,21,115,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,389,0,6,395,556
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,975,2,4,191,42,29,0,6,12,81,1,5,1,2,0,0,0,0,0,1,0,0,1,0,0,376,30,15,421,652
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,976,2,1,196,3,37,8,6,17,118,3,1,0,2,1,1,0,0,3,0,0,1,0,0,0,398,0,16,414,800
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,977,2,1,232,5,20,3,0,7,41,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,315,0,8,323,534
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,182,SAN JUAN BAUTISTA TUXTEPEC,1057,2,6,35,5,3,7,5,4,213,23,6,3,0,0,0,0,0,0,0,0,0,0,0,0,310,0,5,315,823
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1372,3,17,216,6,19,3,14,18,632,6,7,1,5,7,0,3,0,1,0,1,1,0,0,6,963,0,25,988,1774
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1373,2,3,65,7,7,3,9,13,439,7,4,0,2,0,1,1,3,1,0,1,4,0,0,1,571,0,7,578,942
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1374,2,2,127,4,9,9,15,14,562,2,3,2,2,6,1,0,0,0,0,0,1,0,0,2,761,1,13,775,1311
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1375,3,2,148,0,7,6,11,9,482,1,4,5,1,3,0,0,0,1,0,0,1,0,0,2,683,0,10,693,972
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1376,2,1,110,4,6,6,8,16,376,0,2,2,3,3,1,0,2,2,0,0,0,0,1,3,546,0,9,555,979
