CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM_PT_MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,0,MODALIDADES DE VOTACIÓN,0,MODALIDADES DE VOTACIÓN,0,13,420,2488,123,3590,54,60,19,0,3,3,11,5,3,3,4,0,6786,15,129,6930,63004
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,937,12,75,867,69,1824,34,32,14,2,3,6,10,3,0,8,2,0,2949,1,88,3038,8891
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,938,2,21,118,5,254,8,13,0,0,1,1,3,1,0,1,1,0,427,0,15,442,883
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,966,3,39,284,17,648,10,11,2,4,2,1,5,2,0,0,0,0,1025,1,24,1050,2194
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,967,3,28,184,23,588,14,10,1,0,0,2,3,0,0,0,0,1,854,0,26,880,2209
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,986,3,17,122,16,318,3,5,0,0,0,0,0,0,0,2,0,1,484,0,14,498,2051
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,987,5,41,311,21,798,12,11,5,0,0,2,2,1,0,3,0,0,1207,0,54,1261,3033
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,988,10,95,580,65,1706,30,47,13,1,4,0,13,3,3,6,1,0,2567,18,82,2667,7496
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,989,2,25,156,13,348,6,2,5,0,0,0,1,1,0,1,0,1,559,0,10,569,1249
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,990,4,70,292,21,603,12,14,0,1,0,1,0,0,0,1,0,1,1016,0,29,1045,2452
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,991,7,99,554,72,1182,34,1,2,0,0,1,1,1,0,0,3,0,1950,3,42,1995,4901
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,992,8,107,551,58,1709,32,24,3,0,3,1,5,0,1,4,0,0,2498,4,60,2562,5767
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,993,3,28,277,19,678,11,10,3,0,0,0,2,0,0,1,0,1,1030,1,29,1060,2104
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,994,5,69,442,20,957,10,14,9,3,2,2,5,1,0,0,2,0,1536,4,51,1591,3354
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,995,13,124,921,92,2485,49,34,15,3,7,2,17,3,1,4,1,2,3760,3,103,3866,9012
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,996,12,103,811,105,2236,37,20,18,5,11,4,10,2,0,11,0,1,3374,2,104,3480,8409
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1017,4,20,256,37,624,15,6,2,2,1,2,0,0,0,2,0,0,967,0,23,990,2270
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1018,4,33,273,37,678,16,19,3,0,3,1,1,1,0,1,0,1,1067,1,33,1101,2487
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1019,5,53,386,28,881,18,7,6,0,0,4,1,0,0,1,1,1,1387,1,45,1433,3208
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1020,3,32,217,15,637,17,10,2,1,0,1,2,1,0,1,1,0,937,0,30,967,2073
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1021,3,26,171,15,424,9,6,1,1,3,1,2,0,1,2,2,0,664,3,25,692,1606
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1022,3,36,203,13,511,9,11,4,0,0,2,2,0,1,0,0,1,793,0,22,815,1590
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1023,3,23,207,17,532,5,17,5,2,0,1,1,0,0,3,0,0,813,0,27,840,1582
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1024,3,48,266,15,533,7,10,4,0,0,0,2,0,0,1,0,1,887,1,33,921,1751
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1025,5,119,520,32,1008,20,7,0,1,0,0,2,0,0,1,0,0,1710,1,31,1742,3310
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1026,3,41,794,35,730,18,22,8,1,4,2,4,1,0,7,4,0,1671,3,53,1727,1492
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1027,3,37,206,16,491,8,8,5,0,0,2,1,0,1,1,0,0,776,2,22,800,1654
