ESTADO,300-100 CON TOPES_TOTAL,300-100 CON TOPES_MORENA,300-100 SIN TOPES_TOTAL,300-100 SIN TOPES_MORENA,200-200 SIN TOPES_TOTAL,200-200 SIN TOPES_MORENA,240-160 SIN TOPES_TOTAL,240-160 SIN TOPES_MORENA,240-160 CON TOPES_TOTAL,240-160 CON TOPES_MORENA
3,3,1,3,1,3,2,3,2,3,2
6,3,1,3,1,3,2,3,2,3,2
1,5,2,5,2,4,2,4,2,4,2
10,5,2,5,2,4,2,5,3,5,3
32,5,2,5,2,4,2,4,2,4,2
29,5,3,5,3,3,2,4,2,4,2
23,5,3,5,3,4,2,5,3,5,3
24,7,4,7,4,5,3,6,3,6,3
8,9,5,9,5,6,3,7,3,7,3
2,9,5,9,5,6,3,7,3,7,3
12,9,5,9,5,6,3,7,3,7,3
28,9,5,9,5,6,3,7,3,7,3
16,11,6,11,6,7,3,9,4,9,4
19,13,7,13,7,8,4,10,5,10,5
30,17,9,17,9,11,5,13,6,13,6
9,19,10,19,10,12,6,15,7,15,7
4,4,2,4,2,3,2,3,2,3,2
18,4,2,4,2,3,2,4,2,4,2
27,6,3,6,3,5,2,5,3,5,3
31,6,3,6,3,5,2,5,2,5,2
17,6,3,6,3,4,2,5,2,5,2
22,6,3,6,3,5,2,5,3,5,3
5,8,4,8,4,5,2,6,3,6,3
13,8,4,8,4,5,3,6,3,6,3
25,8,4,8,4,5,2,6,3,6,3
26,8,4,8,4,5,2,6,3,6,3
20,10,5,10,5,6,3,8,4,8,4
7,12,6,12,6,8,4,10,5,10,5
11,14,7,14,7,9,4,11,5,11,5
21,14,7,14,7,9,4,11,5,11,5
14,18,9,18,9,11,5,14,7,14,7
15,34,17,34,17,20,10,26,13,26,13
