ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores,siglado_ppn,mr_por_convenio,mr_por_afiliacion,winner_by_votes_valid,winner_by_votes_raw
AGUASCALIENTES,1,PAN,votes_valid,,PVEM,,,PAN,PAN
AGUASCALIENTES,2,PAN,votes_valid,,MORENA,,,PAN,PAN
AGUASCALIENTES,3,PAN,votes_valid,,MORENA,,,PAN,PAN
BAJA CALIFORNIA,1,MORENA,votes_valid,,PAN,,,MORENA,MORENA
BAJA CALIFORNIA,2,MORENA,votes_valid,,PAN,,,MORENA,MORENA
BAJA CALIFORNIA,3,MORENA,votes_valid,,PRD,,,MORENA,MORENA
BAJA CALIFORNIA,4,MORENA,votes_valid,,PRD,,,MORENA,MORENA
BAJA CALIFORNIA,5,MORENA,votes_valid,,PAN,,,MORENA,MORENA
BAJA CALIFORNIA,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA
BAJA CALIFORNIA,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA
BAJA CALIFORNIA,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
BAJA CALIFORNIA,9,MORENA,votes_valid,,PRI,,,MORENA,MORENA
BAJA CALIFORNIA SUR,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
BAJA CALIFORNIA SUR,2,MORENA,votes_valid,,PT,,,MORENA,MORENA
CAMPECHE,1,MC,votes_valid,,MORENA,,,MC,MC
CAMPECHE,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,1,PVEM,votes_valid,,PT,,,PVEM,PVEM
CHIAPAS,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,5,PRI,votes_valid,,MORENA,,,PRI,PRI
CHIAPAS,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA
CHIAPAS,8,MORENA,votes_valid,,PT,,,MORENA,MORENA
CHIAPAS,9,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIAPAS,10,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
CHIAPAS,11,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
CHIAPAS,12,MORENA,votes_valid,,PRD,,,MORENA,MORENA
CHIAPAS,13,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
CHIHUAHUA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIHUAHUA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CHIHUAHUA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
CHIHUAHUA,4,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
CHIHUAHUA,5,PAN,votes_valid,,MORENA,,,PAN,PAN
CHIHUAHUA,6,PAN,votes_valid,,MORENA,,,PAN,PAN
CHIHUAHUA,7,MORENA,votes_valid,,PT,,,MORENA,MORENA
CHIHUAHUA,8,PAN,votes_valid,,PVEM,,,PAN,PAN
CHIHUAHUA,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
CIUDAD DE MEXICO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CIUDAD DE MEXICO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA
CIUDAD DE MEXICO,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
CIUDAD DE MEXICO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
