Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total
2021,MR 200 - RP 200,PAN,18.93,39,0,48,87,30,0,-2,28
2021,MR 200 - RP 200,PRI,18.39,18,0,44,62,30,0,-2,28
2021,MR 200 - RP 200,PRD,3.78,0,0,13,13,30,0,-2,28
2021,MR 200 - RP 200,PVEM,5.64,2,0,14,16,30,0,-2,28
2021,MR 200 - RP 200,PT,3.37,0,0,9,9,30,0,-2,28
2021,MR 200 - RP 200,MC,7.28,10,0,20,30,30,0,-2,28
2021,MR 200 - RP 200,MORENA,35.36,131,0,42,173,30,0,-2,28
2021,MR 200 - RP 200,PES,2.85,0,0,2,2,30,0,-2,28
2021,MR 200 - RP 200,RSP,1.83,0,0,5,5,30,0,-2,28
2021,MR 200 - RP 200,FXM,2.57,0,0,3,3,30,0,-2,28
2024,MR 200 - RP 200,PAN,17.58,25,0,40,65,30,0,-2,28
2024,MR 200 - RP 200,PRI,11.59,4,0,30,34,30,0,-2,28
2024,MR 200 - RP 200,PRD,2.54,0,0,10,10,30,0,-2,28
2024,MR 200 - RP 200,PVEM,8.74,4,0,29,33,30,0,-2,28
2024,MR 200 - RP 200,PT,5.69,0,0,24,24,30,0,-2,28
2024,MR 200 - RP 200,MC,11.37,6,0,27,33,30,0,-2,28
2024,MR 200 - RP 200,MORENA,42.49,161,0,40,201,30,0,-2,28
2021,MR 300 - RP 100,PAN,18.93,71,0,20,91,25,0,3,28
2021,MR 300 - RP 100,PRI,18.39,29,0,20,49,25,0,3,28
2021,MR 300 - RP 100,PRD,3.78,2,0,4,6,25,0,3,28
2021,MR 300 - RP 100,PVEM,5.64,26,0,6,32,25,0,3,28
2021,MR 300 - RP 100,PT,3.37,29,0,4,33,25,0,3,28
2021,MR 300 - RP 100,MC,7.28,8,0,8,16,25,0,3,28
2021,MR 300 - RP 100,MORENA,35.36,135,0,38,173,25,0,3,28
2021,MR 300 - RP 100,PES,2.85,0,0,0,0,25,0,3,28
2021,MR 300 - RP 100,RSP,1.83,0,0,0,0,25,0,3,28
2021,MR 300 - RP 100,FXM,2.57,0,0,0,0,25,0,3,28
2024,MR 300 - RP 100,PAN,17.58,33,0,20,53,25,0,3,28
2024,MR 300 - RP 100,PRI,11.59,9,0,13,22,25,0,3,28
2024,MR 300 - RP 100,PRD,2.54,1,0,0,1,25,0,3,28
2024,MR 300 - RP 100,PVEM,8.74,58,0,8,66,25,0,3,28
2024,MR 300 - RP 100,PT,5.69,38,0,6,44,25,0,3,28
2024,MR 300 - RP 100,MC,11.37,1,0,12,13,25,0,3,28
2024,MR 300 - RP 100,MORENA,42.49,160,0,41,201,25,0,3,28
2021,MR 200 - PM 200,PAN,18.93,0,48,1,49,0,-16,0,-16
2021,MR 200 - PM 200,PRI,18.39,0,73,1,74,0,-16,0,-16
2021,MR 200 - PM 200,PRD,3.78,0,6,1,7,0,-16,0,-16
2021,MR 200 - PM 200,PVEM,5.64,0,11,1,12,0,-16,0,-16
2021,MR 200 - PM 200,PT,3.37,0,0,1,1,0,-16,0,-16
2021,MR 200 - PM 200,MC,7.28,0,12,1,13,0,-16,0,-16
2021,MR 200 - PM 200,MORENA,35.36,0,46,1,47,0,-16,0,-16
2021,MR 200 - PM 200,PES,2.85,0,4,1,5,0,-16,0,-16
2021,MR 200 - PM 200,RSP,1.83,0,0,1,1,0,-16,0,-16
2021,MR 200 - PM 200,FXM,2.57,0,0,1,1,0,-16,0,-16
2024,MR 200 - PM 200,PAN,17.58,0,70,1,71,0,-16,0,-16
2024,MR 200 - PM 200,PRI,11.59,0,37,1,38,0,-16,0,-16
2024,MR 200 - PM 200,PRD,2.54,0,1,1,2,0,-16,0,-16
2024,MR 200 - PM 200,PVEM,8.74,0,18,1,19,0,-16,0,-16
2024,MR 200 - PM 200,PT,5.69,0,10,1,11,0,-16,0,-16
2024,MR 200 - PM 200,MC,11.37,0,34,1,35,0,-16,0,-16
2024,MR 200 - PM 200,MORENA,42.49,0,30,1,31,0,-16,0,-16
2021,MR 300 - PM 100,PAN,18.93,48,24,1,73,16,-8,0,8
2021,MR 300 - PM 100,PRI,18.39,19,37,1,57,16,-8,0,8
2021,MR 300 - PM 100,PRD,3.78,1,3,1,5,16,-8,0,8
2021,MR 300 - PM 100,PVEM,5.64,17,5,1,23,16,-8,0,8
2021,MR 300 - PM 100,PT,3.37,19,0,1,20,16,-8,0,8
2021,MR 300 - PM 100,MC,7.28,5,6,1,12,16,-8,0,8
2021,MR 300 - PM 100,MORENA,35.36,91,23,1,115,16,-8,0,8
2021,MR 300 - PM 100,PES,2.85,0,2,1,3,16,-8,0,8
2021,MR 300 - PM 100,RSP,1.83,0,0,1,1,16,-8,0,8
2021,MR 300 - PM 100,FXM,2.57,0,0,1,1,16,-8,0,8
2024,MR 300 - PM 100,PAN,17.58,22,35,1,58,16,-8,0,8
2024,MR 300 - PM 100,PRI,11.59,6,19,1,26,16,-8,0,8
2024,MR 300 - PM 100,PRD,2.54,0,0,1,1,16,-8,0,8
2024,MR 300 - PM 100,PVEM,8.74,39,9,1,49,16,-8,0,8
2024,MR 300 - PM 100,PT,5.69,26,5,1,32,16,-8,0,8
2024,MR 300 - PM 100,MC,11.37,0,17,1,18,16,-8,0,8
2024,MR 300 - PM 100,MORENA,42.49,107,15,1,123,16,-8,0,8
