Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total
2021,MR 200 - RP 200,PAN,18.93,39,0,52,91,30,0,-2,28
2021,MR 200 - RP 200,PRI,18.39,18,0,42,60,30,0,-2,28
2021,MR 200 - RP 200,PRD,3.78,0,0,16,16,30,0,-2,28
2021,MR 200 - RP 200,PVEM,5.64,2,0,16,18,30,0,-2,28
2021,MR 200 - RP 200,PT,3.37,0,0,12,12,30,0,-2,28
2021,MR 200 - RP 200,MC,7.28,10,0,20,30,30,0,-2,28
2021,MR 200 - RP 200,MORENA,35.36,131,0,42,173,30,0,-2,28
2021,MR 200 - RP 200,PES,2.85,0,0,0,0,30,0,-2,28
2021,MR 200 - RP 200,RSP,1.83,0,0,0,0,30,0,-2,28
2021,MR 200 - RP 200,FXM,2.57,0,0,0,0,30,0,-2,28
2024,MR 200 - RP 200,PAN,17.58,25,0,47,72,30,0,-2,28
2024,MR 200 - RP 200,PRI,11.59,4,0,34,38,30,0,-2,28
2024,MR 200 - RP 200,PRD,2.54,0,0,0,0,30,0,-2,28
2024,MR 200 - RP 200,PVEM,8.74,4,0,27,31,30,0,-2,28
2024,MR 200 - RP 200,PT,5.69,0,0,26,26,30,0,-2,28
2024,MR 200 - RP 200,MC,11.37,6,0,26,32,30,0,-2,28
2024,MR 200 - RP 200,MORENA,42.49,161,0,40,201,30,0,-2,28
2021,MR 300 - RP 100,PAN,18.93,71,0,20,91,25,0,3,28
2021,MR 300 - RP 100,PRI,18.39,29,0,20,49,25,0,3,28
2021,MR 300 - RP 100,PRD,3.78,2,0,4,6,25,0,3,28
2021,MR 300 - RP 100,PVEM,5.64,26,0,6,32,25,0,3,28
2021,MR 300 - RP 100,PT,3.37,29,0,4,33,25,0,3,28
2021,MR 300 - RP 100,MC,7.28,8,0,8,16,25,0,3,28
2021,MR 300 - RP 100,MORENA,35.36,135,0,38,173,25,0,3,28
2021,MR 300 - RP 100,PES,2.85,0,0,0,0,25,0,3,28
2021,MR 300 - RP 100,RSP,1.83,0,0,0,0,25,0,3,28
2021,MR 300 - RP 100,FXM,2.57,0,0,0,0,25,0,3,28
2024,MR 300 - RP 100,PAN,17.58,33,0,20,53,25,0,3,28
2024,MR 300 - RP 100,PRI,11.59,9,0,13,22,25,0,3,28
2024,MR 300 - RP 100,PRD,2.54,1,0,0,1,25,0,3,28
2024,MR 300 - RP 100,PVEM,8.74,58,0,8,66,25,0,3,28
2024,MR 300 - RP 100,PT,5.69,38,0,6,44,25,0,3,28
