Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total,Escaños_%
2021,MR 200 - RP 200,PAN,18.93,39,0,41,80,30,0,11,41,20.0
2021,MR 200 - RP 200,PRI,18.39,18,0,40,58,30,0,11,41,14.5
2021,MR 200 - RP 200,PRD,3.78,0,0,8,8,30,0,11,41,2.0
2021,MR 200 - RP 200,PVEM,5.64,2,0,12,14,30,0,11,41,3.5
2021,MR 200 - RP 200,PT,3.37,0,0,7,7,30,0,11,41,1.75
2021,MR 200 - RP 200,MC,7.28,10,0,16,26,30,0,11,41,6.5
2021,MR 200 - RP 200,MORENA,35.36,131,0,76,207,30,0,11,41,51.75
2021,MR 200 - RP 200,PES,2.85,0,0,0,0,30,0,11,41,0.0
2021,MR 200 - RP 200,RSP,1.83,0,0,0,0,30,0,11,41,0.0
2021,MR 200 - RP 200,FXM,2.57,0,0,0,0,30,0,11,41,0.0
2024,MR 200 - RP 200,PAN,17.58,25,0,36,61,30,0,11,41,15.25
2024,MR 200 - RP 200,PRI,11.59,4,0,24,28,30,0,11,41,7.0
2024,MR 200 - RP 200,PRD,2.54,0,0,0,0,30,0,11,41,0.0
2024,MR 200 - RP 200,PVEM,8.74,4,0,18,22,30,0,11,41,5.5
2024,MR 200 - RP 200,PT,5.69,0,0,12,12,30,0,11,41,3.0
2024,MR 200 - RP 200,MC,11.37,6,0,23,29,30,0,11,41,7.25
2024,MR 200 - RP 200,MORENA,42.49,161,0,87,248,30,0,11,41,62.0
2021,MR 300 - RP 100,PAN,18.93,71,0,20,91,25,0,5,30,22.75
2021,MR 300 - RP 100,PRI,18.39,29,0,20,49,25,0,5,30,12.25
2021,MR 300 - RP 100,PRD,3.78,2,0,4,6,25,0,5,30,1.5
2021,MR 300 - RP 100,PVEM,5.64,26,0,6,32,25,0,5,30,8.0
2021,MR 300 - RP 100,PT,3.37,29,0,4,33,25,0,5,30,8.25
2021,MR 300 - RP 100,MC,7.28,8,0,8,16,25,0,5,30,4.0
2021,MR 300 - RP 100,MORENA,35.36,135,0,38,173,25,0,5,30,43.25
2021,MR 300 - RP 100,PES,2.85,0,0,0,0,25,0,5,30,0.0
2021,MR 300 - RP 100,RSP,1.83,0,0,0,0,25,0,5,30,0.0
2021,MR 300 - RP 100,FXM,2.57,0,0,0,0,25,0,5,30,0.0
2024,MR 300 - RP 100,PAN,17.58,33,0,18,51,25,0,5,30,12.75
