Escenario_ID,Escenario,Partido,Votos_%_2021,MR_2021,PM_2021,RP_2021,Total_2021,Votos_%_2024,MR_2024,PM_2024,RP_2024,Total_2024,Diff_MR,Diff_PM,Diff_RP,Diff_Total
1,MR 200 - RP 200,FXM,2.57,0,0,3,3,0.0,0,0,0,0,0,0,-3,-3
1,MR 200 - RP 200,MC,7.28,10,0,20,30,11.37,6,0,27,33,-4,0,7,3
1,MR 200 - RP 200,MORENA,35.36,131,0,42,173,42.49,161,0,40,201,30,0,-2,28
1,MR 200 - RP 200,PAN,18.93,39,0,48,87,17.58,25,0,40,65,-14,0,-8,-22
1,MR 200 - RP 200,PES,2.85,0,0,2,2,0.0,0,0,0,0,0,0,-2,-2
1,MR 200 - RP 200,PRD,3.78,0,0,13,13,2.54,0,0,10,10,0,0,-3,-3
1,MR 200 - RP 200,PRI,18.39,18,0,44,62,11.59,4,0,30,34,-14,0,-14,-28
1,MR 200 - RP 200,PT,3.37,0,0,9,9,5.69,0,0,24,24,0,0,15,15
1,MR 200 - RP 200,PVEM,5.64,2,0,14,16,8.74,4,0,29,33,2,0,15,17
1,MR 200 - RP 200,RSP,1.83,0,0,5,5,0.0,0,0,0,0,0,0,-5,-5
2,MR 300 - RP 100,FXM,2.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,MR 300 - RP 100,MC,7.28,8,0,8,16,11.37,1,0,12,13,-7,0,4,-3
2,MR 300 - RP 100,MORENA,35.36,135,0,38,173,42.49,160,0,41,201,25,0,3,28
2,MR 300 - RP 100,PAN,18.93,71,0,20,91,17.58,33,0,20,53,-38,0,0,-38
2,MR 300 - RP 100,PES,2.85,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,MR 300 - RP 100,PRD,3.78,2,0,4,6,2.54,1,0,0,1,-1,0,-4,-5
2,MR 300 - RP 100,PRI,18.39,29,0,20,49,11.59,9,0,13,22,-20,0,-7,-27
2,MR 300 - RP 100,PT,3.37,29,0,4,33,5.69,38,0,6,44,9,0,2,11
2,MR 300 - RP 100,PVEM,5.64,26,0,6,32,8.74,58,0,8,66,32,0,2,34
2,MR 300 - RP 100,RSP,1.83,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,MR 200 - PM 200,FXM,2.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,MR 200 - PM 200,MC,7.28,11,12,0,23,11.37,9,34,0,43,-2,22,0,20
3,MR 200 - PM 200,MORENA,35.36,141,46,0,187,42.49,168,30,0,198,27,-16,0,11
3,MR 200 - PM 200,PAN,18.93,33,48,0,81,17.58,17,70,0,87,-16,22,0,6
3,MR 200 - PM 200,PES,2.85,0,4,0,4,0.0,0,0,0,0,0,-4,0,-4
3,MR 200 - PM 200,PRD,3.78,0,6,0,6,2.54,0,1,0,1,0,-5,0,-5
3,MR 200 - PM 200,PRI,18.39,14,73,0,87,11.59,3,37,0,40,-11,-36,0,-47
3,MR 200 - PM 200,PT,3.37,0,0,0,0,5.69,0,10,0,10,0,10,0,10
3,MR 200 - PM 200,PVEM,5.64,1,11,0,12,8.74,3,18,0,21,2,7,0,9
3,MR 200 - PM 200,RSP,1.83,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,MR 300 - PM 100,FXM,2.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,MR 300 - PM 100,MC,7.28,16,6,0,22,11.37,14,17,0,31,-2,11,0,9
4,MR 300 - PM 100,MORENA,35.36,211,23,0,234,42.49,251,15,0,266,40,-8,0,32
4,MR 300 - PM 100,PAN,18.93,50,24,0,74,17.58,27,35,0,62,-23,11,0,-12
4,MR 300 - PM 100,PES,2.85,0,2,0,2,0.0,0,0,0,0,0,-2,0,-2
4,MR 300 - PM 100,PRD,3.78,0,3,0,3,2.54,0,0,0,0,0,-3,0,-3
4,MR 300 - PM 100,PRI,18.39,21,37,0,58,11.59,4,19,0,23,-17,-18,0,-35
4,MR 300 - PM 100,PT,3.37,0,0,0,0,5.69,0,5,0,5,0,5,0,5
4,MR 300 - PM 100,PVEM,5.64,2,5,0,7,8.74,4,9,0,13,2,4,0,6
4,MR 300 - PM 100,RSP,1.83,0,0,0,0,0.0,0,0,0,0,0,0,0,0
