Año,Escenario,Partido,Votos_%,MR,PM,RP,Total,Diff_MORENA_MR,Diff_MORENA_PM,Diff_MORENA_RP,Diff_MORENA_Total
2021,MR 200 - RP 200,FXM,0.0,0,0,10,10,30,0,-1,29
2021,MR 200 - RP 200,MC,7.85,10,0,19,29,30,0,-1,29
2021,MR 200 - RP 200,MORENA,38.13,131,0,10,141,30,0,-1,29
2021,MR 200 - RP 200,PAN,20.41,39,0,37,76,30,0,-1,29
2021,MR 200 - RP 200,PES,0.0,0,0,11,11,30,0,-1,29
2021,MR 200 - RP 200,PRD,4.08,0,0,15,15,30,0,-1,29
2021,MR 200 - RP 200,PRI,19.83,18,0,55,73,30,0,-1,29
2021,MR 200 - RP 200,PT,3.63,0,0,13,13,30,0,-1,29
2021,MR 200 - RP 200,PVEM,6.08,2,0,20,22,30,0,-1,29
2021,MR 200 - RP 200,RSP,0.0,0,0,7,7,30,0,-1,29
2024,MR 200 - RP 200,MC,11.66,6,0,39,45,30,0,-1,29
2024,MR 200 - RP 200,MORENA,43.6,161,0,9,170,30,0,-1,29
2024,MR 200 - RP 200,PAN,18.04,25,0,45,70,30,0,-1,29
2024,MR 200 - RP 200,PRD,0.0,0,0,10,10,30,0,-1,29
2024,MR 200 - RP 200,PRI,11.89,4,0,42,46,30,0,-1,29
2024,MR 200 - RP 200,PT,5.84,0,0,23,23,30,0,-1,29
2024,MR 200 - RP 200,PVEM,8.96,4,0,31,35,30,0,-1,29
2021,MR 300 - RP 100,FXM,0.0,0,0,10,10,25,0,4,29
2021,MR 300 - RP 100,MC,7.85,8,0,21,29,25,0,4,29
2021,MR 300 - RP 100,MORENA,38.13,135,0,6,141,25,0,4,29
2021,MR 300 - RP 100,PAN,20.41,71,0,5,76,25,0,4,29
2021,MR 300 - RP 100,PES,0.0,0,0,11,11,25,0,4,29
2021,MR 300 - RP 100,PRD,4.08,2,0,13,15,25,0,4,29
2021,MR 300 - RP 100,PRI,19.83,29,0,44,73,25,0,4,29
2021,MR 300 - RP 100,PT,3.63,29,0,0,29,25,0,4,29
2021,MR 300 - RP 100,PVEM,6.08,26,0,0,26,25,0,4,29
2021,MR 300 - RP 100,RSP,0.0,0,0,7,7,25,0,4,29
2024,MR 300 - RP 100,MC,11.66,1,0,44,45,25,0,4,29
2024,MR 300 - RP 100,MORENA,43.6,160,0,10,170,25,0,4,29
2024,MR 300 - RP 100,PAN,18.04,33,0,37,70,25,0,4,29
2024,MR 300 - RP 100,PRD,0.0,1,0,9,10,25,0,4,29
2024,MR 300 - RP 100,PRI,11.89,9,0,37,46,25,0,4,29
2024,MR 300 - RP 100,PT,5.84,38,0,0,38,25,0,4,29
2024,MR 300 - RP 100,PVEM,8.96,58,0,0,58,25,0,4,29
2021,MR 200 - PM 200,FXM,0.0,0,0,1,1,0,-16,0,-16
2021,MR 200 - PM 200,MC,7.85,0,12,1,13,0,-16,0,-16
2021,MR 200 - PM 200,MORENA,38.13,0,46,1,47,0,-16,0,-16
2021,MR 200 - PM 200,PAN,20.41,0,48,1,49,0,-16,0,-16
2021,MR 200 - PM 200,PES,0.0,0,4,1,5,0,-16,0,-16
2021,MR 200 - PM 200,PRD,4.08,0,6,1,7,0,-16,0,-16
2021,MR 200 - PM 200,PRI,19.83,0,73,1,74,0,-16,0,-16
2021,MR 200 - PM 200,PT,3.63,0,0,1,1,0,-16,0,-16
2021,MR 200 - PM 200,PVEM,6.08,0,11,1,12,0,-16,0,-16
2021,MR 200 - PM 200,RSP,0.0,0,0,1,1,0,-16,0,-16
2024,MR 200 - PM 200,MC,11.66,0,34,1,35,0,-16,0,-16
2024,MR 200 - PM 200,MORENA,43.6,0,30,1,31,0,-16,0,-16
2024,MR 200 - PM 200,PAN,18.04,0,70,1,71,0,-16,0,-16
2024,MR 200 - PM 200,PRD,0.0,0,1,1,2,0,-16,0,-16
2024,MR 200 - PM 200,PRI,11.89,0,37,1,38,0,-16,0,-16
2024,MR 200 - PM 200,PT,5.84,0,10,1,11,0,-16,0,-16
2024,MR 200 - PM 200,PVEM,8.96,0,18,1,19,0,-16,0,-16
2021,MR 300 - PM 100,FXM,0.0,0,0,1,1,16,-8,4,12
2021,MR 300 - PM 100,MC,7.85,5,6,4,15,16,-8,4,12
2021,MR 300 - PM 100,MORENA,38.13,91,23,6,120,16,-8,4,12
2021,MR 300 - PM 100,PAN,20.41,48,24,5,77,16,-8,4,12
2021,MR 300 - PM 100,PES,0.0,0,2,1,3,16,-8,4,12
2021,MR 300 - PM 100,PRD,4.08,1,3,4,8,16,-8,4,12
2021,MR 300 - PM 100,PRI,19.83,19,37,4,60,16,-8,4,12
2021,MR 300 - PM 100,PT,3.63,19,0,0,19,16,-8,4,12
2021,MR 300 - PM 100,PVEM,6.08,17,5,0,22,16,-8,4,12
2021,MR 300 - PM 100,RSP,0.0,0,0,1,1,16,-8,4,12
2024,MR 300 - PM 100,MC,11.66,0,17,4,21,16,-8,4,12
2024,MR 300 - PM 100,MORENA,43.6,107,15,10,132,16,-8,4,12
2024,MR 300 - PM 100,PAN,18.04,22,35,10,67,16,-8,4,12
2024,MR 300 - PM 100,PRD,0.0,0,0,8,8,16,-8,4,12
2024,MR 300 - PM 100,PRI,11.89,6,19,10,35,16,-8,4,12
2024,MR 300 - PM 100,PT,5.84,26,5,0,31,16,-8,4,12
2024,MR 300 - PM 100,PVEM,8.96,39,9,0,48,16,-8,4,12
