ENTIDAD,DISTRITO,DIST_CH,winner_compound,winner_siglado,SIGLADO_PRESENT,TOTAL_VOTOS,same
AGUASCALIENTES,1,1,PAN,SIGAMOS HACIENDO HISTORIA,True,215011,False
AGUASCALIENTES,2,2,PAN,SIGAMOS HACIENDO HISTORIA,True,188541,False
AGUASCALIENTES,3,3,PAN,SIGAMOS HACIENDO HISTORIA,True,231725,False
BAJA CALIFORNIA,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,163614,False
BAJA CALIFORNIA,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,157587,False
BAJA CALIFORNIA,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,157764,False
BAJA CALIFORNIA,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,163745,False
BAJA CALIFORNIA,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,188936,False
BAJA CALIFORNIA,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,174319,False
BAJA CALIFORNIA,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,145214,False
BAJA CALIFORNIA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,161531,False
BAJA CALIFORNIA,9,9,MORENA,FUERZA Y CORAZON POR MEXICO,True,147006,False
BAJA CALIFORNIA SUR,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,192190,False
BAJA CALIFORNIA SUR,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,131930,False
CAMPECHE,1,1,MC,SIGAMOS HACIENDO HISTORIA,True,232695,False
CAMPECHE,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,199830,False
CHIAPAS,1,1,PVEM,SIGAMOS HACIENDO HISTORIA,True,194223,False
CHIAPAS,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,165724,False
CHIAPAS,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,186666,False
CHIAPAS,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,180297,False
CHIAPAS,5,5,PRI,SIGAMOS HACIENDO HISTORIA,True,182649,False
CHIAPAS,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,174102,False
CHIAPAS,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,183226,False
CHIAPAS,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,169658,False
CHIAPAS,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,155200,False
CHIAPAS,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,172022,False
CHIAPAS,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,168602,False
CHIAPAS,12,12,MORENA,FUERZA Y CORAZON POR MEXICO,True,167747,False
CHIAPAS,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,171452,False
CHIHUAHUA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,151582,False
CHIHUAHUA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,123778,False
CHIHUAHUA,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,153513,False
CHIHUAHUA,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,185375,False
CHIHUAHUA,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,188926,False
CHIHUAHUA,6,6,PAN,SIGAMOS HACIENDO HISTORIA,True,223014,False
CHIHUAHUA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,176780,False
CHIHUAHUA,8,8,PAN,SIGAMOS HACIENDO HISTORIA,True,207131,False
CHIHUAHUA,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,167598,False
CIUDAD DE MÉXICO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,226609,False
CIUDAD DE MÉXICO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,283787,False
CIUDAD DE MÉXICO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,272192,False
CIUDAD DE MÉXICO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,194979,False
CIUDAD DE MÉXICO,5,5,MORENA,SIGAMOS HACIENDO HISTORIA,True,232036,False
CIUDAD DE MÉXICO,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,244777,False
CIUDAD DE MÉXICO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,282997,False
CIUDAD DE MÉXICO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,268754,False
CIUDAD DE MÉXICO,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,201083,False
CIUDAD DE MÉXICO,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,236781,False
CIUDAD DE MÉXICO,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,275941,False
CIUDAD DE MÉXICO,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,253736,False
CIUDAD DE MÉXICO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,248642,False
CIUDAD DE MÉXICO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,257136,False
CIUDAD DE MÉXICO,15,15,PAN,SIGAMOS HACIENDO HISTORIA,True,289959,False
CIUDAD DE MÉXICO,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,219252,False
CIUDAD DE MÉXICO,17,17,MORENA,SIGAMOS HACIENDO HISTORIA,True,248151,False
CIUDAD DE MÉXICO,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,250373,False
CIUDAD DE MÉXICO,19,19,PAN,SIGAMOS HACIENDO HISTORIA,True,242701,False
CIUDAD DE MÉXICO,20,20,MORENA,SIGAMOS HACIENDO HISTORIA,True,259843,False
CIUDAD DE MÉXICO,21,21,MORENA,SIGAMOS HACIENDO HISTORIA,True,219101,False
CIUDAD DE MÉXICO,22,22,MORENA,SIGAMOS HACIENDO HISTORIA,True,181566,False
COAHUILA,1,1,PRI,SIGAMOS HACIENDO HISTORIA,True,189655,False
COAHUILA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,193328,False
COAHUILA,3,3,PRI,SIGAMOS HACIENDO HISTORIA,True,211703,False
COAHUILA,4,4,PRI,SIGAMOS HACIENDO HISTORIA,True,211215,False
COAHUILA,5,5,PRI,SIGAMOS HACIENDO HISTORIA,True,189909,False
COAHUILA,6,6,MORENA,SIGAMOS HACIENDO HISTORIA,True,180109,False
COAHUILA,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,197992,False
COAHUILA,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,167558,False
COLIMA,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,181287,False
COLIMA,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,146286,False
DURANGO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,172299,False
DURANGO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,188747,False
DURANGO,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,189664,False
DURANGO,4,4,MORENA,SIGAMOS HACIENDO HISTORIA,True,198347,False
GUANAJUATO,1,1,PAN,SIGAMOS HACIENDO HISTORIA,True,162208,False
GUANAJUATO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,176197,False
GUANAJUATO,3,3,PAN,SIGAMOS HACIENDO HISTORIA,True,212985,False
GUANAJUATO,4,4,PAN,SIGAMOS HACIENDO HISTORIA,True,162235,False
GUANAJUATO,5,5,PAN,SIGAMOS HACIENDO HISTORIA,True,170263,False
GUANAJUATO,6,6,PAN,SIGAMOS HACIENDO HISTORIA,True,169642,False
GUANAJUATO,7,7,PAN,SIGAMOS HACIENDO HISTORIA,True,151420,False
GUANAJUATO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,192509,False
GUANAJUATO,9,9,PAN,SIGAMOS HACIENDO HISTORIA,True,163251,False
GUANAJUATO,10,10,MORENA,SIGAMOS HACIENDO HISTORIA,True,199186,False
GUANAJUATO,11,11,PAN,SIGAMOS HACIENDO HISTORIA,True,192737,False
GUANAJUATO,12,12,MORENA,SIGAMOS HACIENDO HISTORIA,True,197710,False
GUANAJUATO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,179064,False
GUANAJUATO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,162361,False
GUANAJUATO,15,15,MORENA,SIGAMOS HACIENDO HISTORIA,True,158318,False
GUERRERO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,205125,False
