entidad_normalizada,distrito
AGUASCALIENTES,1
AGUASCALIENTES,2
AGUASCALIENTES,3
BAJA CALIFORNIA,1
BAJA CALIFORNIA,2
BAJA CALIFORNIA,3
BAJA CALIFORNIA,4
BAJA CALIFORNIA,5
BAJA CALIFORNIA,6
BAJA CALIFORNIA,7
BAJA CALIFORNIA,8
BAJA CALIFORNIA,9
BAJA CALIFORNIA SUR,1
BAJA CALIFORNIA SUR,2
CAMPECHE,1
CAMPECHE,2
CHIAPAS,1
CHIAPAS,2
CHIAPAS,3
CHIAPAS,4
CHIAPAS,5
CHIAPAS,6
CHIAPAS,7
CHIAPAS,8
CHIAPAS,9
CHIAPAS,10
CHIAPAS,11
CHIAPAS,12
CHIAPAS,13
CHIHUAHUA,1
CHIHUAHUA,2
CHIHUAHUA,3
CHIHUAHUA,4
CHIHUAHUA,5
CHIHUAHUA,6
CHIHUAHUA,7
CHIHUAHUA,8
CHIHUAHUA,9
CIUDAD DE MEXICO,1
CIUDAD DE MEXICO,2
CIUDAD DE MEXICO,3
CIUDAD DE MEXICO,4
CIUDAD DE MEXICO,5
CIUDAD DE MEXICO,6
CIUDAD DE MEXICO,7
CIUDAD DE MEXICO,8
CIUDAD DE MEXICO,9
CIUDAD DE MEXICO,10
CIUDAD DE MEXICO,11
CIUDAD DE MEXICO,12
CIUDAD DE MEXICO,13
CIUDAD DE MEXICO,14
CIUDAD DE MEXICO,15
CIUDAD DE MEXICO,16
CIUDAD DE MEXICO,17
CIUDAD DE MEXICO,18
CIUDAD DE MEXICO,19
CIUDAD DE MEXICO,20
CIUDAD DE MEXICO,21
CIUDAD DE MEXICO,22
COAHUILA,1
COAHUILA,2
COAHUILA,3
COAHUILA,4
COAHUILA,5
COAHUILA,6
COAHUILA,7
COAHUILA,8
COLIMA,1
COLIMA,2
DURANGO,1
DURANGO,2
DURANGO,3
DURANGO,4
GUANAJUATO,1
GUANAJUATO,2
GUANAJUATO,3
GUANAJUATO,4
GUANAJUATO,5
GUANAJUATO,6
GUANAJUATO,7
GUANAJUATO,8
GUANAJUATO,9
GUANAJUATO,10
GUANAJUATO,11
GUANAJUATO,12
GUANAJUATO,13
GUANAJUATO,14
GUANAJUATO,15
GUERRERO,1
GUERRERO,2
GUERRERO,3
GUERRERO,4
GUERRERO,5
GUERRERO,6
GUERRERO,7
GUERRERO,8
HIDALGO,1
HIDALGO,2
HIDALGO,3
HIDALGO,4
HIDALGO,5
HIDALGO,6
HIDALGO,7
JALISCO,1
JALISCO,2
JALISCO,3
JALISCO,4
JALISCO,5
JALISCO,6
JALISCO,7
JALISCO,8
JALISCO,9
JALISCO,10
JALISCO,11
JALISCO,12
JALISCO,13
JALISCO,14
JALISCO,15
JALISCO,16
JALISCO,17
JALISCO,18
JALISCO,19
JALISCO,20
MEXICO,1
MEXICO,2
MEXICO,3
MEXICO,4
MEXICO,5
MEXICO,6
MEXICO,7
MEXICO,8
MEXICO,9
MEXICO,10
MEXICO,11
MEXICO,12
MEXICO,13
MEXICO,14
MEXICO,15
MEXICO,16
MEXICO,17
MEXICO,18
MEXICO,19
MEXICO,20
MEXICO,21
MEXICO,22
MEXICO,23
MEXICO,24
MEXICO,25
MEXICO,26
MEXICO,27
MEXICO,28
MEXICO,29
MEXICO,30
MEXICO,31
MEXICO,32
MEXICO,33
MEXICO,34
MEXICO,35
MEXICO,36
MEXICO,37
MEXICO,38
MEXICO,39
MEXICO,40
MICHOACAN,1
MICHOACAN,2
MICHOACAN,3
MICHOACAN,4
MICHOACAN,5
