anio,escanos_totales,config_mr_rp,coalicion,morena_mr,morena_rp,morena_total,morena_pct,coalicion_total,coalicion_pct,mayoria_simple,mayoria_calificada
2018,400,50MR_50RP,CON,156,49,205,51.25,233,58.25,True,False
2018,400,50MR_50RP,SIN,156,11,167,41.75,205,51.25,True,False
2018,400,60MR_40RP,CON,187,18,205,51.25,231,57.75,True,False
2018,400,60MR_40RP,SIN,187,0,167,41.75,203,50.75,True,False
2018,400,75MR_25RP,CON,163,42,205,51.25,267,66.75,True,True
2018,400,75MR_25RP,SIN,234,0,167,41.75,201,50.25,True,False
2018,500,50MR_50RP,CON,195,62,257,51.4,293,58.6,True,False
2018,500,50MR_50RP,SIN,196,13,209,41.8,256,51.2,True,False
2018,500,60MR_40RP,CON,163,105,268,53.6,343,68.6,True,True
2018,500,60MR_40RP,SIN,234,0,209,41.8,254,50.8,True,False
2018,500,75MR_25RP,CON,306,0,257,51.4,290,58.0,True,False
2018,500,75MR_25RP,SIN,292,0,209,41.8,250,50.0,False,False
2018,600,50MR_50RP,CON,163,140,303,50.5,396,66.0,True,False
2018,600,50MR_50RP,SIN,234,16,250,41.67,306,51.0,True,False
2018,600,60MR_40RP,CON,291,17,308,51.33,350,58.33,True,False
2018,600,60MR_40RP,SIN,281,0,250,41.67,303,50.5,True,False
2018,600,75MR_25RP,CON,372,0,308,51.33,347,57.83,True,False
2018,600,75MR_25RP,SIN,352,0,250,41.67,301,50.17,True,False
2021,400,50MR_50RP,CON,131,53,184,46.0,208,52.0,True,False
2021,400,50MR_50RP,SIN,134,53,187,46.75,211,52.75,True,False
2021,400,60MR_40RP,CON,156,28,184,46.0,207,51.75,True,False
2021,400,60MR_40RP,SIN,162,25,187,46.75,209,52.25,True,False
2021,400,75MR_25RP,CON,135,38,173,43.25,238,59.5,True,False
2021,400,75MR_25RP,SIN,202,0,187,46.75,207,51.75,True,False
2021,500,50MR_50RP,CON,163,67,230,46.0,261,52.2,True,False
2021,500,50MR_50RP,SIN,169,64,233,46.6,262,52.4,True,False
2021,500,60MR_40RP,CON,135,76,211,42.2,285,57.0,True,False
2021,500,60MR_40RP,SIN,202,31,233,46.6,261,52.2,True,False
2021,500,75MR_25RP,CON,262,0,230,46.0,258,51.6,True,False
2021,500,75MR_25RP,SIN,252,0,233,46.6,258,51.6,True,False
2021,600,50MR_50RP,CON,135,114,249,41.5,333,55.5,True,False
2021,600,50MR_50RP,SIN,202,78,280,46.67,316,52.67,True,False
2021,600,60MR_40RP,CON,249,27,276,46.0,312,52.0,True,False
2021,600,60MR_40RP,SIN,242,38,280,46.67,314,52.33,True,False
2021,600,75MR_25RP,CON,319,0,276,46.0,309,51.5,True,False
2021,600,75MR_25RP,SIN,303,0,280,46.67,310,51.67,True,False
2024,400,50MR_50RP,CON,161,45,206,51.5,251,62.75,True,False
2024,400,50MR_50RP,SIN,163,55,218,54.5,254,63.5,True,False
2024,400,60MR_40RP,CON,193,13,206,51.5,248,62.0,True,False
2024,400,60MR_40RP,SIN,196,22,218,54.5,253,63.25,True,False
2024,400,75MR_25RP,CON,160,43,203,50.75,314,78.5,True,True
2024,400,75MR_25RP,SIN,245,0,218,54.5,251,62.75,True,False
2024,500,50MR_50RP,CON,201,56,257,51.4,313,62.6,True,False
2024,500,50MR_50RP,SIN,204,68,272,54.4,318,63.6,True,False
2024,500,60MR_40RP,CON,160,87,247,49.4,373,74.6,True,True
2024,500,60MR_40RP,SIN,245,27,272,54.4,317,63.4,True,False
2024,500,75MR_25RP,CON,311,0,257,51.4,309,61.8,True,False
2024,500,75MR_25RP,SIN,306,0,272,54.4,315,63.0,True,False
2024,600,50MR_50RP,CON,160,131,291,48.5,431,71.83,True,True
2024,600,50MR_50RP,SIN,245,82,327,54.5,381,63.5,True,False
2024,600,60MR_40RP,CON,299,10,309,51.5,375,62.5,True,False
2024,600,60MR_40RP,SIN,294,33,327,54.5,380,63.33,True,False
2024,600,75MR_25RP,CON,380,0,309,51.5,374,62.33,True,False
2024,600,75MR_25RP,SIN,367,0,327,54.5,378,63.0,True,False
