anio,escanos_totales,config_mr_rp,coalicion,morena_mr,morena_rp,morena_total,morena_pct,coalicion_total,coalicion_pct,mayoria_simple_morena,mayoria_calificada_morena,mayoria_simple_coalicion,mayoria_calificada_coalicion
2018,400,50MR_50RP,CON,156,87,243,60.75,264,66,True,False,True,False
2018,400,50MR_50RP,SIN,156,68,224,56,251,62.75,True,False,True,False
2018,400,60MR_40RP,CON,187,70,257,64.25,274,68.5,True,False,True,True
2018,400,60MR_40RP,SIN,187,54,241,60.25,263,65.75,True,False,True,False
2018,400,75MR_25RP,CON,163,43,206,51.5,282,70.5,True,False,True,True
2018,400,75MR_25RP,SIN,234,34,268,67,282,70.5,True,True,True,True
2018,500,50MR_50RP,CON,195,109,304,60.8,331,66.2,True,False,True,False
2018,500,50MR_50RP,SIN,196,85,281,56.2,314,62.8,True,False,True,False
2018,500,60MR_40RP,CON,163,87,250,50,335,67,False,False,True,True
2018,500,60MR_40RP,SIN,234,68,302,60.4,329,65.8,True,False,True,False
2018,500,75MR_25RP,CON,306,54,360,72,374,74.8,True,True,True,True
2018,500,75MR_25RP,SIN,292,42,334,66.8,351,70.2,True,True,True,True
2018,600,50MR_50RP,CON,163,130,293,48.83,389,64.83,False,False,True,False
2018,600,50MR_50RP,SIN,234,101,335,55.83,375,62.5,True,False,True,False
2018,600,60MR_40RP,CON,291,104,395,65.83,421,70.17,True,False,True,True
2018,600,60MR_40RP,SIN,281,81,362,60.33,393,65.5,True,False,True,False
2018,600,75MR_25RP,CON,372,65,437,72.83,453,75.5,True,True,True,True
2018,600,75MR_25RP,SIN,352,51,403,67.17,424,70.67,True,True,True,True
2021,400,50MR_50RP,CON,131,76,207,51.75,228,57,True,False,True,False
2021,400,50MR_50RP,SIN,134,77,211,52.75,231,57.75,True,False,True,False
2021,400,60MR_40RP,CON,156,61,217,54.25,235,58.75,True,False,True,False
2021,400,60MR_40RP,SIN,162,62,224,56,240,60,True,False,True,False
