Estado,Total Distritos,Distritos MORENA,% MORENA
AGUASCALIENTES,4,1,25.0
BAJA CALIFORNIA,7,4,57.1
BAJA CALIFORNIA SUR,3,1,33.3
CAMPECHE,3,1,33.3
CHIAPAS,6,2,33.3
CHIHUAHUA,3,1,33.3
COAHUILA,10,4,40.0
COLIMA,7,2,28.6
CIUDAD DE MEXICO,15,6,40.0
DURANGO,5,2,40.0
GUANAJUATO,11,4,36.4
GUERRERO,7,3,42.9
HIDALGO,6,3,50.0
JALISCO,14,4,28.6
MEXICO,26,12,46.2
MICHOACAN,9,4,44.4
MORELOS,5,2,40.0
NAYARIT,4,1,25.0
NUEVO LEON,10,2,20.0
OAXACA,8,4,50.0
PUEBLA,11,5,45.5
QUERETARO,5,2,40.0
QUINTANA ROO,5,2,40.0
SAN LUIS POTOSI,6,1,16.7
SINALOA,6,3,50.0
SONORA,6,3,50.0
TABASCO,5,3,60.0
TAMAULIPAS,7,3,42.9
TLAXCALA,4,1,25.0
VERACRUZ,13,7,53.8
YUCATAN,5,2,40.0
ZACATECAS,4,1,25.0
