ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
BAJA CALIFORNIA,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],77248.0,{'MORENA': 77248.0}
BAJA CALIFORNIA SUR,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],85267.0,{'MORENA': 85267.0}
CHIHUAHUA,1,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],97871.0,{'MORENA': 97871.0}
CIUDAD DE MEXICO,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],123292.0,{'MORENA': 123292.0}
COLIMA,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],57932.0,{'MORENA': 57932.0}
DURANGO,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73021.0,{'MORENA': 73021.0}
GUERRERO,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],120338.0,{'MORENA': 120338.0}
HIDALGO,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94324.0,{'MORENA': 94324.0}
JALISCO,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],71463.0,{'MORENA': 71463.0}
MEXICO,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],103987.0,{'MORENA': 103987.0}
MICHOACAN,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],73176.0,{'MORENA': 73176.0}
MORELOS,1,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],72505.0,{'MORENA': 72505.0}
NAYARIT,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],67672.0,{'MORENA': 67672.0}
OAXACA,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],109208.0,{'MORENA': 109208.0}
PUEBLA,1,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],86992.0,{'MORENA': 86992.0}
