ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
AGUASCALIENTES,1,,PAN,PAN,PVEM,,,0,0
AGUASCALIENTES,2,,PAN,PAN,MORENA,,,0,0
AGUASCALIENTES,3,,PAN,PAN,MORENA,,,0,0
BAJA CALIFORNIA,1,,MORENA,MORENA,PAN,,,0,0
BAJA CALIFORNIA,2,,MORENA,MORENA,PAN,,,0,0
BAJA CALIFORNIA,3,,MORENA,MORENA,PRD,,,0,0
BAJA CALIFORNIA,4,,MORENA,MORENA,PRD,,,0,0
BAJA CALIFORNIA,5,,MORENA,MORENA,PAN,,,0,0
BAJA CALIFORNIA,6,,MORENA,MORENA,PRI,,,0,0
BAJA CALIFORNIA,7,,MORENA,MORENA,PRI,,,0,0
BAJA CALIFORNIA,8,,MORENA,MORENA,PVEM,,,0,0
BAJA CALIFORNIA,9,,MORENA,MORENA,PRI,,,0,0
BAJA CALIFORNIA SUR,1,,MORENA,MORENA,PVEM,,,0,0
BAJA CALIFORNIA SUR,2,,MORENA,MORENA,PT,,,0,0
CAMPECHE,1,,MC,MC,MORENA,,,0,0
CAMPECHE,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,1,,PVEM,PVEM,PT,,,1,0
CHIAPAS,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,3,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,5,,PRI,PRI,MORENA,,,0,0
CHIAPAS,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,7,,MORENA,MORENA,PRI,,,0,0
CHIAPAS,8,,MORENA,MORENA,PT,,,0,0
CHIAPAS,9,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIAPAS,10,,MORENA,MORENA,PVEM,,,0,0
CHIAPAS,11,,MORENA,MORENA,PVEM,,,0,0
CHIAPAS,12,,MORENA,MORENA,PRD,,,0,0
CHIAPAS,13,,MORENA,MORENA,PVEM,,,0,0
CHIHUAHUA,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIHUAHUA,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CHIHUAHUA,3,,MORENA,MORENA,PT,,,0,0
CHIHUAHUA,4,,MORENA,MORENA,PVEM,,,0,0
CHIHUAHUA,5,,PAN,PAN,MORENA,,,0,0
CHIHUAHUA,6,,PAN,PAN,MORENA,,,0,0
CHIHUAHUA,7,,MORENA,MORENA,PT,,,0,0
CHIHUAHUA,8,,PAN,PAN,PVEM,,,0,0
CHIHUAHUA,9,,MORENA,MORENA,PVEM,,,0,0
CIUDAD DE MEXICO,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,2,,MORENA,MORENA,PT,,,0,0
CIUDAD DE MEXICO,3,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,8,,MORENA,MORENA,PVEM,,,0,0
CIUDAD DE MEXICO,9,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,10,,PAN,PAN,MORENA,,,0,0
CIUDAD DE MEXICO,11,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,12,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,13,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,14,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,15,,PAN,PAN,PVEM,,,0,0
CIUDAD DE MEXICO,16,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,17,,MORENA,MORENA,PVEM,,,0,0
CIUDAD DE MEXICO,18,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,19,,PAN,PAN,PVEM,,,0,0
CIUDAD DE MEXICO,20,,MORENA,MORENA,PT,,,0,0
CIUDAD DE MEXICO,21,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
CIUDAD DE MEXICO,22,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
COAHUILA,1,,PRI,PRI,PT,,,0,0
COAHUILA,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
COAHUILA,3,,PRI,PRI,PT,,,0,0
COAHUILA,4,,PRI,PRI,PT,,,0,0
COAHUILA,5,,PRI,PRI,PVEM,,,0,0
COAHUILA,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
COAHUILA,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
COAHUILA,8,,MORENA,MORENA,PVEM,,,0,0
COLIMA,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
COLIMA,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
DURANGO,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
DURANGO,2,,MORENA,MORENA,PT,,,0,0
DURANGO,3,,MORENA,MORENA,PVEM,,,0,0
DURANGO,4,,MORENA,MORENA,PT,,,0,0
GUANAJUATO,1,,PAN,PAN,PT,,,0,0
GUANAJUATO,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,3,,PAN,PAN,PVEM,,,0,0
GUANAJUATO,4,,PAN,PAN,MORENA,,,0,0
GUANAJUATO,5,,PAN,PAN,PVEM,,,0,0
GUANAJUATO,6,,PAN,PAN,MORENA,,,0,0
GUANAJUATO,7,,PAN,PAN,PVEM,,,0,0
GUANAJUATO,8,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,9,,PAN,PAN,PVEM,,,0,0
GUANAJUATO,10,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,11,,PAN,PAN,MORENA,,,0,0
GUANAJUATO,12,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,13,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,14,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUANAJUATO,15,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUERRERO,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUERRERO,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUERRERO,3,,MORENA,MORENA,PVEM,,,0,0
GUERRERO,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUERRERO,5,,MORENA,MORENA,PT,,,0,0
GUERRERO,6,,MORENA,MORENA,PVEM,,,0,0
GUERRERO,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
GUERRERO,8,,MORENA,MORENA,PVEM,,,0,0
HIDALGO,1,,MORENA,MORENA,PRI,,,0,0
HIDALGO,2,,MORENA,MORENA,PVEM,,,0,0
HIDALGO,3,,MORENA,MORENA,PRD,,,0,0
HIDALGO,4,,MORENA,MORENA,PRI,,,0,0
HIDALGO,5,,MORENA,MORENA,PAN,,,0,0
HIDALGO,6,,MORENA,MORENA,PRI,,,0,0
HIDALGO,7,,MORENA,MORENA,PRI,,,0,0
JALISCO,1,,MORENA,MORENA,PT,,,0,0
JALISCO,2,,MC,MC,MORENA,,,0,0
JALISCO,3,,PAN,PAN,PAN,PAN,PAN,0,0
JALISCO,4,,MC,MC,MORENA,,,0,0
JALISCO,5,,MORENA,MORENA,PRI,,,0,0
JALISCO,6,,MC,MC,MORENA,,,0,0
JALISCO,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
JALISCO,8,,MC,MC,PT,,,0,0
JALISCO,9,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
JALISCO,10,,PAN,PAN,PVEM,,,0,0
JALISCO,11,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
JALISCO,12,,MC,MC,MORENA,,,0,0
JALISCO,13,,MORENA,MORENA,PT,,,0,0
JALISCO,14,,MORENA,MORENA,PVEM,,,0,0
JALISCO,15,,PAN,PAN,MORENA,,,0,0
JALISCO,16,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
