ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
AGUASCALIENTES,AGUASCALIENTES,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,215011,1,PAN,SIGAMOS HACIENDO HISTORIA,True
AGUASCALIENTES,AGUASCALIENTES,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,188541,1,PAN,SIGAMOS HACIENDO HISTORIA,True
AGUASCALIENTES,AGUASCALIENTES,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,231725,1,PAN,SIGAMOS HACIENDO HISTORIA,True
BAJA CALIFORNIA,BAJA CALIFORNIA,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,163614,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,157587,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,157764,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,163745,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,188936,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,174319,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,145214,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA,BAJA CALIFORNIA,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,161531,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
BAJA CALIFORNIA,BAJA CALIFORNIA,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,147006,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,192190,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,131930,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CAMPECHE,CAMPECHE,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,232695,1,MC,SIGAMOS HACIENDO HISTORIA,True
CAMPECHE,CAMPECHE,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,199830,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,194223,1,PVEM,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,165724,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,186666,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,180297,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,182649,1,PRI,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,174102,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,183226,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
CHIAPAS,CHIAPAS,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,169658,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,155200,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,172022,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,168602,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CHIAPAS,CHIAPAS,12,012,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,167747,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
CHIAPAS,CHIAPAS,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,171452,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
