DIST_CH,partido,votos
004,MORENA,2051463.0
004,PAN,913113.0
004,PRI,527279.0
004,MC,525420.0
004,PVEM,411951.0
004,PT,286570.0
004,PRD,111095.0
005,MORENA,1807769.0
005,PAN,770914.0
005,PRI,542657.0
005,MC,430678.0
005,PVEM,423955.0
005,PT,313098.0
005,PRD,115890.0
007,MORENA,1527659.0
007,PAN,457947.0
007,PRI,382451.0
007,MC,366897.0
007,PVEM,355367.0
007,PT,190894.0
007,PRD,81373.0
010,MORENA,715560.0
010,PAN,530061.0
010,MC,288148.0
010,PRI,211251.0
010,PVEM,157942.0
010,PT,95577.0
010,PRD,44821.0
021,MORENA,184979.0
021,MC,60629.0
021,PRI,51244.0
021,PAN,46525.0
021,PVEM,39625.0
021,PT,21632.0
021,PRD,11121.0
024,MORENA,118635.0
024,PAN,43966.0
024,PRI,25795.0
024,MC,23641.0
024,PVEM,18918.0
024,PT,10858.0
024,PRD,4185.0
026,MORENA,92886.0
026,PRI,45068.0
026,PAN,24071.0
026,MC,22369.0
026,PVEM,16070.0
026,PT,8516.0
026,PRD,3132.0
030,MORENA,78287.0
030,PRI,35008.0
030,MC,13721.0
030,PVEM,9280.0
030,PAN,7897.0
030,PT,6634.0
030,PRD,2846.0
035,MORENA,76329.0
035,PRI,35227.0
035,MC,34695.0
035,PVEM,27517.0
035,PT,15872.0
035,PAN,12892.0
035,PRD,5998.0
037,MORENA,99924.0
037,PAN,30611.0
037,MC,25017.0
037,PRI,19092.0
037,PVEM,17170.0
037,PT,10050.0
037,PRD,2522.0
