ENTIDAD,DISTRITO,assigned_party,reason
BAJA CALIFORNIA,1,PAN,siglado_ppn
BAJA CALIFORNIA SUR,1,PAN,siglado_ppn_mismatch_fallback_votes
CAMPECHE,1,MORENA,siglado_ppn
CHIAPAS,1,PRD,siglado_ppn_mismatch_fallback_votes
CHIHUAHUA,1,MORENA,siglado_ppn
CIUDAD DE MEXICO,1,MORENA,siglado_ppn
COAHUILA,1,PRI,siglado_ppn_mismatch_fallback_votes
COLIMA,1,MORENA,siglado_ppn
DURANGO,1,MORENA,siglado_ppn
GUERRERO,1,MORENA,siglado_ppn
HIDALGO,1,PRI,siglado_ppn
JALISCO,1,PAN,siglado_ppn_mismatch_fallback_votes
MEXICO,1,PRI,siglado_ppn_mismatch_fallback_votes
MICHOACAN,1,PRI,siglado_ppn
MORELOS,1,MORENA,siglado_ppn
NAYARIT,1,MORENA,siglado_ppn
OAXACA,1,MORENA,siglado_ppn
PUEBLA,1,MORENA,siglado_ppn
QUERETARO,1,MORENA,siglado_ppn
QUINTANA ROO,1,PRD,siglado_ppn_mismatch_fallback_votes
SAN LUIS POTOSI,1,MORENA,siglado_ppn
SINALOA,1,PAN,siglado_ppn_mismatch_fallback_votes
SONORA,1,MORENA,siglado_ppn
TABASCO,1,PRD,siglado_ppn
TAMAULIPAS,1,PAN,siglado_ppn_mismatch_fallback_votes
TLAXCALA,1,PAN,siglado_ppn_mismatch_fallback_votes
VERACRUZ,1,PAN,siglado_ppn_mismatch_fallback_votes
YUCATAN,1,MORENA,siglado_ppn
ZACATECAS,1,MORENA,siglado_ppn
BAJA CALIFORNIA,2,PAN,siglado_ppn
BAJA CALIFORNIA SUR,2,PAN,siglado_ppn_mismatch_fallback_votes
CAMPECHE,2,MORENA,siglado_ppn
CHIAPAS,2,MORENA,siglado_ppn
CHIHUAHUA,2,MORENA,siglado_ppn
CIUDAD DE MEXICO,2,PRI,siglado_ppn_mismatch_fallback_votes
COAHUILA,2,MORENA,siglado_ppn
COLIMA,2,MORENA,siglado_ppn
DURANGO,2,PRI,siglado_ppn_mismatch_fallback_votes
GUANAJUATO,2,MORENA,siglado_ppn
GUERRERO,2,MORENA,siglado_ppn
HIDALGO,2,PRD,siglado_ppn_mismatch_fallback_votes
JALISCO,2,MC,individual_party_win
MEXICO,2,PRD,siglado_ppn_mismatch_fallback_votes
MICHOACAN,2,PRD,siglado_ppn
MORELOS,2,MORENA,siglado_ppn
NAYARIT,2,MORENA,siglado_ppn
OAXACA,2,MORENA,siglado_ppn
PUEBLA,2,PRI,siglado_ppn_mismatch_fallback_votes
QUERETARO,2,PAN,siglado_ppn_mismatch_fallback_votes
QUINTANA ROO,2,MORENA,siglado_ppn
SAN LUIS POTOSI,2,PRD,siglado_ppn_mismatch_fallback_votes
SINALOA,2,PAN,siglado_ppn
SONORA,2,MORENA,siglado_ppn
TABASCO,2,PRD,siglado_ppn
TAMAULIPAS,2,MORENA,siglado_ppn
TLAXCALA,2,PRI,siglado_ppn_mismatch_fallback_votes
VERACRUZ,2,PRD,siglado_ppn_mismatch_fallback_votes
YUCATAN,2,PAN,siglado_ppn_mismatch_fallback_votes
ZACATECAS,2,PAN,siglado_ppn_mismatch_fallback_votes
BAJA CALIFORNIA,3,PRD,siglado_ppn
CHIAPAS,3,MORENA,siglado_ppn
CHIHUAHUA,3,PRI,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,3,MORENA,siglado_ppn
DURANGO,3,PRD,siglado_ppn_mismatch_fallback_votes
GUERRERO,3,PRD,siglado_ppn_mismatch_fallback_votes
HIDALGO,3,PRD,siglado_ppn
MEXICO,3,PRI,siglado_ppn_mismatch_fallback_votes
MICHOACAN,3,PRD,siglado_ppn_mismatch_fallback_votes
MORELOS,3,PRD,siglado_ppn_mismatch_fallback_votes
NAYARIT,3,PAN,siglado_ppn_mismatch_fallback_votes
NUEVO LEON,3,PAN,siglado_ppn_mismatch_fallback_votes
OAXACA,3,PAN,siglado_ppn_mismatch_fallback_votes
PUEBLA,3,MORENA,siglado_ppn
QUINTANA ROO,3,PRI,siglado_ppn
SAN LUIS POTOSI,3,PRI,siglado_ppn_mismatch_fallback_votes
SINALOA,3,PRI,siglado_ppn_mismatch_fallback_votes
SONORA,3,PAN,siglado_ppn_mismatch_fallback_votes
TABASCO,3,PRD,siglado_ppn
TAMAULIPAS,3,PRI,siglado_ppn_mismatch_fallback_votes
TLAXCALA,3,PRD,siglado_ppn_mismatch_fallback_votes
VERACRUZ,3,PRI,siglado_ppn_mismatch_fallback_votes
YUCATAN,3,MORENA,siglado_ppn
ZACATECAS,3,PRD,siglado_ppn_mismatch_fallback_votes
BAJA CALIFORNIA,4,PRD,siglado_ppn
CHIAPAS,4,MORENA,siglado_ppn
CHIHUAHUA,4,PAN,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,4,MORENA,siglado_ppn
GUERRERO,4,MORENA,siglado_ppn
HIDALGO,4,PRI,siglado_ppn
JALISCO,4,MORENA,siglado_ppn
MEXICO,4,MORENA,siglado_ppn
MICHOACAN,4,MORENA,siglado_ppn
MORELOS,4,MORENA,siglado_ppn
OAXACA,4,PRI,siglado_ppn
PUEBLA,4,MORENA,siglado_ppn
QUINTANA ROO,4,MORENA,siglado_ppn
SAN LUIS POTOSI,4,MORENA,siglado_ppn
