ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores_x,siglado_ppn_x,mr_por_convenio_x,mr_por_afiliacion,winner_by_votes_valid_x,winner_by_votes_raw_x,district_id,mr_raw_assigned_party,mr_raw_reasons,winner_by_votes_raw_y,winner_by_votes_valid_y,siglado_ppn_y,mr_por_convenio_y,postuladores_y
AGUASCALIENTES,1,PAN,votes_valid,,PVEM,,,PAN,PAN,AGUASCALIENTES-1,,,PAN,PAN,PVEM,,
AGUASCALIENTES,2,PAN,votes_valid,,MORENA,,,PAN,PAN,AGUASCALIENTES-2,,,PAN,PAN,MORENA,,
AGUASCALIENTES,3,PAN,votes_valid,,MORENA,,,PAN,PAN,AGUASCALIENTES-3,,,PAN,PAN,MORENA,,
BAJA CALIFORNIA,1,MORENA,votes_valid,,PAN,,,MORENA,MORENA,BAJA CALIFORNIA-1,PAN,siglado_ppn,MORENA,MORENA,PAN,,
BAJA CALIFORNIA,2,MORENA,votes_valid,,PAN,,,MORENA,MORENA,BAJA CALIFORNIA-2,PAN,siglado_ppn,MORENA,MORENA,PAN,,
BAJA CALIFORNIA,3,MORENA,votes_valid,,PRD,,,MORENA,MORENA,BAJA CALIFORNIA-3,PRD,siglado_ppn,MORENA,MORENA,PRD,,
BAJA CALIFORNIA,4,MORENA,votes_valid,,PRD,,,MORENA,MORENA,BAJA CALIFORNIA-4,PRD,siglado_ppn,MORENA,MORENA,PRD,,
BAJA CALIFORNIA,5,MORENA,votes_valid,,PAN,,,MORENA,MORENA,BAJA CALIFORNIA-5,PAN,siglado_ppn,MORENA,MORENA,PAN,,
BAJA CALIFORNIA,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA,BAJA CALIFORNIA-6,PRI,siglado_ppn,MORENA,MORENA,PRI,,
BAJA CALIFORNIA,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA,BAJA CALIFORNIA-7,PRI,siglado_ppn,MORENA,MORENA,PRI,,
BAJA CALIFORNIA,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,BAJA CALIFORNIA-8,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
BAJA CALIFORNIA,9,MORENA,votes_valid,,PRI,,,MORENA,MORENA,BAJA CALIFORNIA-9,PRI,siglado_ppn,MORENA,MORENA,PRI,,
BAJA CALIFORNIA SUR,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,BAJA CALIFORNIA SUR-1,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
