ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
BAJA CALIFORNIA,3,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
BAJA CALIFORNIA,4,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
CHIAPAS,12,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
HIDALGO,3,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
MEXICO,11,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
MEXICO,29,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
MEXICO,31,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
MICHOACAN,2,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
TABASCO,1,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
TABASCO,2,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
TABASCO,3,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
TABASCO,5,PRD,MORENA,PRD,PRD,PRD,PRD,0,0
