ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado,post_list
AGUASCALIENTES,1,,PAN,PAN,PVEM,,,0,0,[]
BAJA CALIFORNIA,8,,MORENA,MORENA,PVEM,,,0,0,[]
BAJA CALIFORNIA SUR,1,,MORENA,MORENA,PVEM,,,0,0,[]
CHIAPAS,10,,MORENA,MORENA,PVEM,,,0,0,[]
CHIAPAS,11,,MORENA,MORENA,PVEM,,,0,0,[]
CHIAPAS,13,,MORENA,MORENA,PVEM,,,0,0,[]
CHIHUAHUA,4,,MORENA,MORENA,PVEM,,,0,0,[]
CHIHUAHUA,8,,PAN,PAN,PVEM,,,0,0,[]
CHIHUAHUA,9,,MORENA,MORENA,PVEM,,,0,0,[]
CIUDAD DE MEXICO,8,,MORENA,MORENA,PVEM,,,0,0,[]
CIUDAD DE MEXICO,15,,PAN,PAN,PVEM,,,0,0,[]
CIUDAD DE MEXICO,17,,MORENA,MORENA,PVEM,,,0,0,[]
CIUDAD DE MEXICO,19,,PAN,PAN,PVEM,,,0,0,[]
COAHUILA,5,,PRI,PRI,PVEM,,,0,0,[]
COAHUILA,8,,MORENA,MORENA,PVEM,,,0,0,[]
DURANGO,3,,MORENA,MORENA,PVEM,,,0,0,[]
GUANAJUATO,3,,PAN,PAN,PVEM,,,0,0,[]
GUANAJUATO,5,,PAN,PAN,PVEM,,,0,0,[]
GUANAJUATO,7,,PAN,PAN,PVEM,,,0,0,[]
GUANAJUATO,9,,PAN,PAN,PVEM,,,0,0,[]
GUERRERO,3,,MORENA,MORENA,PVEM,,,0,0,[]
GUERRERO,6,,MORENA,MORENA,PVEM,,,0,0,[]
GUERRERO,8,,MORENA,MORENA,PVEM,,,0,0,[]
HIDALGO,2,,MORENA,MORENA,PVEM,,,0,0,[]
JALISCO,10,,PAN,PAN,PVEM,,,0,0,[]
JALISCO,14,,MORENA,MORENA,PVEM,,,0,0,[]
JALISCO,17,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,1,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,9,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,18,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,20,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,23,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,24,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,26,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,38,,MORENA,MORENA,PVEM,,,0,0,[]
MEXICO,40,,MORENA,MORENA,PVEM,,,0,0,[]
MICHOACAN,8,,MORENA,MORENA,PVEM,,,0,0,[]
MICHOACAN,9,,MORENA,MORENA,PVEM,,,0,0,[]
MORELOS,3,,MORENA,MORENA,PVEM,,,0,0,[]
NUEVO LEON,1,,PAN,PAN,PVEM,,,0,0,[]
NUEVO LEON,7,,MC,MC,PVEM,,,0,0,[]
NUEVO LEON,12,,MC,MC,PVEM,,,0,0,[]
NUEVO LEON,13,,MC,MC,PVEM,,,0,0,[]
OAXACA,7,,MORENA,MORENA,PVEM,,,0,0,[]
OAXACA,8,,MORENA,MORENA,PVEM,,,0,0,[]
OAXACA,9,,MORENA,MORENA,PVEM,,,0,0,[]
PUEBLA,2,,MORENA,MORENA,PVEM,,,0,0,[]
PUEBLA,9,,MORENA,MORENA,PVEM,,,0,0,[]
PUEBLA,16,,MORENA,MORENA,PVEM,,,0,0,[]
QUERETARO,2,,MORENA,MORENA,PVEM,,,0,0,[]
QUINTANA ROO,1,,MORENA,MORENA,PVEM,,,0,0,[]
SAN LUIS POTOSI,2,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0,[]
SAN LUIS POTOSI,3,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0,[]
SAN LUIS POTOSI,5,,PAN,PAN,PVEM,,,0,0,[]
SAN LUIS POTOSI,6,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0,[]
SINALOA,1,,MORENA,MORENA,PVEM,,,0,0,[]
SINALOA,4,,MORENA,MORENA,PVEM,,,0,0,[]
SONORA,6,,MORENA,MORENA,PVEM,,,0,0,[]
TAMAULIPAS,1,,MORENA,MORENA,PVEM,,,0,0,[]
TAMAULIPAS,3,,MORENA,MORENA,PVEM,,,0,0,[]
TAMAULIPAS,4,,MORENA,MORENA,PVEM,,,0,0,[]
TAMAULIPAS,5,,MORENA,MORENA,PVEM,,,0,0,[]
TLAXCALA,2,,MORENA,MORENA,PVEM,,,0,0,[]
VERACRUZ,1,,MORENA,MORENA,PVEM,,,0,0,[]
VERACRUZ,2,,MORENA,MORENA,PVEM,,,0,0,[]
VERACRUZ,3,,MORENA,MORENA,PVEM,,,0,0,[]
VERACRUZ,13,,MORENA,MORENA,PVEM,,,0,0,[]
VERACRUZ,18,,MORENA,MORENA,PVEM,,,0,0,[]
YUCATAN,2,,MORENA,MORENA,PVEM,,,0,0,[]
YUCATAN,5,,MORENA,MORENA,PVEM,,,0,0,[]
ZACATECAS,2,,MORENA,MORENA,PVEM,,,0,0,[]
