ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
A,A__12,A__12,MORENA,400.0,False
A,A__29,A__29,MORENA,400.0,False
A,A__22,A__22,MORENA,400.0,False
A,A__18,A__18,MORENA,400.0,False
A,A__5,A__5,MORENA,400.0,False
A,A__2,A__2,MORENA,400.0,False
A,A__26,A__26,MORENA,400.0,False
A,A__19,A__19,MORENA,400.0,False
A,A__1,A__1,MORENA,400.0,False
A,A__30,A__30,MORENA,400.0,False
A,A__25,A__25,MORENA,400.0,False
A,A__7,A__7,MORENA,400.0,False
A,A__6,A__6,MORENA,400.0,False
A,A__10,A__10,MORENA,400.0,False
A,A__16,A__16,MORENA,400.0,False
A,A__13,A__13,MORENA,400.0,False
A,A__9,A__9,MORENA,400.0,False
A,A__20,A__20,MORENA,400.0,False
A,A__4,A__4,MORENA,400.0,False
A,A__11,A__11,MORENA,400.0,False
