ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,145214.0,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,174102.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2,MORENA,123778.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,253736.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,MORENA,219252.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,268754.0,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,189909.0,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,151420.0,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,193604.0,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,202796.0,False
JALISCO,JALISCO__4,JALISCO__4,MC,199074.0,False
JALISCO,JALISCO__17,JALISCO__17,MORENA,175800.0,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,242916.0,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,214870.0,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,190335.0,False
MEXICO,MEXICO__30,MEXICO__30,MORENA,153673.0,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,237014.0,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,143764.0,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180353.0,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,181484.0,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,163859.0,False
PUEBLA,PUEBLA__14,PUEBLA__14,MORENA,190762.0,False
PUEBLA,PUEBLA__12,PUEBLA__12,MORENA,203366.0,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,228344.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__6,SAN LUIS POTOSI__6,PVEM,195694.0,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,187759.0,False
SONORA,SONORA__3,SONORA__3,MORENA,156625.0,False
TABASCO,TABASCO__2,TABASCO__2,MORENA,173399.0,False
TAMAULIPAS,TAMAULIPAS__3,TAMAULIPAS__3,MORENA,193471.0,False
VERACRUZ,VERACRUZ__13,VERACRUZ__13,MORENA,169028.0,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,173704.0,False
YUCATAN,YUCATAN__2,YUCATAN__2,MORENA,243417.0,False
