ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,231725.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,157764.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,174319.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,172022.0,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,MORENA,183226.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,171452.0,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,MORENA,176780.0,False
CHIHUAHUA,CHIHUAHUA__6,CHIHUAHUA__6,PAN,223014.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,268754.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,282997.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,MORENA,219252.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,MORENA,201083.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,283787.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,PAN,289959.0,False
COAHUILA,COAHUILA__7,COAHUILA__7,MORENA,197992.0,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,189655.0,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,172299.0,False
GUANAJUATO,GUANAJUATO__12,GUANAJUATO__12,MORENA,197710.0,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,169642.0,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,151420.0,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,175898.0,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,189536.0,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,228306.0,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,216352.0,False
JALISCO,JALISCO__4,JALISCO__4,MC,199074.0,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,229281.0,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,140136.0,False
JALISCO,JALISCO__3,JALISCO__3,PAN,189508.0,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,212112.0,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,181990.0,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,242916.0,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,170538.0,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,284865.0,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,231673.0,False
MEXICO,MEXICO__36,MEXICO__36,MORENA,205299.0,False
MEXICO,MEXICO__39,MEXICO__39,MORENA,165350.0,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,207502.0,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,190416.0,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,143764.0,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,200721.0,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,173674.0,False
NUEVO LEON,NUEVO LEON__13,NUEVO LEON__13,MC,126180.0,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MORENA,161437.0,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PAN,231009.0,False
OAXACA,OAXACA__10,OAXACA__10,MORENA,167885.0,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,152555.0,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,210522.0,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,201222.0,False
PUEBLA,PUEBLA__14,PUEBLA__14,MORENA,190762.0,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,228344.0,False
QUINTANA ROO,QUINTANA ROO__3,QUINTANA ROO__3,MORENA,198750.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__2,SAN LUIS POTOSI__2,PVEM,156010.0,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,187759.0,False
SONORA,SONORA__4,SONORA__4,MORENA,164914.0,False
TABASCO,TABASCO__5,TABASCO__5,MORENA,201550.0,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,MORENA,217789.0,False
TAMAULIPAS,TAMAULIPAS__4,TAMAULIPAS__4,MORENA,174325.0,False
TLAXCALA,TLAXCALA__3,TLAXCALA__3,MORENA,237698.0,False
VERACRUZ,VERACRUZ__12,VERACRUZ__12,MORENA,172695.0,False
VERACRUZ,VERACRUZ__13,VERACRUZ__13,MORENA,169028.0,False
VERACRUZ,VERACRUZ__16,VERACRUZ__16,MORENA,202868.0,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,173704.0,False
YUCATAN,YUCATAN__5,YUCATAN__5,MORENA,228063.0,False
ZACATECAS,ZACATECAS__2,ZACATECAS__2,MORENA,190994.0,False
