ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PRD,236907.17912615754,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,PRD,134326.0308118423,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,PRD,236946.7527125326,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,PRD,86467.44458191912,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,PRD,153450.29763988743,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,PRD,257703.8343017305,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__22,CIUDAD DE MEXICO__22,PRD,193540.95159502968,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,PRD,392009.3163695388,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,PRD,363831.2657839209,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PRD,265210.30999536865,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,PRD,539369.9586627068,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,PRD,270979.38509340445,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,PRD,366537.1297416607,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRD,213719.78038237675,False
DURANGO,DURANGO__3,DURANGO__3,PRD,330753.1714495144,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PRD,115322.5436022243,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PRD,264406.1677118181,False
GUERRERO,GUERRERO__5,GUERRERO__5,PRD,863830.3136280816,False
GUERRERO,GUERRERO__6,GUERRERO__6,PRD,623585.3462611515,False
GUERRERO,GUERRERO__7,GUERRERO__7,PRD,429690.3370858918,False
GUERRERO,GUERRERO__3,GUERRERO__3,PRD,441607.92839296564,False
HIDALGO,HIDALGO__5,HIDALGO__5,PRD,117546.0419697693,False
JALISCO,JALISCO__8,JALISCO__8,PRD,163376.15499742614,False
JALISCO,JALISCO__5,JALISCO__5,PRD,66465.37693960687,False
MEXICO,MEXICO__12,MEXICO__12,PRD,124322.04381103882,False
MEXICO,MEXICO__27,MEXICO__27,PRD,169116.7454217704,False
MEXICO,MEXICO__4,MEXICO__4,PRD,292961.462013319,False
MEXICO,MEXICO__18,MEXICO__18,PRD,182883.67272907717,False
MEXICO,MEXICO__20,MEXICO__20,PRD,113468.75096801555,False
MEXICO,MEXICO__13,MEXICO__13,PRD,182250.78469825216,False
MEXICO,MEXICO__19,MEXICO__19,PRD,229159.47768594022,False
MEXICO,MEXICO__36,MEXICO__36,PRD,319162.5875003879,False
MICHOACAN,MICHOACAN__11,MICHOACAN__11,PRD,728854.1683376309,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,PRD,571443.7199954347,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,PRD,622771.0007502473,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,PRD,658112.130568205,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,PRD,799195.0998921734,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,PRD,337381.06449471787,False
MORELOS,MORELOS__5,MORELOS__5,PRD,158931.35888468905,False
NAYARIT,NAYARIT__1,NAYARIT__1,PRD,125887.13237384832,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,PRD,146793.2083199013,False
OAXACA,OAXACA__10,OAXACA__10,PRD,159415.9325352158,False
OAXACA,OAXACA__7,OAXACA__7,PRD,88965.85730486551,False
PUEBLA,PUEBLA__10,PUEBLA__10,PRD,164225.1620267445,False
PUEBLA,PUEBLA__2,PUEBLA__2,PRD,213120.59675043565,False
PUEBLA,PUEBLA__14,PUEBLA__14,PRD,102127.60388860216,False
QUERETARO,QUERETARO__4,QUERETARO__4,PRD,171018.03854255987,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,PRD,377522.53184123896,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,PRD,534337.3664205171,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PRD,188236.72125693067,False
SINALOA,SINALOA__5,SINALOA__5,PRD,155478.65632847982,False
SONORA,SONORA__6,SONORA__6,PRD,85511.08560759736,False
TABASCO,TABASCO__3,TABASCO__3,PRD,991876.1900969754,False
TABASCO,TABASCO__4,TABASCO__4,PRD,147739.67333498967,False
TABASCO,TABASCO__5,TABASCO__5,PRD,530530.6363505304,False
TAMAULIPAS,TAMAULIPAS__8,TAMAULIPAS__8,PRD,159328.00277920422,False
TLAXCALA,TLAXCALA__1,TLAXCALA__1,PRD,211533.5274247399,False
VERACRUZ,VERACRUZ__15,VERACRUZ__15,PRD,217470.59207587445,False
VERACRUZ,VERACRUZ__5,VERACRUZ__5,PRD,292484.2751939865,False
VERACRUZ,VERACRUZ__4,VERACRUZ__4,PRD,134938.38437666162,False
VERACRUZ,VERACRUZ__10,VERACRUZ__10,PRD,285565.4080053837,False
YUCATAN,YUCATAN__1,YUCATAN__1,PRD,79099.75322406864,False
ZACATECAS,ZACATECAS__4,ZACATECAS__4,PRD,162438.31514443856,False
ZACATECAS,ZACATECAS__2,ZACATECAS__2,PRD,612775.9340241636,False
