ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PRD,257320.30673061166,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,PRD,148386.11870112634,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,PRD,251252.68372878447,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,PRD,97069.71488463497,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,PRD,174424.4135090105,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,PRD,275901.9456697692,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__22,CIUDAD DE MEXICO__22,PRD,206831.01525267144,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,PRD,411947.4390021385,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,PRD,389741.8909624909,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PRD,293836.72567049,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,PRD,562309.4611535752,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,PRD,291099.5562704831,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,PRD,393731.2700061888,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRD,223751.34810313783,False
DURANGO,DURANGO__3,DURANGO__3,PRD,340945.4049903908,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PRD,129753.26498485313,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PRD,279803.2699053686,False
GUERRERO,GUERRERO__5,GUERRERO__5,PRD,881101.6073690803,False
GUERRERO,GUERRERO__6,GUERRERO__6,PRD,641129.2163965211,False
GUERRERO,GUERRERO__7,GUERRERO__7,PRD,455562.90164418076,False
GUERRERO,GUERRERO__3,GUERRERO__3,PRD,449339.5239619403,False
HIDALGO,HIDALGO__5,HIDALGO__5,PRD,136348.2825386851,False
JALISCO,JALISCO__7,JALISCO__7,PRD,110578.35190947808,False
JALISCO,JALISCO__8,JALISCO__8,PRD,239914.3886755727,False
JALISCO,JALISCO__5,JALISCO__5,PRD,110004.59071026389,False
MEXICO,MEXICO__12,MEXICO__12,PRD,146442.46949252873,False
MEXICO,MEXICO__27,MEXICO__27,PRD,194471.58441676068,False
MEXICO,MEXICO__4,MEXICO__4,PRD,313971.58906629763,False
MEXICO,MEXICO__18,MEXICO__18,PRD,204719.4743571633,False
MEXICO,MEXICO__20,MEXICO__20,PRD,130284.57115954529,False
MEXICO,MEXICO__13,MEXICO__13,PRD,206886.711855659,False
MEXICO,MEXICO__19,MEXICO__19,PRD,253317.25484490726,False
MEXICO,MEXICO__36,MEXICO__36,PRD,339044.3329668996,False
MICHOACAN,MICHOACAN__11,MICHOACAN__11,PRD,749993.4415292654,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,PRD,599641.9381563301,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,PRD,652895.2229854587,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,PRD,677264.24783018,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,PRD,823561.7843346577,False
MORELOS,MORELOS__3,MORELOS__3,PRD,341503.8261343104,False
NAYARIT,NAYARIT__3,NAYARIT__3,PRD,148283.34494638335,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PRD,178280.15225838905,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,PRD,194816.67096283805,False
OAXACA,OAXACA__10,OAXACA__10,PRD,171391.12667142457,False
OAXACA,OAXACA__7,OAXACA__7,PRD,107887.48605655941,False
PUEBLA,PUEBLA__10,PUEBLA__10,PRD,187641.23607864187,False
PUEBLA,PUEBLA__2,PUEBLA__2,PRD,225837.376819984,False
PUEBLA,PUEBLA__14,PUEBLA__14,PRD,111945.34201270543,False
QUERETARO,QUERETARO__4,QUERETARO__4,PRD,183909.33662448407,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,PRD,412834.7560984342,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,PRD,547033.242359011,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PRD,210387.6034906228,False
SINALOA,SINALOA__4,SINALOA__4,PRD,113577.43881189532,False
SONORA,SONORA__5,SONORA__5,PRD,181887.88770784624,False
TABASCO,TABASCO__5,TABASCO__5,PRD,548499.8131364981,False
TABASCO,TABASCO__3,TABASCO__3,PRD,999654.2268106161,False
TABASCO,TABASCO__2,TABASCO__2,PRD,823078.6031119099,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,PRD,150532.8610955581,False
TLAXCALA,TLAXCALA__3,TLAXCALA__3,PRD,741370.5714262236,False
VERACRUZ,VERACRUZ__17,VERACRUZ__17,PRD,165212.61345127394,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,PRD,222713.783026843,False
VERACRUZ,VERACRUZ__15,VERACRUZ__15,PRD,238206.58958200848,False
VERACRUZ,VERACRUZ__5,VERACRUZ__5,PRD,313605.2164025077,False
YUCATAN,YUCATAN__2,YUCATAN__2,PRD,190602.7138542373,False
ZACATECAS,ZACATECAS__2,ZACATECAS__2,PRD,636201.2345198367,False
