ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,MORENA,108224.0,False
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,160349.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,133618.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,140552.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,148107.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,138707.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,136123.0,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,PAN,159041.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,222960.0,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,190353.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,153597.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,165343.0,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,MORENA,163221.0,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,168103.0,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,182728.0,False
CHIAPAS,CHIAPAS__8,CHIAPAS__8,MORENA,151230.0,False
CHIAPAS,CHIAPAS__11,CHIAPAS__11,MORENA,136941.0,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,173704.0,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,PRI,178864.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2,MORENA,119566.0,False
CHIHUAHUA,CHIHUAHUA__6,CHIHUAHUA__6,PAN,203750.0,False
CHIHUAHUA,CHIHUAHUA__8,CHIHUAHUA__8,PAN,164317.0,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,PAN,138206.0,False
CHIHUAHUA,CHIHUAHUA__5,CHIHUAHUA__5,PAN,166371.0,False
CHIHUAHUA,CHIHUAHUA__9,CHIHUAHUA__9,PRI,146098.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__18,CIUDAD DE MEXICO__18,MORENA,161077.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,139632.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,MORENA,132031.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,144723.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,182194.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,MORENA,171202.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194661.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,166005.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,152924.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__21,CIUDAD DE MEXICO__21,MORENA,143321.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__23,CIUDAD DE MEXICO__23,MORENA,200066.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,142901.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__17,CIUDAD DE MEXICO__17,MORENA,190254.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,200443.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,PAN,193372.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__24,CIUDAD DE MEXICO__24,PAN,189338.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,PAN,180147.0,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,168208.0,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,165362.0,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,140557.0,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,138656.0,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,147308.0,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,130890.0,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,182251.0,False
DURANGO,DURANGO__2,DURANGO__2,PRI,148194.0,False
DURANGO,DURANGO__1,DURANGO__1,PRI,152329.0,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,151086.0,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,118958.0,False
GUANAJUATO,GUANAJUATO__14,GUANAJUATO__14,PAN,128043.0,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,125029.0,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,114720.0,False
GUANAJUATO,GUANAJUATO__13,GUANAJUATO__13,PAN,143037.0,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,130131.0,False
GUANAJUATO,GUANAJUATO__12,GUANAJUATO__12,PAN,138223.0,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,179200.0,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,160104.0,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,168234.0,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,151007.0,False
GUERRERO,GUERRERO__8,GUERRERO__8,MORENA,160133.0,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,151048.0,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,180555.0,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,146643.0,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,110200.0,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,145481.0,False
JALISCO,JALISCO__15,JALISCO__15,MC,158232.0,False
JALISCO,JALISCO__8,JALISCO__8,MC,181823.0,False
JALISCO,JALISCO__13,JALISCO__13,MC,132220.0,False
JALISCO,JALISCO__10,JALISCO__10,MC,157647.0,False
JALISCO,JALISCO__19,JALISCO__19,MC,167443.0,False
JALISCO,JALISCO__18,JALISCO__18,MC,164069.0,False
JALISCO,JALISCO__1,JALISCO__1,MC,166427.0,False
JALISCO,JALISCO__6,JALISCO__6,MC,153133.0,False
JALISCO,JALISCO__11,JALISCO__11,MC,141493.0,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,123658.0,False
JALISCO,JALISCO__16,JALISCO__16,MORENA,120804.0,False
JALISCO,JALISCO__3,JALISCO__3,PAN,166493.0,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,129771.0,False
MEXICO,MEXICO__31,MEXICO__31,MORENA,143227.0,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,117116.0,False
MEXICO,MEXICO__28,MEXICO__28,MORENA,171129.0,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,170828.0,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,119573.0,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,129427.0,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,162428.0,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,158092.0,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,148875.0,False
MEXICO,MEXICO__34,MEXICO__34,MORENA,188007.0,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,187444.0,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,129666.0,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,171689.0,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,177207.0,False
MEXICO,MEXICO__37,MEXICO__37,MORENA,162749.0,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,170286.0,False
MEXICO,MEXICO__29,MEXICO__29,MORENA,153305.0,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,137726.0,False
MEXICO,MEXICO__15,MEXICO__15,PAN,159662.0,False
MEXICO,MEXICO__18,MEXICO__18,PAN,203078.0,False
MEXICO,MEXICO__22,MEXICO__22,PAN,188232.0,False
MEXICO,MEXICO__40,MEXICO__40,PRI,177427.0,False
MEXICO,MEXICO__3,MEXICO__3,PRI,201441.0,False
MEXICO,MEXICO__9,MEXICO__9,PRI,178134.0,False
MEXICO,MEXICO__27,MEXICO__27,PRI,206957.0,False
MEXICO,MEXICO__39,MEXICO__39,PRI,127223.0,False
MEXICO,MEXICO__1,MEXICO__1,PRI,215605.0,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,144123.0,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,97905.0,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,148321.0,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,125737.0,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,160703.0,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,142098.0,False
MICHOACAN,MICHOACAN__10,MICHOACAN__10,PAN,157270.0,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,164032.0,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,149726.0,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,147742.0,False
NAYARIT,NAYARIT__1,NAYARIT__1,MORENA,152620.0,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,156945.0,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MC,134558.0,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,PAN,219176.0,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,PAN,175892.0,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PAN,203589.0,False
NUEVO LEON,NUEVO LEON__11,NUEVO LEON__11,PAN,174765.0,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,PRI,194075.0,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,PRI,192115.0,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PRI,175054.0,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,PRI,154828.0,False
OAXACA,OAXACA__9,OAXACA__9,MORENA,108569.0,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,121709.0,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,132766.0,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,111477.0,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,93096.0,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,185122.0,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,132607.0,False
PUEBLA,PUEBLA__14,PUEBLA__14,MORENA,191021.0,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,122328.0,False
PUEBLA,PUEBLA__13,PUEBLA__13,MORENA,171663.0,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,193026.0,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,191761.0,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,160075.0,False
PUEBLA,PUEBLA__12,PUEBLA__12,PAN,168130.0,False
PUEBLA,PUEBLA__10,PUEBLA__10,PAN,181042.0,False
PUEBLA,PUEBLA__2,PUEBLA__2,PRI,197016.0,False
QUERETARO,QUERETARO__5,QUERETARO__5,PAN,195987.0,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,197530.0,False
QUERETARO,QUERETARO__1,QUERETARO__1,PAN,151920.0,False
QUERETARO,QUERETARO__3,QUERETARO__3,PAN,180068.0,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,96963.0,False
QUINTANA ROO,QUINTANA ROO__1,QUINTANA ROO__1,MORENA,90967.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,MORENA,141677.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__5,SAN LUIS POTOSI__5,PAN,176311.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PRI,150734.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__1,SAN LUIS POTOSI__1,PVEM,154623.0,False
SAN LUIS POTOSI,SAN LUIS POTOSI__2,SAN LUIS POTOSI__2,PVEM,184222.0,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,172308.0,False
SINALOA,SINALOA__4,SINALOA__4,MORENA,157159.0,False
SINALOA,SINALOA__1,SINALOA__1,MORENA,137497.0,False
SINALOA,SINALOA__2,SINALOA__2,MORENA,160405.0,False
SINALOA,SINALOA__6,SINALOA__6,MORENA,155454.0,False
SONORA,SONORA__4,SONORA__4,MORENA,146092.0,False
SONORA,SONORA__6,SONORA__6,MORENA,131971.0,False
SONORA,SONORA__1,SONORA__1,MORENA,110748.0,False
SONORA,SONORA__7,SONORA__7,MORENA,132858.0,False
TABASCO,TABASCO__4,TABASCO__4,MORENA,141360.0,False
TABASCO,TABASCO__2,TABASCO__2,MORENA,160999.0,False
TABASCO,TABASCO__5,TABASCO__5,MORENA,178666.0,False
TABASCO,TABASCO__3,TABASCO__3,MORENA,141138.0,False
TAMAULIPAS,TAMAULIPAS__7,TAMAULIPAS__7,MORENA,136636.0,False
TAMAULIPAS,TAMAULIPAS__1,TAMAULIPAS__1,MORENA,128157.0,False
TAMAULIPAS,TAMAULIPAS__3,TAMAULIPAS__3,MORENA,151151.0,False
TAMAULIPAS,TAMAULIPAS__8,TAMAULIPAS__8,PAN,201036.0,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,PAN,193985.0,False
TAMAULIPAS,TAMAULIPAS__2,TAMAULIPAS__2,PAN,127825.0,False
TLAXCALA,TLAXCALA__2,TLAXCALA__2,MORENA,207653.0,False
TLAXCALA,TLAXCALA__1,TLAXCALA__1,MORENA,168466.0,False
VERACRUZ,VERACRUZ__14,VERACRUZ__14,MORENA,156489.0,False
VERACRUZ,VERACRUZ__20,VERACRUZ__20,MORENA,186613.0,False
VERACRUZ,VERACRUZ__16,VERACRUZ__16,MORENA,182135.0,False
VERACRUZ,VERACRUZ__13,VERACRUZ__13,MORENA,196989.0,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,180418.0,False
VERACRUZ,VERACRUZ__15,VERACRUZ__15,MORENA,186776.0,False
VERACRUZ,VERACRUZ__1,VERACRUZ__1,MORENA,165327.0,False
VERACRUZ,VERACRUZ__17,VERACRUZ__17,MORENA,174222.0,False
VERACRUZ,VERACRUZ__11,VERACRUZ__11,MORENA,159192.0,False
VERACRUZ,VERACRUZ__9,VERACRUZ__9,MORENA,178497.0,False
VERACRUZ,VERACRUZ__10,VERACRUZ__10,MORENA,169398.0,False
VERACRUZ,VERACRUZ__4,VERACRUZ__4,MORENA,152743.0,False
VERACRUZ,VERACRUZ__6,VERACRUZ__6,MORENA,184067.0,False
VERACRUZ,VERACRUZ__18,VERACRUZ__18,MORENA,195315.0,False
VERACRUZ,VERACRUZ__12,VERACRUZ__12,PAN,186047.0,False
YUCATAN,YUCATAN__2,YUCATAN__2,MORENA,217056.0,False
YUCATAN,YUCATAN__1,YUCATAN__1,PAN,224775.0,False
YUCATAN,YUCATAN__3,YUCATAN__3,PAN,167260.0,False
YUCATAN,YUCATAN__5,YUCATAN__5,PAN,228531.0,False
