ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,MORENA,149692.0,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,156216.0,False
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,184415.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,157443.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,160433.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,162919.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,171743.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,161246.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__8,BAJA CALIFORNIA__8,MORENA,158706.0,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,115267.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,213143.0,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,193764.0,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,171489.0,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,173396.0,False
CHIAPAS,CHIAPAS__9,CHIAPAS__9,MORENA,169539.0,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,146186.0,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,128156.0,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,159468.0,False
CHIAPAS,CHIAPAS__8,CHIAPAS__8,MORENA,167879.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,154918.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,144893.0,False
CHIAPAS,CHIAPAS__11,CHIAPAS__11,PVEM,137338.0,False
CHIHUAHUA,CHIHUAHUA__4,CHIHUAHUA__4,MORENA,140289.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2,MORENA,111519.0,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,110642.0,False
CHIHUAHUA,CHIHUAHUA__5,CHIHUAHUA__5,PAN,159874.0,False
CHIHUAHUA,CHIHUAHUA__6,CHIHUAHUA__6,PAN,195100.0,False
CHIHUAHUA,CHIHUAHUA__9,CHIHUAHUA__9,PRI,134053.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,188681.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,229549.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,244214.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,174167.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,170436.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,201753.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,234960.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,165592.0,False
