ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,MORENA,108226.8,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,152286.00000000003,False
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,160352.2,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,130192.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,140552.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,133618.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,136123.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,148107.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,138707.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,126838.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__8,BAJA CALIFORNIA__8,MORENA,131051.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5_v1,MORENA,148107.0,True
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,111958.0,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,PAN,159041.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,222960.0,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,190353.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1_v1,MORENA,222960.0,True
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,182728.0,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,PRI,178864.0,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,173704.0,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,183622.0,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,PRI,163157.0,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,168103.0,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,MORENA,163221.0,False
CHIAPAS,CHIAPAS__8,CHIAPAS__8,MORENA,151230.0,False
CHIAPAS,CHIAPAS__9,CHIAPAS__9,MORENA,130562.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,165343.0,False
CHIAPAS,CHIAPAS__11,CHIAPAS__11,MORENA,136941.0,False
CHIAPAS,CHIAPAS__12,CHIAPAS__12,MORENA,151015.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,153597.0,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4_v1,MORENA,183622.0,True
CHIAPAS,CHIAPAS__1,CHIAPAS__1_v2,MORENA,182728.0,True
CHIAPAS,CHIAPAS__3,CHIAPAS__3_v3,MORENA,173704.0,True
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,114808.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2,MORENA,119566.0,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,98946.0,False
CHIHUAHUA,CHIHUAHUA__4,CHIHUAHUA__4,PAN,155317.0,False
CHIHUAHUA,CHIHUAHUA__5,CHIHUAHUA__5,PAN,166371.0,False
CHIHUAHUA,CHIHUAHUA__6,CHIHUAHUA__6,PAN,203750.0,False
CHIHUAHUA,CHIHUAHUA__7,CHIHUAHUA__7,PAN,138206.0,False
CHIHUAHUA,CHIHUAHUA__8,CHIHUAHUA__8,PAN,164317.0,False
CHIHUAHUA,CHIHUAHUA__9,CHIHUAHUA__9,PRI,146098.0,False
CHIHUAHUA,CHIHUAHUA__2,CHIHUAHUA__2_v1,MORENA,119566.0,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,137473.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194661.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,200443.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,123314.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,144723.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,PAN,180147.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,182194.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,139632.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,MORENA,132031.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,PAN,193372.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,166005.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,152924.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,182735.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,142901.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,PAN,235086.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__16,CIUDAD DE MEXICO__16,MORENA,171202.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__17,CIUDAD DE MEXICO__17,MORENA,190254.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__18,CIUDAD DE MEXICO__18,MORENA,161077.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__19,CIUDAD DE MEXICO__19,MORENA,139709.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__20,CIUDAD DE MEXICO__20,MORENA,127035.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__21,CIUDAD DE MEXICO__21,MORENA,143321.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__22,CIUDAD DE MEXICO__22,MORENA,106545.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__23,CIUDAD DE MEXICO__23,MORENA,200066.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__24,CIUDAD DE MEXICO__24,PAN,189338.0,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v1,MORENA,200443.0,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__23,CIUDAD DE MEXICO__23_v2,MORENA,200066.0,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2_v3,MORENA,194661.0,True
