ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,188541.0,False
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,231725.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,145214.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,174319.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,157587.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,163614.0,False
BAJA CALIFORNIA,BAJA CALIFORNIA__9,BAJA CALIFORNIA__9,MORENA,147006.0,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,131930.0,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MC,232695.0,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,199830.0,False
CHIAPAS,CHIAPAS__10,CHIAPAS__10,MORENA,172022.0,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,165724.0,False
CHIAPAS,CHIAPAS__13,CHIAPAS__13,MORENA,171452.0,False
CHIAPAS,CHIAPAS__12,CHIAPAS__12,MORENA,167747.0,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,180297.0,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,186666.0,False
CHIAPAS,CHIAPAS__7,CHIAPAS__7,MORENA,183226.0,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,PVEM,194223.0,False
CHIHUAHUA,CHIHUAHUA__4,CHIHUAHUA__4,MORENA,185375.0,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,153513.0,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,151582.0,False
