ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,237563.40194625565,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,253774.20624980406,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,275780.08708682784,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,227801.15415558685,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,158132.0621896872,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__3,BAJA CALIFORNIA SUR__3,MORENA,139486.78797468357,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,143504.45510100154,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,198351.07809312514,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,282613.2419725279,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,269991.80526477535,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,261619.3484174521,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,254311.52625211957,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,95268.97106071345,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,312446.0105155426,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,411955.33948267304,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,470034.50131042756,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,556495.0939391578,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,126018.07813139429,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,591722.5840366929,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,365264.4778145363,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,592648.864130673,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,518329.15986003727,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,498537.25313425,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,467732.3959325523,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,479212.24171206314,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,592648.864130673,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,591722.5840366929,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v3,MORENA,556495.0939391578,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v4,MORENA,498537.25313425,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v5,MORENA,479212.24171206314,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v6,MORENA,470034.50131042756,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v7,MORENA,467732.3959325523,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2_v8,MORENA,411955.33948267304,True
COAHUILA,COAHUILA__4,COAHUILA__4,MORENA,200099.46510492713,False
COAHUILA,COAHUILA__3,COAHUILA__3,MORENA,273380.11873241275,False
COAHUILA,COAHUILA__8,COAHUILA__8,MORENA,189510.03597080387,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,157535.91258905776,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,260728.04903860614,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,251444.54177841565,False
COLIMA,COLIMA__4,COLIMA__4,MORENA,108675.65567010311,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,192979.99488406215,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,194010.07871108473,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,173837.67996025152,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,310945.5870396487,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,267283.76517657586,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,MORENA,281182.4117171834,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,MORENA,263011.89761158556,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,MORENA,283324.3398095757,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,MORENA,301071.7188115989,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,317398.24709011556,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,323636.40488679416,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,302231.6278569221,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8_v1,MORENA,323636.40488679416,True
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,265154.26469603163,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,226930.87215263344,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,251366.54362639354,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,224419.19661629992,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,214930.66148074716,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,312777.884418728,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,286795.6079244255,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,284207.72671060706,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,278135.89870649134,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,295984.88223974814,False
JALISCO,JALISCO__1,JALISCO__1,MC,376713.67290721263,False
JALISCO,JALISCO__2,JALISCO__2,MORENA,308290.6784439441,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,369473.7343322678,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,338024.8437319128,False
JALISCO,JALISCO__5,JALISCO__5,MC,319790.7178062133,False
JALISCO,JALISCO__6,JALISCO__6,MC,375768.1053324453,False
JALISCO,JALISCO__7,JALISCO__7,MC,311565.11497701873,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,330883.67383298354,False
JALISCO,JALISCO__9,JALISCO__9,MC,390199.5948115713,False
JALISCO,JALISCO__10,JALISCO__10,MORENA,347772.54454048164,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,247784.3192839488,False
JALISCO,JALISCO__9,JALISCO__9_v1,MC,390199.5948115713,True
JALISCO,JALISCO__1,JALISCO__1_v2,MC,376713.67290721263,True
JALISCO,JALISCO__6,JALISCO__6_v3,MC,375768.1053324453,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,309811.10889338225,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,479762.4534745342,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,392719.5440233516,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,437476.51277925825,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,418923.76221895474,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,409306.2445509292,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,366901.0710897015,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,348283.40436454455,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,436063.8810426581,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,453799.4465937497,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,385274.7512304435,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,386849.4007683452,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,423091.0990554639,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,379744.2841323464,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,416926.10356231476,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,482471.16307752626,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,197037.03785477794,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,438556.52123867185,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,505744.6665582773,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,446962.54349076876,False
MEXICO,MEXICO__19,MEXICO__19_v1,MORENA,505744.6665582773,True
MEXICO,MEXICO__16,MEXICO__16_v2,MORENA,482471.16307752626,True
MEXICO,MEXICO__2,MEXICO__2_v3,MORENA,479762.4534745342,True
MEXICO,MEXICO__10,MEXICO__10_v4,MORENA,453799.4465937497,True
MEXICO,MEXICO__20,MEXICO__20_v5,MORENA,446962.54349076876,True
MEXICO,MEXICO__18,MEXICO__18_v6,MORENA,438556.52123867185,True
MEXICO,MEXICO__4,MEXICO__4_v7,MORENA,437476.51277925825,True
MEXICO,MEXICO__9,MEXICO__9_v8,MORENA,436063.8810426581,True
MEXICO,MEXICO__13,MEXICO__13_v9,MORENA,423091.0990554639,True
MEXICO,MEXICO__5,MEXICO__5_v10,MORENA,418923.76221895474,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,293616.8518540957,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,247412.28380036683,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,250000.54799838283,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,247756.28052310453,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,253059.34558651887,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,276006.0243248003,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,311662.66591273097,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,228155.3418100718,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,254408.8807622724,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,219763.54374046478,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,183637.09852639423,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,170642.44451996335,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,239783.78039393976,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,MC,255682.5396110562,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MC,261984.80592908643,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MORENA,335771.7016079755,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,212481.79793969204,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,MORENA,298476.78799443436,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,232329.937007108,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PAN,359350.64951670764,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,361644.80549496505,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,250075.86314382975,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,284036.86921675224,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,286453.0007091847,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,323501.134457994,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,259616.32697727432,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,341588.65558830346,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,319774.79388120107,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,307267.7891084509,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,301916.11540687724,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,350663.25598997483,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,280590.4112804591,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,335662.1427261131,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,374602.19640887104,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,292252.6396097493,False
PUEBLA,PUEBLA__8,PUEBLA__8_v1,MORENA,374602.19640887104,True
PUEBLA,PUEBLA__5,PUEBLA__5_v2,MORENA,350663.25598997483,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__1,QUERETARO__1,PAN,142162.9678615299,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,247153.39120230873,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,213611.56818135595,False
QUINTANA ROO,QUINTANA ROO__1,QUINTANA ROO__1,MORENA,126840.01200366569,False
SAN LUIS POTOSI,SAN LUIS POTOSI__1,SAN LUIS POTOSI__1,PVEM,247740.39552079618,False
SAN LUIS POTOSI,SAN LUIS POTOSI__2,SAN LUIS POTOSI__2,PVEM,255080.03163176938,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PVEM,267615.9007254003,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,PVEM,280202.9802185726,False
SAN LUIS POTOSI,SAN LUIS POTOSI__5,SAN LUIS POTOSI__5,PVEM,231823.69190346153,False
SINALOA,SINALOA__1,SINALOA__1,MORENA,264938.17723709985,False
SINALOA,SINALOA__2,SINALOA__2,MORENA,238975.2401901387,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,239718.88029474212,False
SINALOA,SINALOA__4,SINALOA__4,MORENA,240259.0243045268,False
SINALOA,SINALOA__5,SINALOA__5,MORENA,290200.67797349254,False
SONORA,SONORA__3,SONORA__3,MORENA,217608.98244740794,False
SONORA,SONORA__5,SONORA__5,MORENA,223488.9306682538,False
SONORA,SONORA__4,SONORA__4,MORENA,219650.454783408,False
SONORA,SONORA__1,SONORA__1,MORENA,223520.14864941436,False
TABASCO,TABASCO__5,TABASCO__5,MORENA,213650.1998223422,False
TABASCO,TABASCO__4,TABASCO__4,MORENA,211035.4233204278,False
TABASCO,TABASCO__3,TABASCO__3,MORENA,194470.43888898383,False
TABASCO,TABASCO__2,TABASCO__2,MORENA,227110.30771800797,False
TAMAULIPAS,TAMAULIPAS__1,TAMAULIPAS__1,MORENA,210622.26070755388,False
TAMAULIPAS,TAMAULIPAS__2,TAMAULIPAS__2,MORENA,240421.32895366984,False
TAMAULIPAS,TAMAULIPAS__3,TAMAULIPAS__3,MORENA,216375.74799147627,False
TAMAULIPAS,TAMAULIPAS__4,TAMAULIPAS__4,MORENA,320923.5683885931,False
TAMAULIPAS,TAMAULIPAS__5,TAMAULIPAS__5,MORENA,275441.9486598248,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,MORENA,306168.1452988821,False
TLAXCALA,TLAXCALA__1,TLAXCALA__1,MORENA,215812.79975453112,False
TLAXCALA,TLAXCALA__2,TLAXCALA__2,MORENA,256163.1740585319,False
VERACRUZ,VERACRUZ__1,VERACRUZ__1,MORENA,320310.01869722747,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,303759.7264851886,False
VERACRUZ,VERACRUZ__3,VERACRUZ__3,MORENA,295433.53273004567,False
