ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,237563.40194625565,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,253774.20624980406,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,275780.08708682784,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,227801.15415558685,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,158132.0621896872,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__3,BAJA CALIFORNIA SUR__3,MORENA,139486.78797468357,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,143504.45510100154,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,196443.25271999076,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,282613.2419725279,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,269991.80526477535,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,261619.3484174521,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,256219.35162525388,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,95268.97106071345,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,312538.08777443395,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,411955.33948267304,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,469977.62931833195,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,558044.8978513307,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,128325.85331559068,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,602307.6191454014,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,361578.38461972843,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,592702.5530495861,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,512309.17632682936,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,491343.81530885946,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,482077.46996074845,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,467235.1738464864,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v1,MORENA,602307.6191454014,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v2,MORENA,592702.5530495861,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v3,MORENA,558044.8978513307,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v4,MORENA,491343.81530885946,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,482077.46996074845,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v6,MORENA,469977.62931833195,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v7,MORENA,467235.1738464864,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2_v8,MORENA,411955.33948267304,True
COAHUILA,COAHUILA__4,COAHUILA__4,MORENA,233138.94427462848,False
COAHUILA,COAHUILA__5,COAHUILA__5,MORENA,171736.60811951634,False
COAHUILA,COAHUILA__7,COAHUILA__7,MORENA,256172.89048115065,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,269440.7141729774,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,138068.40140930086,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,45695.231434880945,False
COLIMA,COLIMA__1,COLIMA__1,MORENA,95369.57807921867,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,191290.22518497388,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,167267.69019559404,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,197605.46190814403,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,287339.767120353,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,305057.30112844164,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,304712.4172735772,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,MORENA,265224.363686045,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,MORENA,274228.02093287656,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,314434.0175531723,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,317867.14137970423,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,305452.6238419406,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,MORENA,275770.34708388953,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8_v1,MORENA,305452.6238419406,True
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,222978.26994903988,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,262967.19914540224,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,262875.46976082266,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,237611.44599628297,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,210796.19586554682,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,324631.0119867142,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,264012.9864203661,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,300728.3574676768,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,273385.7546333773,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,295143.8894918655,False
JALISCO,JALISCO__1,JALISCO__1,MC,357490.18281362957,False
JALISCO,JALISCO__2,JALISCO__2,MORENA,290866.8322738249,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,376179.0373349826,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,408200.7632930904,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,317668.580116259,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,330947.42488026863,False
JALISCO,JALISCO__7,JALISCO__7,MC,361837.6725883533,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,348675.4084840406,False
JALISCO,JALISCO__9,JALISCO__9,MC,363287.51156228135,False
JALISCO,JALISCO__10,JALISCO__10,MORENA,283147.7621369502,False
JALISCO,JALISCO__11,JALISCO__11,MC,277965.82451631955,False
JALISCO,JALISCO__9,JALISCO__9_v1,MC,363287.51156228135,True
JALISCO,JALISCO__7,JALISCO__7_v2,MC,361837.6725883533,True
JALISCO,JALISCO__1,JALISCO__1_v3,MC,357490.18281362957,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,304906.4488141467,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,486118.74800798926,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,412032.6122581415,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,465908.154260513,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,429204.683526596,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,441657.3257652152,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,461442.4614603282,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,513934.39080226,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,334793.7639559761,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,393134.84195958613,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,381706.5118437898,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,428873.5863763882,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,437592.3361900922,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,470284.72060616687,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,435365.4023807441,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,453829.0106596715,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,271237.87672699936,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,340375.70948476694,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,346162.38036213117,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,307144.0345584978,False
MEXICO,MEXICO__8,MEXICO__8_v1,MORENA,513934.39080226,True
MEXICO,MEXICO__2,MEXICO__2_v2,MORENA,486118.74800798926,True
MEXICO,MEXICO__14,MEXICO__14_v3,MORENA,470284.72060616687,True
MEXICO,MEXICO__4,MEXICO__4_v4,MORENA,465908.154260513,True
MEXICO,MEXICO__7,MEXICO__7_v5,MORENA,461442.4614603282,True
MEXICO,MEXICO__16,MEXICO__16_v6,MORENA,453829.0106596715,True
MEXICO,MEXICO__6,MEXICO__6_v7,MORENA,441657.3257652152,True
MEXICO,MEXICO__13,MEXICO__13_v8,MORENA,437592.3361900922,True
MEXICO,MEXICO__15,MEXICO__15_v9,MORENA,435365.4023807441,True
MEXICO,MEXICO__5,MEXICO__5_v10,MORENA,429204.683526596,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,269661.65258984314,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,227748.47798879142,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,298994.549243553,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,307023.71226745564,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,220044.61857970664,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,279329.1409408791,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,276711.848389771,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,254408.8807622724,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,228155.3418100718,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,219763.54374046478,False
NAYARIT,NAYARIT__1,NAYARIT__1,MORENA,155271.45695364237,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,170642.44451996335,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,239951.93664345768,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MC,221618.73858978637,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MC,222863.89234149057,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,MORENA,304363.2673398858,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,MORENA,308110.9360095635,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MORENA,307522.25117581093,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,MORENA,268729.7021353773,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,PAN,322701.27576462785,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,373206.1779965246,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,270018.30848266854,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,284615.30098741624,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,272722.75802642776,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,292222.79169745545,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,272542.66280950746,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,333072.8083796854,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,298946.6261370657,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,287926.22189186164,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,331416.35284221347,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,304715.7661537926,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,305328.6352545899,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,353838.3019821296,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,339185.0933997062,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,349888.1939589555,False
PUEBLA,PUEBLA__7,PUEBLA__7_v1,MORENA,353838.3019821296,True
PUEBLA,PUEBLA__9,PUEBLA__9_v2,MORENA,349888.1939589555,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__3,QUERETARO__3,PAN,176235.82047665224,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,247153.39120230873,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,213611.56818135595,False
QUINTANA ROO,QUINTANA ROO__3,QUINTANA ROO__3,MORENA,194528.0286126696,False
SAN LUIS POTOSI,SAN LUIS POTOSI__1,SAN LUIS POTOSI__1,PVEM,263191.4731587396,False
SAN LUIS POTOSI,SAN LUIS POTOSI__2,SAN LUIS POTOSI__2,PVEM,250101.48753247038,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PVEM,273440.5162554404,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,PVEM,272480.29494298587,False
SAN LUIS POTOSI,SAN LUIS POTOSI__5,SAN LUIS POTOSI__5,PVEM,223249.22811036365,False
SINALOA,SINALOA__1,SINALOA__1,MORENA,243042.30316662975,False
SINALOA,SINALOA__2,SINALOA__2,MORENA,234537.10665627167,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,229619.62739838992,False
SINALOA,SINALOA__4,SINALOA__4,MORENA,280075.72349589335,False
SINALOA,SINALOA__5,SINALOA__5,MORENA,286817.23928281525,False
SONORA,SONORA__3,SONORA__3,MORENA,229376.7166579794,False
SONORA,SONORA__4,SONORA__4,MORENA,223474.02001728688,False
SONORA,SONORA__1,SONORA__1,MORENA,198819.2623185559,False
SONORA,SONORA__2,SONORA__2,MORENA,248290.8564653939,False
TABASCO,TABASCO__3,TABASCO__3,MORENA,194470.43888898383,False
TABASCO,TABASCO__5,TABASCO__5,MORENA,213650.1998223422,False
TABASCO,TABASCO__2,TABASCO__2,MORENA,227110.30771800797,False
TABASCO,TABASCO__4,TABASCO__4,MORENA,211035.4233204278,False
TAMAULIPAS,TAMAULIPAS__1,TAMAULIPAS__1,MORENA,229991.39770329418,False
TAMAULIPAS,TAMAULIPAS__2,TAMAULIPAS__2,MORENA,232260.92358749371,False
TAMAULIPAS,TAMAULIPAS__3,TAMAULIPAS__3,MORENA,265999.27669949026,False
TAMAULIPAS,TAMAULIPAS__4,TAMAULIPAS__4,MORENA,331045.9327001206,False
TAMAULIPAS,TAMAULIPAS__5,TAMAULIPAS__5,MORENA,230449.68709655062,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,MORENA,280205.7822130506,False
TLAXCALA,TLAXCALA__2,TLAXCALA__2,MORENA,256163.1740585319,False
TLAXCALA,TLAXCALA__1,TLAXCALA__1,MORENA,215812.79975453112,False
VERACRUZ,VERACRUZ__1,VERACRUZ__1,MORENA,320855.40655539714,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,349518.7598810836,False
VERACRUZ,VERACRUZ__3,VERACRUZ__3,MORENA,252644.75815026296,False
