ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,131572.48307541592,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,116620.30123920052,False
AGUASCALIENTES,AGUASCALIENTES__4,AGUASCALIENTES__4,PAN,139951.26351351355,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,206737.59042722153,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,191120.33178898814,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,126332.2603999604,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,135325.48447560525,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,175428.900219667,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,123503.91894554393,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,91161.90084388186,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,137354.06925819043,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,145825.50263113226,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,231823.06794393354,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,199054.104929844,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,125508.58480786046,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,202262.25754146575,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,249297.86311856538,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,205453.12165833084,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,81643.45263406569,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,164270.85441656868,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194671.8004085591,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,238924.69157037386,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,202753.1806362546,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,321815.0535387303,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,281241.45596830035,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,255172.11090990977,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,310694.6521990203,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,332676.16873161984,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,298533.092172429,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,PAN,298421.5781671909,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,290939.28241466667,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,241035.87675351906,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,259669.8441909546,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,245368.35792190293,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5_v1,MORENA,321815.0535387303,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v2,MORENA,310694.6521990203,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,298533.092172429,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,290939.28241466667,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v5,MORENA,281241.45596830035,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v6,MORENA,259669.8441909546,True
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,184447.554927925,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,135188.06423941103,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,202374.78837255042,False
COAHUILA,COAHUILA__9,COAHUILA__9,PRI,71356.34774902965,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,99117.13959911042,False
COAHUILA,COAHUILA__8,COAHUILA__8,PRI,61389.92282312173,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,153959.9364550139,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,58988.49412190269,False
COLIMA,COLIMA__3,COLIMA__3,MORENA,64116.086181949715,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,121839.39837617449,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,95812.54382283024,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,115875.69373438417,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,192058.55539936924,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,191032.09539558808,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,169260.32604112886,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,PAN,182983.17686453578,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,168895.0820626366,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,205190.9347769708,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,200545.84003554343,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,174880.21948249618,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,156975.472815711,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,160025.11228788708,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,204077.01127561068,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,187491.94802895072,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,214163.7369478408,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,199393.38676977035,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,213958.7602266202,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,211963.36655891855,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,192116.79019228872,False
GUERRERO,GUERRERO__3,GUERRERO__3_v1,MORENA,214163.7369478408,True
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,212541.68827894822,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,148229.452014941,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,141287.76691142048,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,165794.68784763687,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,169295.05943077587,False
JALISCO,JALISCO__1,JALISCO__1,MC,210492.00730308288,False
JALISCO,JALISCO__2,JALISCO__2,MC,216968.30086604125,False
JALISCO,JALISCO__3,JALISCO__3,MC,253310.18665102302,False
JALISCO,JALISCO__4,JALISCO__4,MC,244150.0493684427,False
JALISCO,JALISCO__5,JALISCO__5,MC,217930.19325888695,False
JALISCO,JALISCO__6,JALISCO__6,MC,163001.0185223151,False
JALISCO,JALISCO__7,JALISCO__7,MC,191681.5908851769,False
JALISCO,JALISCO__8,JALISCO__8,MC,207515.5196262642,False
JALISCO,JALISCO__9,JALISCO__9,MC,212445.95304860797,False
JALISCO,JALISCO__10,JALISCO__10,MC,198418.26672786553,False
JALISCO,JALISCO__11,JALISCO__11,MC,173351.55438279774,False
JALISCO,JALISCO__12,JALISCO__12,MC,196059.9731515611,False
JALISCO,JALISCO__13,JALISCO__13,MC,214559.31686526746,False
JALISCO,JALISCO__14,JALISCO__14,MC,215176.0693426671,False
JALISCO,JALISCO__3,JALISCO__3_v1,MC,253310.18665102302,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,148614.01648302525,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,222780.27033370873,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,251758.87742511302,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,257989.75177531215,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,272319.5766260035,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,251631.79066781324,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,252677.85548275983,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,265333.6796552909,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,235978.1520927842,False
MEXICO,MEXICO__10,MEXICO__10,PRI,265438.731820717,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,282797.6217189629,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,244513.829864832,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,252823.75306152616,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,261247.3340890264,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,206720.46293931638,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,281757.19599400135,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,257525.40982577638,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,199307.1052496434,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,245290.93321597602,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,272054.5449539949,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,265115.8495380218,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,268218.3551771329,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,227671.89285487297,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,253781.22145139478,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,296845.9594418405,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,282536.8282611533,False
