ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,131572.48307541592,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,116620.30123920052,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,195574.50614082694,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,211629.31457523722,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,231103.69148907877,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,191109.59191363613,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,127363.17898595399,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__3,BAJA CALIFORNIA SUR__3,MORENA,116471.8069620253,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,145825.50263113226,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,137354.06925819043,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,266178.1365876968,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,240924.7127379105,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,161516.85088474234,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,256584.11405604295,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,288195.18573360745,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,81643.45263406569,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,185231.86982459956,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,263903.4928803276,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,358292.6150272144,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,331417.22612630844,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,398940.10344617936,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,351972.47539796453,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,295251.5690070193,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,352561.9279238325,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,372881.3220998697,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,354511.2708668765,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,329801.2561765189,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,341422.87122328934,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5_v1,MORENA,398940.10344617936,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v2,MORENA,358292.6150272144,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,354511.2708668765,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v4,MORENA,352561.9279238325,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v5,MORENA,351972.47539796453,True
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,172783.45285510394,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,156083.04657952735,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,101744.58970807192,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,238332.76975121757,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,179714.01548171017,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,138443.34446579867,False
COLIMA,COLIMA__5,COLIMA__5,MORENA,86309.57279797431,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,121612.24109218788,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,151107.29294059522,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,140605.43670816143,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,201406.81407947067,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,213190.7339658304,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,240284.89005670833,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,203465.6667884773,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,212812.64687146115,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,225518.99426842056,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,232878.3749834147,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,218195.83090855437,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,218165.04807766245,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,238223.68677734048,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,216198.77056914647,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,273110.8856166598,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,241145.6939613001,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,243605.83688609194,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,210880.12618946115,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,196658.27083159555,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,212425.33709218845,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,209600.90167044295,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,189308.60137534584,False
JALISCO,JALISCO__1,JALISCO__1,MC,256707.14076539178,False
JALISCO,JALISCO__2,JALISCO__2,MC,290162.75900580076,False
JALISCO,JALISCO__3,JALISCO__3,MC,243808.73943556432,False
JALISCO,JALISCO__4,JALISCO__4,MC,279366.9987161278,False
JALISCO,JALISCO__5,JALISCO__5,MC,259659.3132440129,False
JALISCO,JALISCO__6,JALISCO__6,MC,305363.5550492821,False
JALISCO,JALISCO__7,JALISCO__7,MC,231880.73043205953,False
JALISCO,JALISCO__8,JALISCO__8,MC,293518.07004208746,False
JALISCO,JALISCO__9,JALISCO__9,MC,202198.53828584912,False
JALISCO,JALISCO__10,JALISCO__10,MC,270494.91424386634,False
JALISCO,JALISCO__11,JALISCO__11,MC,281899.2407799578,False
JALISCO,JALISCO__6,JALISCO__6_v1,MC,305363.5550492821,True
JALISCO,JALISCO__8,JALISCO__8_v2,MC,293518.07004208746,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,209279.60960514878,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,370137.5110102375,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,296707.26390958915,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,351686.0005510038,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,336479.3324673252,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,362579.2739191115,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,347877.6828223854,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,367940.3972827141,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,383027.9953507008,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,324807.48731407046,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,348100.367131177,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,348802.6644155978,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,279769.5680544045,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,339023.3809957956,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,334106.5264843864,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,341366.8822124592,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,346723.86122403014,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,252289.09754979596,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,252112.1730129281,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,329913.9246871383,False
MEXICO,MEXICO__9,MEXICO__9_v1,MORENA,383027.9953507008,True
MEXICO,MEXICO__2,MEXICO__2_v2,MORENA,370137.5110102375,True
MEXICO,MEXICO__8,MEXICO__8_v3,MORENA,367940.3972827141,True
MEXICO,MEXICO__6,MEXICO__6_v4,MORENA,362579.2739191115,True
MEXICO,MEXICO__4,MEXICO__4_v5,MORENA,351686.0005510038,True
MEXICO,MEXICO__12,MEXICO__12_v6,MORENA,348802.6644155978,True
MEXICO,MEXICO__11,MEXICO__11_v7,MORENA,348100.367131177,True
MEXICO,MEXICO__7,MEXICO__7_v8,MORENA,347877.6828223854,True
MEXICO,MEXICO__17,MEXICO__17_v9,MORENA,346723.86122403014,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,231264.5762973841,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,230775.58981008132,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,243744.89605516708,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,211464.0731083182,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,259984.0173033539,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,252393.43099036545,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,228572.41643533003,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185714.31631265726,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,196894.40419287977,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,192470.2438477016,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,160983.83611678664,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,154891.0976580478,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,PRI,233083.7145986074,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,242799.615379107,False
