ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,145137.8667761578,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,227248.9053666136,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,245114.61966276547,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,157234.59525459528,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,209905.44903995775,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,162252.58980935212,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,157681.8155913156,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,MORENA,74910.84162145872,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__3,CAMPECHE__3,MORENA,136453.54354099475,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,182359.79712153517,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,202275.20283822296,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,232527.31380696862,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,239849.95201456506,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,211798.88348536196,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,198075.85073334625,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,82590.3092369478,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,274868.10950021155,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,304189.7793977797,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,310498.4536470588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,339423.6204155426,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,483125.05759968737,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,297689.71298622154,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,524833.2647820116,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,449430.5587763153,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,432321.81566796114,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,406690.7885934992,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,421968.17060602194,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,383611.82621155714,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,378031.0448908349,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,383713.7969252971,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,524833.2647820116,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,483125.05759968737,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,432321.81566796114,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,421968.17060602194,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,406690.7885934992,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15_v6,MORENA,383713.7969252971,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13_v7,MORENA,383611.82621155714,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v8,MORENA,378031.0448908349,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v9,MORENA,339423.6204155426,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v10,MORENA,310498.4536470588,True
COAHUILA,COAHUILA__6,COAHUILA__6,MORENA,217611.7465373918,False
COAHUILA,COAHUILA__7,COAHUILA__7,MORENA,153645.60491099753,False
COAHUILA,COAHUILA__8,COAHUILA__8,MORENA,139932.4650882898,False
COAHUILA,COAHUILA__10,COAHUILA__10,MORENA,175414.29415757454,False
COAHUILA,COAHUILA__9,COAHUILA__9,PRI,212818.05713546078,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,203448.4779317259,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,194859.00230593252,False
COLIMA,COLIMA__3,COLIMA__3,MORENA,58460.66728160608,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,161564.4222531695,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,149126.61675814816,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,137406.51886386515,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,252374.67903396534,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,249577.04689887125,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,240481.27669784875,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,194174.53988223986,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,MORENA,256827.21449502965,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,MORENA,236566.1589213279,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,MORENA,263204.6305012614,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,179721.15643751784,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,260078.7248624359,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,PAN,267968.37351374864,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,249112.19875575337,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7_v1,MORENA,263204.6305012614,True
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,207684.23392496418,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,224647.66913353384,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,197038.5687915286,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,242941.9689028202,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,181264.2717191606,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,214946.54834094344,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,287485.8641641681,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,233786.48404313615,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,247799.19150624884,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,240784.37208567798,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,224573.85521644095,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,223472.232984328,False
HIDALGO,HIDALGO__1,HIDALGO__1_v1,MORENA,287485.8641641681,True
JALISCO,JALISCO__1,JALISCO__1,MC,257035.79398943618,False
JALISCO,JALISCO__2,JALISCO__2,MC,308838.61814060225,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,302923.19683329517,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,286986.7452704641,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,199446.35280951514,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,268076.46198307455,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,296268.7336466514,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,254585.91715117398,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,218029.4341702174,False
JALISCO,JALISCO__10,JALISCO__10,MORENA,238444.38789559325,False
JALISCO,JALISCO__11,JALISCO__11,MC,269454.8548598625,False
JALISCO,JALISCO__12,JALISCO__12,MC,294402.60823635163,False
JALISCO,JALISCO__13,JALISCO__13,MORENA,257515.68252962938,False
JALISCO,JALISCO__14,JALISCO__14,MORENA,264258.2124841331,False
JALISCO,JALISCO__2,JALISCO__2_v1,MC,308838.61814060225,True
JALISCO,JALISCO__12,JALISCO__12_v2,MC,294402.60823635163,True
JALISCO,JALISCO__11,JALISCO__11_v3,MC,269454.8548598625,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,223830.096435734,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,293855.0470084043,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,321058.8235983406,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,307343.9622187018,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,361780.52383600944,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,352771.73278635374,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,333171.4761369988,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,273686.3940984204,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,313550.9278747316,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,298041.31903813686,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,330938.455249546,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,210258.47178076365,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,308461.7868271838,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,267965.0390576401,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,344784.4980025949,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,305226.5766568382,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,351724.6409815814,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,364978.6165333681,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,319826.16983031854,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,307420.2451893473,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,416027.5929395226,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,312615.6533070613,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,327005.122526361,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,206980.2042031078,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,327727.7145749957,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,334673.90930793795,False
MEXICO,MEXICO__21,MEXICO__21_v1,MORENA,416027.5929395226,True
MEXICO,MEXICO__18,MEXICO__18_v2,MORENA,364978.6165333681,True
MEXICO,MEXICO__5,MEXICO__5_v3,MORENA,361780.52383600944,True
MEXICO,MEXICO__6,MEXICO__6_v4,MORENA,352771.73278635374,True
MEXICO,MEXICO__17,MEXICO__17_v5,MORENA,351724.6409815814,True
MEXICO,MEXICO__15,MEXICO__15_v6,MORENA,344784.4980025949,True
MEXICO,MEXICO__26,MEXICO__26_v7,MORENA,334673.90930793795,True
MEXICO,MEXICO__7,MEXICO__7_v8,MORENA,333171.4761369988,True
MEXICO,MEXICO__11,MEXICO__11_v9,MORENA,330938.455249546,True
MEXICO,MEXICO__25,MEXICO__25_v10,MORENA,327727.7145749957,True
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,203591.14329428374,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,184845.70199410268,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,251063.68176978966,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,232609.18060554517,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,225443.4232600783,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,230553.3796183545,False
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,233173.42074510414,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,177278.7785925857,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180241.82884052861,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185591.50018403895,False
MORELOS,MORELOS__4,MORELOS__4,MORENA,165059.67129701283,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,196078.63608509494,False
NAYARIT,NAYARIT__4,NAYARIT__4,MORENA,126919.65341363574,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,140681.52817338138,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,MC,139860.88629551377,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MORENA,233971.3601200952,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,179858.89998917942,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,MORENA,212607.08224013093,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,208079.81437645358,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,MORENA,210682.62301779678,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,340775.4542841839,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PAN,265441.24346032046,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,PAN,217533.50850587076,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,187051.12771045527,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,290655.95812079334,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,221717.62190666763,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,198240.04748522874,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,214606.5636559625,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,207103.82748996926,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,223902.9954520369,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,208997.36203537852,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,200103.6238539631,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,284677.2245742384,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,246861.2674200302,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,293526.30544191704,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,293205.4524540854,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,236843.62418865802,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,229354.77300633938,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,255378.24168341968,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,272565.08642117784,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,295516.8932098646,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,243733.09176887787,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,252656.03983139156,False
PUEBLA,PUEBLA__9,PUEBLA__9_v1,MORENA,295516.8932098646,True
PUEBLA,PUEBLA__3,PUEBLA__3_v2,MORENA,293526.30544191704,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__3,QUERETARO__3,PAN,176235.82047665224,False
QUINTANA ROO,QUINTANA ROO__1,QUINTANA ROO__1,MORENA,101768.78374771688,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,165807.26762535598,False
