ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,131572.48307541592,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,116620.30123920052,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,195271.9799332216,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,212364.1285039759,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,230671.40376794542,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,191109.59191363613,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,127363.17898595399,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__3,BAJA CALIFORNIA SUR__3,MORENA,116471.8069620253,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,145825.50263113226,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,137354.06925819043,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,191467.49361205558,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,272340.3529105298,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,253764.35717189993,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,249616.15340049495,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,246210.64290501978,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,81643.45263406569,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,185764.11088928045,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,263903.4928803276,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,358248.6765281376,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,330239.67307537736,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,399431.5595765956,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,344578.9961871004,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,290222.4431136076,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,370593.10565631394,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,381312.75209568103,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,343650.9861204379,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,339462.73756640835,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,328779.46631073207,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5_v1,MORENA,399431.5595765956,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v2,MORENA,370593.10565631394,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v3,MORENA,358248.6765281376,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v4,MORENA,344578.9961871004,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v5,MORENA,343650.9861204379,True
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,256645.46228065935,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,136682.38878824218,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,214171.8650892603,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,141369.89096461344,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,201704.57152384592,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,120520.12372957254,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,90535.30177247243,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,121226.66722855151,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,146721.71878312895,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,143564.8778000782,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,200585.07003088304,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,227951.65113778066,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,202815.07511256784,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,229606.9095452718,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,217547.76981263433,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,237881.4118482989,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,220860.40422973447,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,225199.74787675444,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,203470.96040607456,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,248597.65596779494,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,234677.02213547585,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,216018.46480379303,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,273878.7640550911,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,199305.24047757828,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,250687.85256026677,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,183861.87766416432,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,209573.37203913982,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,226027.07427628906,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,193018.1039103117,False
JALISCO,JALISCO__1,JALISCO__1,MC,280036.6978475298,False
JALISCO,JALISCO__2,JALISCO__2,MC,265501.0201719122,False
JALISCO,JALISCO__3,JALISCO__3,MC,306897.08442662575,False
JALISCO,JALISCO__4,JALISCO__4,MC,219749.31276369432,False
JALISCO,JALISCO__5,JALISCO__5,MC,245883.69171969878,False
JALISCO,JALISCO__6,JALISCO__6,MC,290796.72527049243,False
JALISCO,JALISCO__7,JALISCO__7,MC,274555.5154619157,False
JALISCO,JALISCO__8,JALISCO__8,MC,275712.2120560423,False
JALISCO,JALISCO__9,JALISCO__9,MC,245269.26005831867,False
JALISCO,JALISCO__10,JALISCO__10,MC,265713.6894128354,False
JALISCO,JALISCO__11,JALISCO__11,MC,244944.7908109347,False
JALISCO,JALISCO__3,JALISCO__3_v1,MC,306897.08442662575,True
JALISCO,JALISCO__6,JALISCO__6_v2,MC,290796.72527049243,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,205972.28350981933,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,360494.5919260527,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,300185.46954869374,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,350505.2136135511,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,366361.06676345237,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,351411.9097891804,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,330140.95336782624,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,366902.5593906845,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,315169.1192660551,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,297406.95571376116,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,339687.24107820186,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,330938.94844214804,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,337158.67497149325,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,308847.8422823504,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,361594.61295317445,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,309006.29742954666,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,269635.32947193703,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,381213.03001097834,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,306916.46614385996,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,333182.4343272336,False
MEXICO,MEXICO__18,MEXICO__18_v1,MORENA,381213.03001097834,True
MEXICO,MEXICO__8,MEXICO__8_v2,MORENA,366902.5593906845,True
MEXICO,MEXICO__5,MEXICO__5_v3,MORENA,366361.06676345237,True
MEXICO,MEXICO__15,MEXICO__15_v4,MORENA,361594.61295317445,True
MEXICO,MEXICO__2,MEXICO__2_v5,MORENA,360494.5919260527,True
MEXICO,MEXICO__6,MEXICO__6_v6,MORENA,351411.9097891804,True
MEXICO,MEXICO__4,MEXICO__4_v7,MORENA,350505.2136135511,True
MEXICO,MEXICO__11,MEXICO__11_v8,MORENA,339687.24107820186,True
MEXICO,MEXICO__13,MEXICO__13_v9,MORENA,337158.67497149325,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,222328.10155595472,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,219014.96703001292,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,270647.31866795674,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,251624.146622165,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,226654.64689209755,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,238928.75411705763,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,229001.06511475553,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,196894.40419287977,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185714.31631265726,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,192470.2438477016,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,154891.0976580478,False
NAYARIT,NAYARIT__1,NAYARIT__1,MORENA,140315.06622516556,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,PRI,227053.30784318424,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,218336.9248864636,False
