ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,131572.48307541592,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,116620.30123920052,False
AGUASCALIENTES,AGUASCALIENTES__4,AGUASCALIENTES__4,PAN,139951.26351351355,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,207205.96478943925,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,191008.61359600237,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,126332.2603999604,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,135325.48447560525,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,175072.24405043505,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,123503.91894554393,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,91161.90084388186,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,137354.06925819043,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,145825.50263113226,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,169802.2057095475,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,200482.20584338173,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,204029.21040430333,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,217427.10525662318,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,202834.90345252256,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,218823.3693336217,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,81643.45263406569,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,167163.65243645612,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194671.8004085591,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,238924.69157037386,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,202530.08035794154,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,321815.0535387303,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,281064.5660443502,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,254798.40921470712,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,311438.19752402714,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,333649.1509908376,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,298775.18394992204,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,296952.95147594356,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,290672.3514235861,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,242051.35912353382,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,268147.0141769883,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,233533.53776404314,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5_v1,MORENA,321815.0535387303,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v2,MORENA,311438.19752402714,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,298775.18394992204,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v4,MORENA,296952.95147594356,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v5,MORENA,290672.3514235861,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v6,MORENA,281064.5660443502,True
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,204824.17605182694,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,118512.02478758531,False
COAHUILA,COAHUILA__8,COAHUILA__8,PRI,175440.67279552983,False
COAHUILA,COAHUILA__9,COAHUILA__9,PRI,230875.9182778117,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,119109.68264317856,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,151578.54484561464,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,77274.2064582704,False
COLIMA,COLIMA__1,COLIMA__1,MORENA,85581.55959486347,False
COLIMA,COLIMA__7,COLIMA__7,MORENA,76174.99647314163,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,95812.54382283024,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,115875.69373438417,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,121839.39837617449,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,192332.16176259916,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,162671.84889473798,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,PAN,174734.0116318068,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,171446.8210977429,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,163886.81027578132,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,191965.62066835703,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,183220.05962298074,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,177803.45490706584,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,212114.8557430976,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,172142.95341642678,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,193514.5351571018,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,196204.7792967001,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,238426.78989019452,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,204653.45923262736,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,197838.55259640218,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,193940.1436539335,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,198586.74017304054,False
GUERRERO,GUERRERO__3,GUERRERO__3_v1,MORENA,238426.78989019452,True
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,160679.96328491063,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,176645.1756449733,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,184217.86020362907,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,146231.41663714856,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,150655.07957052978,False
JALISCO,JALISCO__1,JALISCO__1,MC,217944.24677716062,False
JALISCO,JALISCO__2,JALISCO__2,MC,231195.0587922081,False
JALISCO,JALISCO__3,JALISCO__3,MC,182403.02587714014,False
JALISCO,JALISCO__4,JALISCO__4,MC,221465.92246487975,False
JALISCO,JALISCO__5,JALISCO__5,MC,225547.39209139772,False
JALISCO,JALISCO__6,JALISCO__6,MC,165378.5774844837,False
JALISCO,JALISCO__7,JALISCO__7,MC,234495.34891136704,False
JALISCO,JALISCO__8,JALISCO__8,MC,203838.5969839387,False
JALISCO,JALISCO__9,JALISCO__9,MC,231999.06535039772,False
JALISCO,JALISCO__10,JALISCO__10,MC,207569.64570550286,False
JALISCO,JALISCO__11,JALISCO__11,MC,220902.06099300607,False
JALISCO,JALISCO__12,JALISCO__12,MC,208720.88290347805,False
JALISCO,JALISCO__13,JALISCO__13,MC,176011.15433753823,False
JALISCO,JALISCO__14,JALISCO__14,MC,187589.02132750125,False
JALISCO,JALISCO__7,JALISCO__7_v1,MC,234495.34891136704,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,152680.47801293747,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,231974.05171501468,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,257979.95560340086,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,240663.58330307796,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,306012.3082377917,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,255706.45533191698,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,292950.94700049533,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,246768.14178477682,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,257938.77057671256,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,235717.22238742217,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,250201.48542342475,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,266199.9837295511,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,261067.4794664486,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,251772.54398536086,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,266252.74225453485,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,269416.048174338,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,244243.84672410486,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,254040.86799318757,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,265710.2252933766,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,253066.71774718797,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,256936.60456268926,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,209790.36881481574,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,231221.3083112115,False
MEXICO,MEXICO__24,MEXICO__24,PRI,308686.19220383355,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,252872.16467857768,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,202860.5066838106,False
