ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,145137.8667761578,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,226817.61009851698,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,245347.6298646209,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,157234.59525459528,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,210103.7341061989,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,162252.58980935212,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,157681.8155913156,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,MORENA,74910.84162145872,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__3,CAMPECHE__3,MORENA,136453.54354099475,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,179714.8156361052,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,204083.80000682012,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,218072.04414343514,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,220680.93146342697,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,216625.4725912233,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,227709.93615898927,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,82590.3092369478,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,271695.66161796823,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,304189.7793977797,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,310498.4536470588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,338266.75093362964,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,482943.54139024403,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,297876.798067586,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,530846.4232604513,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,448958.4885768647,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,432160.7674351858,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,405702.3975612268,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,420360.6671812276,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,384443.1145709062,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,394375.7116430005,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,368077.4447168707,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,530846.4232604513,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,482943.54139024403,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,432160.7674351858,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,420360.6671812276,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,405702.3975612268,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v6,MORENA,394375.7116430005,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13_v7,MORENA,384443.1145709062,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15_v8,MORENA,368077.4447168707,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v9,MORENA,338266.75093362964,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v10,MORENA,310498.4536470588,True
COAHUILA,COAHUILA__2,COAHUILA__2,MORENA,192631.75707250374,False
COAHUILA,COAHUILA__3,COAHUILA__3,MORENA,153158.55725299224,False
COAHUILA,COAHUILA__9,COAHUILA__9,MORENA,182385.5866546721,False
COAHUILA,COAHUILA__8,COAHUILA__8,PRI,176528.3726740075,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,92266.09181096681,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,220623.28394447482,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,241716.09375622083,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,62345.490504612055,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,171162.89548292983,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,152605.53842273576,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,132406.2066640184,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,218485.86468490507,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,230096.49014399684,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,MORENA,275386.45806852035,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,268868.5248105088,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,284739.0020688778,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,238983.03203509183,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,226847.21285643018,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,230944.3217197194,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,241096.1783742326,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,MORENA,186892.62084283636,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,MORENA,247746.2943948806,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3_v1,MORENA,275386.45806852035,True
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,253597.16374208254,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,194198.17401145352,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,198020.99220713374,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,250580.46755665104,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,161866.9403899418,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,226906.82927161595,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,214662.72009011815,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,252208.13500476335,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,238938.1334256946,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,254503.418337469,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,281398.1439987981,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,216191.44914315682,False
HIDALGO,HIDALGO__5,HIDALGO__5_v1,MORENA,281398.1439987981,True
JALISCO,JALISCO__1,JALISCO__1,MC,269966.7543126584,False
JALISCO,JALISCO__2,JALISCO__2,MC,266348.6543612492,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,273724.72389205615,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,260889.9695772234,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,213165.23984678485,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,242237.18062431872,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,262254.29016447614,False
JALISCO,JALISCO__8,JALISCO__8,MC,263596.6461287638,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,265840.9817398607,False
JALISCO,JALISCO__10,JALISCO__10,MC,317217.511170082,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,269377.54045313376,False
JALISCO,JALISCO__12,JALISCO__12,MC,277471.8277279828,False
JALISCO,JALISCO__13,JALISCO__13,MORENA,274525.19849985273,False
JALISCO,JALISCO__14,JALISCO__14,MORENA,259650.48150155728,False
JALISCO,JALISCO__10,JALISCO__10_v1,MC,317217.511170082,True
JALISCO,JALISCO__12,JALISCO__12_v2,MC,277471.8277279828,True
JALISCO,JALISCO__1,JALISCO__1_v3,MC,269966.7543126584,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,218318.10367670265,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,291836.49861075426,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,326311.46269745816,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,307340.26020981884,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,347197.6052443772,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,318221.99513829115,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,393718.5040428409,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,292753.24616488395,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,273273.2758260278,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,321099.3736734815,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,368479.8251915447,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,287840.0434919734,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,266101.53388062824,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,271458.3173439043,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,377110.681238987,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,355677.20425768115,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,208128.9193258767,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,340330.7179949061,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,336778.2472993707,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,344714.4978042947,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,195813.9165517477,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,333343.4449871741,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,332871.7893550565,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,352952.50027457904,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,334427.1344780857,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,319605.90123955335,False
MEXICO,MEXICO__7,MEXICO__7_v1,MORENA,393718.5040428409,True
MEXICO,MEXICO__15,MEXICO__15_v2,MORENA,377110.681238987,True
MEXICO,MEXICO__11,MEXICO__11_v3,MORENA,368479.8251915447,True
MEXICO,MEXICO__16,MEXICO__16_v4,MORENA,355677.20425768115,True
MEXICO,MEXICO__24,MEXICO__24_v5,MORENA,352952.50027457904,True
MEXICO,MEXICO__5,MEXICO__5_v6,MORENA,347197.6052443772,True
MEXICO,MEXICO__20,MEXICO__20_v7,MORENA,344714.4978042947,True
MEXICO,MEXICO__18,MEXICO__18_v8,MORENA,340330.7179949061,True
MEXICO,MEXICO__19,MEXICO__19_v9,MORENA,336778.2472993707,True
MEXICO,MEXICO__25,MEXICO__25_v10,MORENA,334427.1344780857,True
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,217279.69349352055,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,235977.7807660246,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,153986.7170387281,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,237186.10222107323,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,244098.7986332213,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,197067.9751592584,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,185338.36528341944,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,182462.55453584006,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180241.82884052861,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185591.50018403895,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,196078.63608509494,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,208877.36359332467,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,140681.52817338138,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,144319.4456777586,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MC,233437.59286714141,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,MC,144956.64703046135,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,MORENA,208561.50349993203,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MORENA,226222.1123631568,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,183845.14938582884,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,196525.5424033326,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,MORENA,221207.34076682225,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,331627.58094079216,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,PAN,269343.07087617746,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,180135.45986635512,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,302310.30003362626,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,223315.79644700605,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,198494.85859134543,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,206149.87171905543,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,216506.66749422415,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,211904.2433309639,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,200711.11850764113,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,205935.14387613762,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,300803.58341825026,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,266402.4996997607,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,263134.01905853726,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,239105.87595517782,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,240780.0779991065,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,221270.01884209493,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,290032.03249998344,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,268972.56890292186,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,298328.5555983437,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,224025.36946332257,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,291463.39856250084,False
PUEBLA,PUEBLA__1,PUEBLA__1_v1,MORENA,300803.58341825026,True
PUEBLA,PUEBLA__9,PUEBLA__9_v2,MORENA,298328.5555983437,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__1,QUERETARO__1,PAN,142162.9678615299,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,223914.5103195469,False
QUINTANA ROO,QUINTANA ROO__3,QUINTANA ROO__3,MORENA,130336.87652597623,False
