ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,131572.48307541592,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,116620.30123920052,False
AGUASCALIENTES,AGUASCALIENTES__4,AGUASCALIENTES__4,PAN,139951.26351351355,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,207205.96478943925,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,191008.61359600237,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,126332.2603999604,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,135325.48447560525,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,175072.24405043505,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,123503.91894554393,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__2,BAJA CALIFORNIA SUR__2,MORENA,91161.90084388186,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,137354.06925819043,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,145825.50263113226,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,167879.63820184788,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,199908.41009648153,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,205489.19145649305,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,218689.41823573422,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,215282.46712017307,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,206149.87488927026,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,81643.45263406569,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,162858.1140510485,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,194671.8004085591,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,238924.69157037386,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,202799.39099061754,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,321815.0535387303,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,281066.83789963636,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,256370.1597210812,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,310716.16366322385,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,332516.20591445477,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,298200.7602099233,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,PAN,296997.2204682673,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,290144.57008808356,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,243751.23486631815,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,261957.89556649158,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,243397.90104319065,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5_v1,MORENA,321815.0535387303,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v2,MORENA,310716.16366322385,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,298200.7602099233,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,290144.57008808356,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v5,MORENA,281066.83789963636,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v6,MORENA,261957.89556649158,True
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,102596.51638534063,False
COAHUILA,COAHUILA__5,COAHUILA__5,PRI,124773.74213396346,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,154886.9064173683,False
COAHUILA,COAHUILA__8,COAHUILA__8,PRI,158315.4777078736,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,110510.32886064121,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,72173.4745146611,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,181875.82205400162,False
COLIMA,COLIMA__4,COLIMA__4,MORENA,90943.86245252306,False
COLIMA,COLIMA__1,COLIMA__1,MORENA,74861.320311087,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,104742.5406024245,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,124420.44907113446,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,95426.96995919386,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,213148.55735794368,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,185997.7323445453,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,200137.10207923863,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,PAN,131944.25867207022,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,178743.6607591431,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,199402.82291719932,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,165921.31190598727,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,177062.4665577631,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,188484.6483673297,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,138413.0665298241,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,198854.19782213468,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,187693.5832310362,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,216183.10867014018,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,222092.52897469536,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,217548.2023376506,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,180504.88529140735,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,200288.4936729356,False
GUERRERO,GUERRERO__4,GUERRERO__4_v1,MORENA,222092.52897469536,True
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,180428.9380500107,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,158410.5160199532,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,160288.0510711643,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,150577.4151644698,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,194247.97907227036,False
JALISCO,JALISCO__1,JALISCO__1,MC,180325.55285971684,False
JALISCO,JALISCO__2,JALISCO__2,MC,236219.80268545536,False
JALISCO,JALISCO__3,JALISCO__3,MC,245378.12262306813,False
JALISCO,JALISCO__4,JALISCO__4,MC,228707.8901308296,False
JALISCO,JALISCO__5,JALISCO__5,MC,224682.37421002804,False
JALISCO,JALISCO__6,JALISCO__6,MC,209017.99856750394,False
JALISCO,JALISCO__7,JALISCO__7,MC,234756.89073869964,False
JALISCO,JALISCO__8,JALISCO__8,MC,218964.00845054648,False
JALISCO,JALISCO__9,JALISCO__9,MC,191775.61063433145,False
JALISCO,JALISCO__10,JALISCO__10,MC,161108.9526217519,False
JALISCO,JALISCO__11,JALISCO__11,MC,211608.88655431216,False
JALISCO,JALISCO__12,JALISCO__12,MC,190985.68482481784,False
JALISCO,JALISCO__13,JALISCO__13,MC,181189.07670025737,False
JALISCO,JALISCO__14,JALISCO__14,MC,200339.14839868122,False
JALISCO,JALISCO__3,JALISCO__3_v1,MC,245378.12262306813,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,147107.0059267835,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,210108.65989701226,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,245395.82482697535,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,285641.8247022232,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,304936.4501461979,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,232523.99880940127,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,277421.0643772885,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,268888.2046530953,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,248459.41063141637,False
MEXICO,MEXICO__10,MEXICO__10,PAN,240505.0459828882,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,273297.55484550935,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,261558.6150996756,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,283607.07876686886,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,224010.89696162133,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,195809.87252999295,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,273707.0492059578,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,215436.06119234022,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,271137.6855443005,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,283049.13782632636,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,260299.035380296,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,283907.21457059035,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,288662.3145857851,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,206423.27251354678,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,268941.5997887245,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,221046.74192589842,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,250849.37930928395,False
