ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,145137.8667761578,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,226817.61009851698,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,245347.6298646209,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,157234.59525459528,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,210103.7341061989,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,162252.58980935212,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,157681.8155913156,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,MORENA,74910.84162145872,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__3,CAMPECHE__3,MORENA,136453.54354099475,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,179714.8156361052,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,204083.80000682012,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,218072.04414343514,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,220680.93146342697,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,216625.4725912233,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,227709.93615898927,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,82590.3092369478,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,270265.6970820656,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,304189.7793977797,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,310498.4536470588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,337835.9462894903,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,483612.73423592217,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,298609.13180659397,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,526362.5869127433,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,448519.19187314773,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,431480.2241607187,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,407183.308306173,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,427574.1623831624,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,380526.2699345114,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,393045.8906736675,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,370692.6232969655,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,526362.5869127433,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,483612.73423592217,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,431480.2241607187,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,427574.1623831624,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,407183.308306173,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v6,MORENA,393045.8906736675,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13_v7,MORENA,380526.2699345114,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15_v8,MORENA,370692.6232969655,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v9,MORENA,337835.9462894903,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v10,MORENA,310498.4536470588,True
COAHUILA,COAHUILA__5,COAHUILA__5,MORENA,179285.9718291476,False
COAHUILA,COAHUILA__8,COAHUILA__8,MORENA,166911.9724371069,False
COAHUILA,COAHUILA__9,COAHUILA__9,MORENA,154046.26039006968,False
COAHUILA,COAHUILA__7,COAHUILA__7,PRI,163562.39552143525,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,241754.2922160809,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,144998.77758339536,False
COAHUILA,COAHUILA__1,COAHUILA__1,PRI,114415.48081112099,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,46330.16516549104,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,153299.42111119244,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,132942.41973220021,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,149689.10813884475,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,204485.59370979076,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,263881.0654866393,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,MORENA,285004.827939428,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,PAN,224366.27763778786,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,MORENA,273636.40391650226,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,MORENA,260445.15009166265,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,MORENA,265527.2021401504,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,226333.5016913977,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,MORENA,231472.84791554534,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,PAN,214869.52842147526,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,PAN,200063.60104962043,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3_v1,MORENA,285004.827939428,True
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,268399.18056952965,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,255531.82962052917,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,156320.0174851715,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,204309.65810357142,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,200364.25211545726,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,146460.53808841752,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,291802.5959035001,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,248551.31121675624,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,223878.99280782213,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,226942.54902588308,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,251066.54075925713,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,215660.01028678135,False
HIDALGO,HIDALGO__1,HIDALGO__1_v1,MORENA,291802.5959035001,True
JALISCO,JALISCO__1,JALISCO__1,MC,277643.84736508486,False
JALISCO,JALISCO__2,JALISCO__2,MORENA,276127.4887232643,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,288046.5861176896,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,248344.55734032375,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,264609.196380588,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,251216.8649186226,False
JALISCO,JALISCO__7,JALISCO__7,MC,271921.2518994478,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,231421.2771855306,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,270929.9333589898,False
JALISCO,JALISCO__10,JALISCO__10,MORENA,273342.27427525335,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,287915.49728886585,False
JALISCO,JALISCO__12,JALISCO__12,MC,323064.8959143827,False
JALISCO,JALISCO__13,JALISCO__13,MORENA,185097.52582335458,False
JALISCO,JALISCO__14,JALISCO__14,MC,266585.8034086022,False
JALISCO,JALISCO__12,JALISCO__12_v1,MC,323064.8959143827,True
JALISCO,JALISCO__1,JALISCO__1_v2,MC,277643.84736508486,True
JALISCO,JALISCO__7,JALISCO__7_v3,MC,271921.2518994478,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,218460.88250698388,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,273874.2597095546,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,329387.292754749,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,276690.9214864768,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,341406.53783873015,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,278386.0028345637,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,321654.0730527766,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,331098.58424260415,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,312356.12356696685,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,340031.44195990084,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,320181.90529450873,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,354191.09974441177,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,231904.29394224033,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,273087.56451284135,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,350855.8710738553,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,416936.6315253227,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,341122.5756334929,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,205141.3091030385,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,315903.3873943407,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,305467.38353418035,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,346072.77557761455,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,335372.86549613904,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,361953.2102872792,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,291873.98073766916,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,337380.64560663176,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,304913.38058312685,False
MEXICO,MEXICO__16,MEXICO__16_v1,MORENA,416936.6315253227,True
MEXICO,MEXICO__23,MEXICO__23_v2,MORENA,361953.2102872792,True
MEXICO,MEXICO__12,MEXICO__12_v3,MORENA,354191.09974441177,True
MEXICO,MEXICO__15,MEXICO__15_v4,MORENA,350855.8710738553,True
MEXICO,MEXICO__21,MEXICO__21_v5,MORENA,346072.77557761455,True
MEXICO,MEXICO__5,MEXICO__5_v6,MORENA,341406.53783873015,True
MEXICO,MEXICO__17,MEXICO__17_v7,MORENA,341122.5756334929,True
MEXICO,MEXICO__10,MEXICO__10_v8,MORENA,340031.44195990084,True
MEXICO,MEXICO__25,MEXICO__25_v9,MORENA,337380.64560663176,True
MEXICO,MEXICO__22,MEXICO__22_v10,MORENA,335372.86549613904,True
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,261914.28247040283,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,216343.08774656587,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,226401.7766457353,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,210211.95274500392,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,179534.92541307607,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,247288.79663018574,False
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,190845.9440470428,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,152447.12041493008,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180241.82884052861,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185591.50018403895,False
MORELOS,MORELOS__4,MORELOS__4,MORENA,165059.67129701283,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,196078.63608509494,False
NAYARIT,NAYARIT__4,NAYARIT__4,MORENA,126919.65341363574,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,140681.52817338138,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,MC,228002.95306404043,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MC,209237.72404427815,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,MC,166389.49790227073,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MORENA,251490.51657523488,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,178764.70449765498,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,240400.69954837838,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,MORENA,158294.16440929822,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,338419.71244863985,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,PAN,249532.01245169772,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,175330.01505850683,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,293524.04819570156,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,211757.56512937156,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,225637.135970327,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,224788.2428481591,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,201135.5011671282,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,210020.48119438672,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,205618.49443049368,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,192846.5310644322,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,277105.2856621946,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,233987.59316305642,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,235957.47046412987,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,293779.3764971482,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,282031.5625666149,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,238245.84440262936,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,247095.18698530796,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,248479.29402952737,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,293636.35255922365,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,267018.26235643774,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,286981.77131372987,False
PUEBLA,PUEBLA__4,PUEBLA__4_v1,MORENA,293779.3764971482,True
PUEBLA,PUEBLA__9,PUEBLA__9_v2,MORENA,293636.35255922365,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__1,QUERETARO__1,PAN,142162.9678615299,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,223914.5103195469,False
QUINTANA ROO,QUINTANA ROO__3,QUINTANA ROO__3,MORENA,130336.87652597623,False
