ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,145137.8667761578,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,227987.1890010754,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,244961.12547958284,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,157234.59525459528,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,209320.6595886785,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,162252.58980935212,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,157681.8155913156,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,MORENA,74910.84162145872,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__3,CAMPECHE__3,MORENA,136453.54354099475,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,224381.27556908166,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,204083.80000682012,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,218072.04414343514,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,219409.04788133746,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,216625.4725912233,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,184315.35980810237,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,82590.3092369478,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,276136.99386230495,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,304189.7793977797,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,310498.4536470588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,338562.011127264,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,483125.05759968737,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,299194.2491627742,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,526277.7385095353,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,449315.50920123386,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,431534.485382393,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,407843.7568432814,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,423675.2877628547,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,381532.7329231588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,379481.661454391,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,379028.283126283,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,526277.7385095353,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,483125.05759968737,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,431534.485382393,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,423675.2877628547,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,407843.7568432814,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13_v6,MORENA,381532.7329231588,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v7,MORENA,379481.661454391,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15_v8,MORENA,379028.283126283,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v9,MORENA,338562.011127264,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v10,MORENA,310498.4536470588,True
COAHUILA,COAHUILA__1,COAHUILA__1,MORENA,111839.46890305559,False
COAHUILA,COAHUILA__8,COAHUILA__8,MORENA,116386.23542273062,False
COAHUILA,COAHUILA__9,COAHUILA__9,MORENA,136987.8496657617,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,219368.92650425958,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,226806.9143716953,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,194907.42802220714,False
COAHUILA,COAHUILA__3,COAHUILA__3,PRI,214860.5817205304,False
COLIMA,COLIMA__2,COLIMA__2,MORENA,13858.673684210527,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,149126.61675814816,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,137406.51886386515,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,147383.6066269782,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,186397.28501163985,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,PAN,248012.05639124455,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,248915.2653232635,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,MORENA,255177.50652513222,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,MORENA,247165.46559155348,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,MORENA,246192.84285298077,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,227575.1077345857,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,211997.49890042594,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,PAN,212335.43528663134,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,MORENA,278415.2665186529,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,MORENA,287902.2698638897,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11_v1,MORENA,287902.2698638897,True
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,265547.783585749,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,199918.2190731977,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,187176.16561608057,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,179977.04469570366,False
GUERRERO,GUERRERO__2,GUERRERO__2,MORENA,229503.43869087868,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,219736.2462678029,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,265391.6851004586,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,272416.2143864167,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,218316.84781894286,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,233644.50174375303,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,242942.40281597563,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,225190.34813445312,False
HIDALGO,HIDALGO__2,HIDALGO__2_v1,MORENA,272416.2143864167,True
JALISCO,JALISCO__1,JALISCO__1,MC,275528.8428003787,False
JALISCO,JALISCO__2,JALISCO__2,MORENA,265591.339460885,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,282143.0360682827,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,259681.04964352626,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,261164.43063671706,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,287358.1875927426,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,254953.05178604956,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,276136.3933073041,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,276497.5951226091,False
JALISCO,JALISCO__10,JALISCO__10,MC,294488.38294916414,False
JALISCO,JALISCO__11,JALISCO__11,MC,321552.69748547237,False
JALISCO,JALISCO__12,JALISCO__12,MORENA,198226.9440312293,False
JALISCO,JALISCO__13,JALISCO__13,MORENA,227797.42808761197,False
JALISCO,JALISCO__14,JALISCO__14,MC,235147.62102802706,False
JALISCO,JALISCO__11,JALISCO__11_v1,MC,321552.69748547237,True
JALISCO,JALISCO__10,JALISCO__10_v2,MC,294488.38294916414,True
JALISCO,JALISCO__1,JALISCO__1_v3,MC,275528.8428003787,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,220107.59821740998,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,272988.5424537685,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,336887.1660491354,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,320302.55007071496,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,340589.7581402321,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,328095.33868971706,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,364811.2691210657,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,287762.56880208536,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,294635.9457325158,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,267364.67525720113,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,327943.91113037325,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,331299.7497255871,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,355521.16896159435,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,294387.9013529979,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,312713.58552013454,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,415246.34329157206,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,382194.9194154282,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,296702.54998775036,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,346389.85465367144,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,212348.54569718573,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,319433.16435712157,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,333480.3375344198,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,177155.8846163855,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,312065.9004851745,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,336054.44945875613,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,329221.3212780013,False
MEXICO,MEXICO__16,MEXICO__16_v1,MORENA,415246.34329157206,True
MEXICO,MEXICO__17,MEXICO__17_v2,MORENA,382194.9194154282,True
MEXICO,MEXICO__7,MEXICO__7_v3,MORENA,364811.2691210657,True
MEXICO,MEXICO__13,MEXICO__13_v4,MORENA,355521.16896159435,True
MEXICO,MEXICO__19,MEXICO__19_v5,MORENA,346389.85465367144,True
MEXICO,MEXICO__5,MEXICO__5_v6,MORENA,340589.7581402321,True
MEXICO,MEXICO__3,MEXICO__3_v7,MORENA,336887.1660491354,True
MEXICO,MEXICO__25,MEXICO__25_v8,MORENA,336054.44945875613,True
MEXICO,MEXICO__22,MEXICO__22_v9,MORENA,333480.3375344198,True
MEXICO,MEXICO__12,MEXICO__12_v10,MORENA,331299.7497255871,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,250027.2574701233,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,152524.9590794081,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,196160.5632091384,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,177816.15763588547,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,178770.02054935726,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,220636.51143527037,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,262491.1271795705,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,211066.3065744607,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,196078.63608509494,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180241.82884052861,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185591.50018403895,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,208877.36359332467,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,144319.4456777586,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,140681.52817338138,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,292216.85850919085,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,MC,301638.36994201026,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MC,160700.45544522794,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,MC,162692.6879758404,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,MORENA,218488.96626678726,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,193463.4396166518,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MORENA,148997.03252438293,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,318035.2008998897,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,PAN,239879.79732158702,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MORENA,159749.1914984319,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,311218.90681170626,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,198935.06807522074,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,206666.341975743,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,228945.3225110016,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,203757.23347006648,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,192610.38911632614,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,233350.7194050373,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,189844.01863489853,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,280554.33317249594,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,234702.68652699585,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,296724.57075472455,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,288395.9535963908,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,242338.8009140466,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,284454.5035769436,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,282428.16066067107,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,272818.9518502611,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,246841.73560028977,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,259387.91346565215,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,215670.38988152868,False
PUEBLA,PUEBLA__3,PUEBLA__3_v1,MORENA,296724.57075472455,True
PUEBLA,PUEBLA__4,PUEBLA__4_v2,MORENA,288395.9535963908,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__1,QUERETARO__1,PAN,142162.9678615299,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,165807.26762535598,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,223914.5103195469,False
