ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,237563.40194625565,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,253774.20624980406,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,275780.08708682784,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,227801.15415558685,False
BAJA CALIFORNIA,BAJA CALIFORNIA__6,BAJA CALIFORNIA__6,MORENA,158132.0621896872,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__3,BAJA CALIFORNIA SUR__3,MORENA,139486.78797468357,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__1,CAMPECHE__1,MORENA,143504.45510100154,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,252379.9218592017,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,218331.01023751023,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,266208.272654227,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,262570.96059988136,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,267396.8346491797,False
CHIHUAHUA,CHIHUAHUA__3,CHIHUAHUA__3,MORENA,95268.97106071345,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,315114.27265751385,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,411955.33948267304,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,469977.62931833195,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,556396.4797949994,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__5,CIUDAD DE MEXICO__5,MORENA,127820.91217450722,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,588311.6299290721,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,364060.5249416473,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,591189.3211074456,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,516244.529885089,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,504135.3970927509,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,464194.29002147,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,480995.6735944995,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,591189.3211074456,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,588311.6299290721,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v3,MORENA,556396.4797949994,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v4,MORENA,504135.3970927509,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v5,MORENA,480995.6735944995,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v6,MORENA,469977.62931833195,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v7,MORENA,464194.29002147,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2_v8,MORENA,411955.33948267304,True
COAHUILA,COAHUILA__3,COAHUILA__3,MORENA,227604.10646713412,False
COAHUILA,COAHUILA__1,COAHUILA__1,MORENA,164155.1236813625,False
COAHUILA,COAHUILA__8,COAHUILA__8,MORENA,155324.56549154394,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,282525.9359392252,False
COAHUILA,COAHUILA__4,COAHUILA__4,PRI,250425.9839063146,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,120721.37092816271,False
COLIMA,COLIMA__1,COLIMA__1,MORENA,82287.01106890937,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,191290.22518497388,False
DURANGO,DURANGO__3,DURANGO__3,MORENA,167267.69019559404,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,197605.46190814403,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,281324.8794809565,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,320210.25537144486,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,279112.4978867525,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,MORENA,264845.59027684707,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,322008.32077846065,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,307609.8888112322,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,MORENA,237814.03848357627,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,MORENA,335408.25232313294,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,MORENA,301752.2765875971,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8_v1,MORENA,335408.25232313294,True
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,228988.45520453376,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,256417.85855172417,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,274116.6611222462,False
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,248893.17203691893,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,207040.1625283848,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,294895.02986680495,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,284031.8205429117,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,261933.94624205143,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,332665.9772882371,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,284375.2260599949,False
JALISCO,JALISCO__1,JALISCO__1,MC,351313.28578982025,False
JALISCO,JALISCO__2,JALISCO__2,MC,351886.25265627884,False
JALISCO,JALISCO__3,JALISCO__3,MORENA,383271.06835186813,False
JALISCO,JALISCO__4,JALISCO__4,MC,349068.80456672434,False
JALISCO,JALISCO__5,JALISCO__5,MORENA,274472.12148456083,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,356473.9338575073,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,318216.61192060646,False
JALISCO,JALISCO__8,JALISCO__8,MORENA,343169.40526462806,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,337590.060790383,False
JALISCO,JALISCO__10,JALISCO__10,MC,327561.5873083883,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,323243.8680092343,False
JALISCO,JALISCO__2,JALISCO__2_v1,MC,351886.25265627884,True
JALISCO,JALISCO__1,JALISCO__1_v2,MC,351313.28578982025,True
JALISCO,JALISCO__4,JALISCO__4_v3,MC,349068.80456672434,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,304379.80645878334,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,462641.34968847904,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,420821.54154251923,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,464661.18120100733,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,416656.5241651979,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,401943.8615776857,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,416763.154546242,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,356564.2166824348,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,396859.9951959434,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,420687.0004612781,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,471383.79466286465,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,503141.8606601069,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,412028.3366828618,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,444367.57257579616,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,403454.72144761647,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,192045.05758668436,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,417418.8243126628,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,349896.8628943567,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,381907.69820608676,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,478081.63945139246,False
MEXICO,MEXICO__12,MEXICO__12_v1,MORENA,503141.8606601069,True
MEXICO,MEXICO__20,MEXICO__20_v2,MORENA,478081.63945139246,True
MEXICO,MEXICO__11,MEXICO__11_v3,MORENA,471383.79466286465,True
MEXICO,MEXICO__4,MEXICO__4_v4,MORENA,464661.18120100733,True
MEXICO,MEXICO__2,MEXICO__2_v5,MORENA,462641.34968847904,True
MEXICO,MEXICO__14,MEXICO__14_v6,MORENA,444367.57257579616,True
MEXICO,MEXICO__3,MEXICO__3_v7,MORENA,420821.54154251923,True
MEXICO,MEXICO__10,MEXICO__10_v8,MORENA,420687.0004612781,True
MEXICO,MEXICO__17,MEXICO__17_v9,MORENA,417418.8243126628,True
MEXICO,MEXICO__7,MEXICO__7_v10,MORENA,416763.154546242,True
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,300189.0343016052,False
MICHOACAN,MICHOACAN__2,MICHOACAN__2,MORENA,267985.2317005445,False
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,278522.1620489043,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,227009.93901711993,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,319182.07149481284,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,222938.12906204705,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,263687.43237496633,False
MORELOS,MORELOS__1,MORELOS__1,MORENA,254408.8807622724,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,228155.3418100718,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,219763.54374046478,False
NAYARIT,NAYARIT__1,NAYARIT__1,MORENA,155271.45695364237,False
NAYARIT,NAYARIT__2,NAYARIT__2,MORENA,170642.44451996335,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,245157.58763689577,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,MC,266377.14012168936,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,MC,238690.72139712406,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MC,255578.11901289647,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,MORENA,316559.2846060667,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,MORENA,282315.36424607836,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,307247.4944686261,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,PAN,283936.28851062316,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,361445.3600630339,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,257554.73480796829,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,310673.9457863281,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,274420.16836985515,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,271513.13054294244,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,289720.66042987216,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,349042.9356436806,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,307525.19934481056,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,345902.92774926487,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,366212.7826581522,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,357886.17316987354,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,284859.00189064175,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,264997.9561239452,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,315023.19817244995,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,312867.82524718135,False
PUEBLA,PUEBLA__4,PUEBLA__4_v1,MORENA,366212.7826581522,True
PUEBLA,PUEBLA__5,PUEBLA__5_v2,MORENA,357886.17316987354,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__3,QUERETARO__3,PAN,176235.82047665224,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUINTANA ROO,QUINTANA ROO__2,QUINTANA ROO__2,MORENA,247153.39120230873,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,213611.56818135595,False
QUINTANA ROO,QUINTANA ROO__3,QUINTANA ROO__3,MORENA,194528.0286126696,False
SAN LUIS POTOSI,SAN LUIS POTOSI__1,SAN LUIS POTOSI__1,PVEM,261771.96318152273,False
SAN LUIS POTOSI,SAN LUIS POTOSI__2,SAN LUIS POTOSI__2,PVEM,274235.3810990982,False
SAN LUIS POTOSI,SAN LUIS POTOSI__3,SAN LUIS POTOSI__3,PVEM,226533.70700575382,False
SAN LUIS POTOSI,SAN LUIS POTOSI__4,SAN LUIS POTOSI__4,PVEM,231578.31476979525,False
SAN LUIS POTOSI,SAN LUIS POTOSI__5,SAN LUIS POTOSI__5,PVEM,288343.63394383003,False
SINALOA,SINALOA__1,SINALOA__1,MORENA,247462.70792652812,False
SINALOA,SINALOA__2,SINALOA__2,MORENA,270773.416486353,False
SINALOA,SINALOA__3,SINALOA__3,MORENA,284856.08592239744,False
SINALOA,SINALOA__4,SINALOA__4,MORENA,218804.74312928427,False
SINALOA,SINALOA__5,SINALOA__5,MORENA,252195.0465354371,False
SONORA,SONORA__3,SONORA__3,MORENA,229376.7166579794,False
SONORA,SONORA__4,SONORA__4,MORENA,223474.02001728688,False
SONORA,SONORA__1,SONORA__1,MORENA,198819.2623185559,False
SONORA,SONORA__2,SONORA__2,MORENA,248290.8564653939,False
TABASCO,TABASCO__3,TABASCO__3,MORENA,192402.12902982894,False
TABASCO,TABASCO__5,TABASCO__5,MORENA,230397.1077557236,False
TABASCO,TABASCO__2,TABASCO__2,MORENA,217384.68952858035,False
TABASCO,TABASCO__4,TABASCO__4,MORENA,200243.27214103297,False
TAMAULIPAS,TAMAULIPAS__1,TAMAULIPAS__1,MORENA,189125.5101961526,False
TAMAULIPAS,TAMAULIPAS__2,TAMAULIPAS__2,MORENA,303057.4655777696,False
TAMAULIPAS,TAMAULIPAS__3,TAMAULIPAS__3,MORENA,309124.4212953676,False
TAMAULIPAS,TAMAULIPAS__4,TAMAULIPAS__4,MORENA,206843.02255818533,False
TAMAULIPAS,TAMAULIPAS__5,TAMAULIPAS__5,MORENA,278082.8461680683,False
TAMAULIPAS,TAMAULIPAS__6,TAMAULIPAS__6,MORENA,283719.73420445656,False
TLAXCALA,TLAXCALA__2,TLAXCALA__2,MORENA,256163.1740585319,False
TLAXCALA,TLAXCALA__1,TLAXCALA__1,MORENA,215812.79975453112,False
VERACRUZ,VERACRUZ__1,VERACRUZ__1,MORENA,333213.56662849593,False
VERACRUZ,VERACRUZ__2,VERACRUZ__2,MORENA,314581.28369039646,False
VERACRUZ,VERACRUZ__3,VERACRUZ__3,MORENA,346422.0187527322,False
