ENTIDAD,distrito_id,distrito_id_new,sigla,weight,virtual
AGUASCALIENTES,AGUASCALIENTES__3,AGUASCALIENTES__3,PAN,171871.35045813405,False
AGUASCALIENTES,AGUASCALIENTES__2,AGUASCALIENTES__2,PAN,154103.9787116541,False
AGUASCALIENTES,AGUASCALIENTES__1,AGUASCALIENTES__1,PAN,145137.8667761578,False
BAJA CALIFORNIA,BAJA CALIFORNIA__4,BAJA CALIFORNIA__4,MORENA,226688.77530350428,False
BAJA CALIFORNIA,BAJA CALIFORNIA__5,BAJA CALIFORNIA__5,MORENA,245570.57431903202,False
BAJA CALIFORNIA,BAJA CALIFORNIA__7,BAJA CALIFORNIA__7,MORENA,157234.59525459528,False
BAJA CALIFORNIA,BAJA CALIFORNIA__2,BAJA CALIFORNIA__2,MORENA,210009.6244468005,False
BAJA CALIFORNIA,BAJA CALIFORNIA__3,BAJA CALIFORNIA__3,MORENA,162252.58980935212,False
BAJA CALIFORNIA,BAJA CALIFORNIA__1,BAJA CALIFORNIA__1,MORENA,157681.8155913156,False
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR__1,BAJA CALIFORNIA SUR__1,MORENA,74910.84162145872,False
CAMPECHE,CAMPECHE__2,CAMPECHE__2,MORENA,152567.00135800373,False
CAMPECHE,CAMPECHE__3,CAMPECHE__3,MORENA,136453.54354099475,False
CHIAPAS,CHIAPAS__1,CHIAPAS__1,MORENA,229841.9561305442,False
CHIAPAS,CHIAPAS__2,CHIAPAS__2,MORENA,173623.19704671716,False
CHIAPAS,CHIAPAS__3,CHIAPAS__3,MORENA,230028.50240530726,False
CHIAPAS,CHIAPAS__4,CHIAPAS__4,MORENA,218248.14349748043,False
CHIAPAS,CHIAPAS__5,CHIAPAS__5,MORENA,208479.97252245102,False
CHIAPAS,CHIAPAS__6,CHIAPAS__6,MORENA,206665.22839750003,False
CHIHUAHUA,CHIHUAHUA__1,CHIHUAHUA__1,MORENA,82590.3092369478,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__1,CIUDAD DE MEXICO__1,MORENA,268864.8188647135,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__2,CIUDAD DE MEXICO__2,MORENA,304189.7793977797,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3,MORENA,310498.4536470588,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4,MORENA,339423.6204155426,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6,MORENA,483192.82982493984,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__7,CIUDAD DE MEXICO__7,MORENA,298735.49546352803,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8,MORENA,525416.9345183967,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__9,CIUDAD DE MEXICO__9,PAN,448367.78271253896,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10,MORENA,431920.6968933179,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11,MORENA,410043.57139843906,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12,MORENA,424796.27704882715,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13,MORENA,381240.0937735324,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14,MORENA,396019.97823532386,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15,MORENA,367685.66780606133,False
CIUDAD DE MEXICO,CIUDAD DE MEXICO__8,CIUDAD DE MEXICO__8_v1,MORENA,525416.9345183967,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__6,CIUDAD DE MEXICO__6_v2,MORENA,483192.82982493984,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__10,CIUDAD DE MEXICO__10_v3,MORENA,431920.6968933179,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__12,CIUDAD DE MEXICO__12_v4,MORENA,424796.27704882715,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__11,CIUDAD DE MEXICO__11_v5,MORENA,410043.57139843906,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__14,CIUDAD DE MEXICO__14_v6,MORENA,396019.97823532386,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__13,CIUDAD DE MEXICO__13_v7,MORENA,381240.0937735324,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__15,CIUDAD DE MEXICO__15_v8,MORENA,367685.66780606133,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__4,CIUDAD DE MEXICO__4_v9,MORENA,339423.6204155426,True
CIUDAD DE MEXICO,CIUDAD DE MEXICO__3,CIUDAD DE MEXICO__3_v10,MORENA,310498.4536470588,True
COAHUILA,COAHUILA__4,COAHUILA__4,MORENA,128821.12170348808,False
COAHUILA,COAHUILA__7,COAHUILA__7,MORENA,185513.6469543668,False
COAHUILA,COAHUILA__9,COAHUILA__9,MORENA,143481.7386251432,False
COAHUILA,COAHUILA__10,COAHUILA__10,PRI,196878.54033201863,False
COAHUILA,COAHUILA__8,COAHUILA__8,PRI,180530.364638008,False
COAHUILA,COAHUILA__6,COAHUILA__6,PRI,91909.91737096882,False
COAHUILA,COAHUILA__2,COAHUILA__2,PRI,215350.7786007797,False
COLIMA,COLIMA__3,COLIMA__3,MORENA,15398.526315789473,False
DURANGO,DURANGO__2,DURANGO__2,MORENA,145034.05190173868,False
DURANGO,DURANGO__4,DURANGO__4,MORENA,139048.40845240807,False
DURANGO,DURANGO__1,DURANGO__1,MORENA,149046.75015239895,False
GUANAJUATO,GUANAJUATO__1,GUANAJUATO__1,PAN,209017.51469066215,False
GUANAJUATO,GUANAJUATO__2,GUANAJUATO__2,MORENA,267509.5350250732,False
GUANAJUATO,GUANAJUATO__3,GUANAJUATO__3,PAN,268920.82397658494,False
GUANAJUATO,GUANAJUATO__4,GUANAJUATO__4,MORENA,212566.28759028227,False
GUANAJUATO,GUANAJUATO__5,GUANAJUATO__5,PAN,270773.9337496422,False
GUANAJUATO,GUANAJUATO__6,GUANAJUATO__6,PAN,234134.75490823708,False
GUANAJUATO,GUANAJUATO__7,GUANAJUATO__7,PAN,226487.66097628913,False
GUANAJUATO,GUANAJUATO__8,GUANAJUATO__8,PAN,254519.9294328835,False
GUANAJUATO,GUANAJUATO__9,GUANAJUATO__9,MORENA,181252.88652290148,False
GUANAJUATO,GUANAJUATO__10,GUANAJUATO__10,MORENA,247605.88642647368,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11,MORENA,277296.7867009704,False
GUANAJUATO,GUANAJUATO__11,GUANAJUATO__11_v1,MORENA,277296.7867009704,True
GUERRERO,GUERRERO__3,GUERRERO__3,MORENA,247810.4641047073,False
GUERRERO,GUERRERO__4,GUERRERO__4,MORENA,188419.42885420605,False
GUERRERO,GUERRERO__7,GUERRERO__7,MORENA,211007.85278942937,False
GUERRERO,GUERRERO__5,GUERRERO__5,MORENA,183077.31785386323,False
GUERRERO,GUERRERO__6,GUERRERO__6,MORENA,224598.6404292502,False
GUERRERO,GUERRERO__1,GUERRERO__1,MORENA,172048.99294855224,False
HIDALGO,HIDALGO__1,HIDALGO__1,MORENA,260676.61058153206,False
HIDALGO,HIDALGO__2,HIDALGO__2,MORENA,215134.34443333984,False
HIDALGO,HIDALGO__3,HIDALGO__3,MORENA,254558.75442451634,False
HIDALGO,HIDALGO__4,HIDALGO__4,MORENA,243523.47834224976,False
HIDALGO,HIDALGO__5,HIDALGO__5,MORENA,239033.51640064194,False
HIDALGO,HIDALGO__6,HIDALGO__6,MORENA,244975.29581772006,False
HIDALGO,HIDALGO__1,HIDALGO__1_v1,MORENA,260676.61058153206,True
JALISCO,JALISCO__1,JALISCO__1,MC,296150.063848646,False
JALISCO,JALISCO__2,JALISCO__2,MORENA,267913.0047861314,False
JALISCO,JALISCO__3,JALISCO__3,MC,347480.7854156086,False
JALISCO,JALISCO__4,JALISCO__4,MORENA,211526.01398940664,False
JALISCO,JALISCO__5,JALISCO__5,MC,233138.53487292334,False
JALISCO,JALISCO__6,JALISCO__6,MORENA,278821.25308174064,False
JALISCO,JALISCO__7,JALISCO__7,MORENA,247164.79841060267,False
JALISCO,JALISCO__8,JALISCO__8,MC,302075.64552405494,False
JALISCO,JALISCO__9,JALISCO__9,MORENA,258727.33316013764,False
JALISCO,JALISCO__10,JALISCO__10,MORENA,263870.16841338517,False
JALISCO,JALISCO__11,JALISCO__11,MORENA,289154.2305301362,False
JALISCO,JALISCO__12,JALISCO__12,MC,247898.97388768004,False
JALISCO,JALISCO__13,JALISCO__13,MORENA,255213.58547238738,False
JALISCO,JALISCO__14,JALISCO__14,MORENA,217132.6086071594,False
JALISCO,JALISCO__3,JALISCO__3_v1,MC,347480.7854156086,True
JALISCO,JALISCO__8,JALISCO__8_v2,MC,302075.64552405494,True
JALISCO,JALISCO__1,JALISCO__1_v3,MC,296150.063848646,True
MEXICO,MEXICO__1,MEXICO__1,MORENA,235586.25288802746,False
MEXICO,MEXICO__2,MEXICO__2,MORENA,256427.60358654434,False
MEXICO,MEXICO__3,MEXICO__3,MORENA,326622.810092555,False
MEXICO,MEXICO__4,MEXICO__4,MORENA,285249.71428295225,False
MEXICO,MEXICO__5,MEXICO__5,MORENA,373756.027544705,False
MEXICO,MEXICO__6,MEXICO__6,MORENA,348114.9311816982,False
MEXICO,MEXICO__7,MEXICO__7,MORENA,352647.41195787024,False
MEXICO,MEXICO__8,MEXICO__8,MORENA,316901.2202741064,False
MEXICO,MEXICO__9,MEXICO__9,MORENA,374977.5016207517,False
MEXICO,MEXICO__10,MEXICO__10,MORENA,331064.45461765,False
MEXICO,MEXICO__11,MEXICO__11,MORENA,338600.9549378803,False
MEXICO,MEXICO__12,MEXICO__12,MORENA,312830.9642244256,False
MEXICO,MEXICO__13,MEXICO__13,MORENA,309417.1346734838,False
MEXICO,MEXICO__14,MEXICO__14,MORENA,263296.62015651306,False
MEXICO,MEXICO__15,MEXICO__15,MORENA,225655.49126597264,False
MEXICO,MEXICO__16,MEXICO__16,MORENA,304950.4338302023,False
MEXICO,MEXICO__17,MEXICO__17,MORENA,258190.1320594186,False
MEXICO,MEXICO__18,MEXICO__18,MORENA,417847.9060248992,False
MEXICO,MEXICO__19,MEXICO__19,MORENA,336981.35569452256,False
MEXICO,MEXICO__20,MEXICO__20,MORENA,286136.6301858395,False
MEXICO,MEXICO__21,MEXICO__21,MORENA,326631.914993571,False
MEXICO,MEXICO__22,MEXICO__22,MORENA,314532.7621909268,False
MEXICO,MEXICO__23,MEXICO__23,MORENA,204106.1158363762,False
MEXICO,MEXICO__24,MEXICO__24,MORENA,379161.15461341856,False
MEXICO,MEXICO__25,MEXICO__25,MORENA,329454.14983797714,False
MEXICO,MEXICO__26,MEXICO__26,MORENA,306563.351427712,False
MEXICO,MEXICO__18,MEXICO__18_v1,MORENA,417847.9060248992,True
MEXICO,MEXICO__24,MEXICO__24_v2,MORENA,379161.15461341856,True
MEXICO,MEXICO__9,MEXICO__9_v3,MORENA,374977.5016207517,True
MEXICO,MEXICO__5,MEXICO__5_v4,MORENA,373756.027544705,True
MEXICO,MEXICO__7,MEXICO__7_v5,MORENA,352647.41195787024,True
MEXICO,MEXICO__6,MEXICO__6_v6,MORENA,348114.9311816982,True
MEXICO,MEXICO__11,MEXICO__11_v7,MORENA,338600.9549378803,True
MEXICO,MEXICO__19,MEXICO__19_v8,MORENA,336981.35569452256,True
MEXICO,MEXICO__10,MEXICO__10_v9,MORENA,331064.45461765,True
MEXICO,MEXICO__25,MEXICO__25_v10,MORENA,329454.14983797714,True
MICHOACAN,MICHOACAN__3,MICHOACAN__3,MORENA,242955.1246186851,False
MICHOACAN,MICHOACAN__4,MICHOACAN__4,MORENA,180738.32262928144,False
MICHOACAN,MICHOACAN__8,MICHOACAN__8,MORENA,246268.3690713298,False
MICHOACAN,MICHOACAN__5,MICHOACAN__5,MORENA,208592.28879112174,False
MICHOACAN,MICHOACAN__9,MICHOACAN__9,MORENA,201249.47986944922,False
MICHOACAN,MICHOACAN__6,MICHOACAN__6,MORENA,168078.62159831662,False
MICHOACAN,MICHOACAN__1,MICHOACAN__1,MORENA,189751.3801847216,False
MICHOACAN,MICHOACAN__7,MICHOACAN__7,MORENA,229594.9867228467,False
MORELOS,MORELOS__3,MORELOS__3,MORENA,180241.82884052861,False
MORELOS,MORELOS__2,MORELOS__2,MORENA,185591.50018403895,False
MORELOS,MORELOS__4,MORELOS__4,MORENA,165059.67129701283,False
MORELOS,MORELOS__5,MORELOS__5,MORENA,196078.63608509494,False
NAYARIT,NAYARIT__4,NAYARIT__4,MORENA,126919.65341363574,False
NAYARIT,NAYARIT__3,NAYARIT__3,MORENA,140681.52817338138,False
NUEVO LEON,NUEVO LEON__1,NUEVO LEON__1,MC,183030.199738633,False
NUEVO LEON,NUEVO LEON__3,NUEVO LEON__3,MC,237028.62417470707,False
NUEVO LEON,NUEVO LEON__4,NUEVO LEON__4,MC,204873.09569444633,False
NUEVO LEON,NUEVO LEON__10,NUEVO LEON__10,MC,173509.01004573604,False
NUEVO LEON,NUEVO LEON__5,NUEVO LEON__5,MORENA,225115.28488262693,False
NUEVO LEON,NUEVO LEON__8,NUEVO LEON__8,MORENA,216133.482507748,False
NUEVO LEON,NUEVO LEON__9,NUEVO LEON__9,MORENA,184895.44899636967,False
NUEVO LEON,NUEVO LEON__2,NUEVO LEON__2,PAN,334222.9213141762,False
NUEVO LEON,NUEVO LEON__6,NUEVO LEON__6,PAN,220602.157885256,False
NUEVO LEON,NUEVO LEON__7,NUEVO LEON__7,PAN,216451.7747603007,False
OAXACA,OAXACA__1,OAXACA__1,MORENA,296575.7301665731,False
OAXACA,OAXACA__2,OAXACA__2,MORENA,197847.34213578457,False
OAXACA,OAXACA__3,OAXACA__3,MORENA,222511.76167279645,False
OAXACA,OAXACA__4,OAXACA__4,MORENA,192109.0851137481,False
OAXACA,OAXACA__5,OAXACA__5,MORENA,237858.5064153195,False
OAXACA,OAXACA__6,OAXACA__6,MORENA,228976.07152713698,False
OAXACA,OAXACA__7,OAXACA__7,MORENA,187574.3358825308,False
OAXACA,OAXACA__8,OAXACA__8,MORENA,201875.1670861105,False
PUEBLA,PUEBLA__1,PUEBLA__1,MORENA,267021.7433745314,False
PUEBLA,PUEBLA__2,PUEBLA__2,MORENA,313966.85138094996,False
PUEBLA,PUEBLA__3,PUEBLA__3,MORENA,266635.2463095692,False
PUEBLA,PUEBLA__4,PUEBLA__4,MORENA,269112.8743691586,False
PUEBLA,PUEBLA__5,PUEBLA__5,MORENA,278822.8236336125,False
PUEBLA,PUEBLA__6,PUEBLA__6,MORENA,241935.00757694102,False
PUEBLA,PUEBLA__7,PUEBLA__7,MORENA,279399.59038051683,False
PUEBLA,PUEBLA__8,PUEBLA__8,MORENA,238105.28764362226,False
PUEBLA,PUEBLA__9,PUEBLA__9,MORENA,248223.45403931715,False
PUEBLA,PUEBLA__10,PUEBLA__10,MORENA,276708.96314835374,False
PUEBLA,PUEBLA__11,PUEBLA__11,MORENA,224386.15814342728,False
PUEBLA,PUEBLA__2,PUEBLA__2_v1,MORENA,313966.85138094996,True
PUEBLA,PUEBLA__7,PUEBLA__7_v2,MORENA,279399.59038051683,True
QUERETARO,QUERETARO__2,QUERETARO__2,MORENA,219953.74087079882,False
QUERETARO,QUERETARO__5,QUERETARO__5,MORENA,218729.7194291773,False
QUERETARO,QUERETARO__4,QUERETARO__4,PAN,212151.75136184174,False
QUERETARO,QUERETARO__3,QUERETARO__3,PAN,176235.82047665224,False
QUINTANA ROO,QUINTANA ROO__4,QUINTANA ROO__4,MORENA,165807.26762535598,False
QUINTANA ROO,QUINTANA ROO__5,QUINTANA ROO__5,MORENA,160305.56178140402,False
