ESTADO,DF,PARTIDO,SWING,VOTOS_LOCAL,VOTOS_FED,RAZON,ACCION
Coahuila,1,MC,-100.0,0.0,3027.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,2,PT,1924.1494329553036,30342.0,1499.0,Swing extremo: 1924.1%,REVISAR - Posible rotación de candidatos o error
Coahuila,2,MC,-100.0,0.0,3234.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,3,PT,3797.387669801463,37298.0,957.0,Swing extremo: 3797.4%,REVISAR - Posible rotación de candidatos o error
Coahuila,3,MC,-100.0,0.0,5193.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,4,PT,1391.7665867306157,18662.0,1251.0,Swing extremo: 1391.8%,REVISAR - Posible rotación de candidatos o error
Coahuila,4,MC,-100.0,0.0,3903.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,5,PT,1059.2592592592594,12207.0,1053.0,Swing extremo: 1059.3%,REVISAR - Posible rotación de candidatos o error
Coahuila,5,MC,-100.0,0.0,1695.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,6,MC,-100.0,0.0,2082.0,Datos faltantes,EXCLUIR - Sin datos locales
Coahuila,7,PT,970.4652378463146,20478.0,1913.0,Swing muy alto: 970.5%,VERIFICAR - Cambio significativo
Coahuila,7,MC,-100.0,0.0,4363.0,Datos faltantes,EXCLUIR - Sin datos locales
México,1,PVEM,-100.0,0.0,33406.0,Datos faltantes,EXCLUIR - Sin datos locales
México,1,PT,-100.0,0.0,3194.0,Datos faltantes,EXCLUIR - Sin datos locales
México,1,MC,-100.0,0.0,7198.0,Datos faltantes,EXCLUIR - Sin datos locales
México,1,MORENA,-100.0,0.0,56218.0,Datos faltantes,EXCLUIR - Sin datos locales
México,2,PVEM,-100.0,0.0,4650.0,Datos faltantes,EXCLUIR - Sin datos locales
México,2,PT,-100.0,0.0,3228.0,Datos faltantes,EXCLUIR - Sin datos locales
México,2,MC,-100.0,0.0,7701.0,Datos faltantes,EXCLUIR - Sin datos locales
México,2,MORENA,-100.0,0.0,62767.0,Datos faltantes,EXCLUIR - Sin datos locales
México,3,PVEM,-100.0,0.0,8751.0,Datos faltantes,EXCLUIR - Sin datos locales
México,3,PT,-100.0,0.0,5190.0,Datos faltantes,EXCLUIR - Sin datos locales
México,3,MC,-100.0,0.0,16369.0,Datos faltantes,EXCLUIR - Sin datos locales
México,3,MORENA,-100.0,0.0,65138.0,Datos faltantes,EXCLUIR - Sin datos locales
México,4,PVEM,-100.0,0.0,4921.0,Datos faltantes,EXCLUIR - Sin datos locales
México,4,PT,-100.0,0.0,2296.0,Datos faltantes,EXCLUIR - Sin datos locales
México,4,MC,-100.0,0.0,6277.0,Datos faltantes,EXCLUIR - Sin datos locales
México,4,MORENA,-100.0,0.0,58273.0,Datos faltantes,EXCLUIR - Sin datos locales
México,5,PVEM,-100.0,0.0,6372.0,Datos faltantes,EXCLUIR - Sin datos locales
México,5,PT,-100.0,0.0,4734.0,Datos faltantes,EXCLUIR - Sin datos locales
México,5,MC,-100.0,0.0,3530.0,Datos faltantes,EXCLUIR - Sin datos locales
México,5,MORENA,-100.0,0.0,57276.0,Datos faltantes,EXCLUIR - Sin datos locales
México,6,PVEM,-100.0,0.0,8464.0,Datos faltantes,EXCLUIR - Sin datos locales
México,6,PT,-100.0,0.0,2090.0,Datos faltantes,EXCLUIR - Sin datos locales
México,6,MC,-100.0,0.0,7067.0,Datos faltantes,EXCLUIR - Sin datos locales
