NOMBRE_ESTADO,ENTIDAD,DF_2021,AÑO_ELECCION,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,PAN_local,PRI_local,PRD_local,PVEM_local,PT_local,MC_local,MORENA_local,PAN_fed_2021,PRI_fed_2021,PRD_fed_2021,PVEM_fed_2021,PT_fed_2021,MC_fed_2021,MORENA_fed_2021
Aguascalientes,01,1,2022,1.6686075262813662,-42.7330606737783,-44.68508837440876,-90.80214815446254,-80.60031185031184,1.4166923313828148,-9.808142061800194,63733,13582,4444,1079.0,1493.0,6586.0,43578.0,62687.0,23717.0,8034.0,11731.0,7696.0,6494.0,48317.0
Aguascalientes,01,2,2022,-41.75197154785836,-49.03436664355749,1.6809038302562689,-75.48806941431671,-63.45300524405002,48.43035179050324,7.668459041805939,37669,5146,3690,791.0,906.0,9409.0,44452.0,64670.0,10097.0,3629.0,3227.0,2479.0,6339.0,41286.0
Aguascalientes,01,3,2022,-26.069694766013484,-29.649218324648054,8.952451708766716,-69.16210768787792,-39.7081026673377,79.2368125701459,35.436245057258766,75230,9045,2933,1071.0,1198.0,12776.0,52747.0,101758.0,12857.0,2692.0,3473.0,1987.0,7128.0,38946.0
Coahuila,05,1,2023,-75.48174687711824,23.95548191903184,377.85862785862787,-62.62310276908817,56.30562013950132,-100.0,-57.90739810289438,5064,68830,4597,3226.0,19496.0,0.0,27646.0,20654.0,55528.0,962.0,8631.0,12473.0,3027.0,65679.0
Coahuila,05,2,2023,-73.03303629645728,1.3579970203172176,277.40932642487047,-77.33226837060703,1924.1494329553034,-100.0,-45.88609329605876,4963,76877,7284,2838.0,30342.0,0.0,39488.0,18404.0,75847.0,1930.0,12520.0,1499.0,3234.0,72972.0
Coahuila,05,3,2023,-73.52482453860151,25.221741348384867,146.11553784860558,90.61326658322903,3797.387669801463,-100.0,-32.88153362288453,14259,76096,2471,3046.0,37298.0,0.0,35852.0,53858.0,60769.0,1004.0,1598.0,957.0,5193.0,53416.0
Coahuila,05,4,2023,-32.069016080942376,-3.594126912443411,24.850746268656717,9.295136026380874,1391.7665867306155,-100.0,-39.140819964349376,13898,87524,1673,5303.0,18662.0,0.0,34142.0,20459.0,90787.0,1340.0,4852.0,1251.0,3903.0,56100.0
Coahuila,05,5,2023,-66.27947255386462,-5.969948116703726,135.16377649325625,173.64640883977899,1059.2592592592594,-100.0,-46.20266519502021,14602,69775,2441,4953.0,12207.0,0.0,33144.0,43303.0,74205.0,1038.0,1810.0,1053.0,1695.0,61609.0
Coahuila,05,6,2023,-40.20647583294228,-15.336461260537938,7.638603696098563,-24.11448450347881,414.01202103681436,-100.0,-42.07640692985672,12742,67487,2621,4799.0,13683.0,0.0,36343.0,21310.0,79712.0,2435.0,6324.0,2662.0,2082.0,62743.0
Coahuila,05,7,2023,-46.613043135399415,3.00263234127234,-61.53227104458394,81.85603807257584,970.4652378463146,-100.0,-38.32607868125321,6770,81781,2390,6114.0,20478.0,0.0,37264.0,12681.0,79397.0,6213.0,3362.0,1913.0,4363.0,60421.0
Durango,10,1,2022,-12.775141588856576,44.569757727652465,-35.76318968989126,-47.40338164251207,-6.596153846153846,2.13365539452496,3.3353704400150432,28492,55376,1595,4355.0,4857.0,5074.0,43963.0,32665.0,38304.0,2483.0,8280.0,5200.0,4968.0,42544.0
Durango,10,2,2022,-15.105275609179087,72.22638368705785,64.49234259784458,-67.72167797035921,-43.78673383711167,46.922094508301406,-15.834087481146305,14354,62079,2900,1285.0,1339.0,5752.0,55802.0,16908.0,36045.0,1763.0,3981.0,2382.0,3915.0,66300.0
Durango,10,3,2022,25.510252628574147,56.188404999174146,60.52241570952205,-46.40683520599251,16.184062850729518,34.16602613374328,28.861814961225242,26381,56737,8665,9158.0,5176.0,6982.0,59654.0,21019.0,36326.0,5398.0,17088.0,4455.0,5204.0,46293.0
Durango,10,4,2022,-16.495757797717143,109.6603620093553,-26.90423162583519,-53.10095065640561,31.662054370828585,-35.421138211382114,21.011545133696238,27361,51545,1641,1036.0,8088.0,9929.0,40459.0,32766.0,24585.0,2245.0,2209.0,6143.0,15375.0,33434.0
Hidalgo,13,1,2022,-13.023814571408382,-7.7693363094628625,-10.480613893376415,-63.589479112944815,23.967161016949152,44.185002245172875,52.12458745874587,12308,45039,4433,1412.0,4681.0,3211.0,88500.0,14151.0,48833.0,4952.0,3878.0,3776.0,2227.0,58176.0
Hidalgo,13,2,2022,-52.895344998349294,-0.8356456088275149,-31.618739030646687,-42.660857908847184,-0.6842456608811749,84.65182378019895,23.628819770435204,7134,30735,5065,1711.0,5951.0,3898.0,81642.0,15145.0,30994.0,7407.0,2984.0,5992.0,2111.0,66038.0
Hidalgo,13,3,2022,-28.00497589799409,-26.70660724288254,-61.81069958847737,-57.21940214326001,-4.8582995951417,87.1927554980595,1.5090857911362712,4630,30095,2784,1517.0,2585.0,4341.0,64911.0,6431.0,41061.0,7290.0,3546.0,2717.0,2319.0,63946.0
Hidalgo,13,4,2022,-37.05246712667621,-15.783664459161148,-44.53029686864579,-43.93887945670628,7.040523945968072,18.589233625033145,-0.014560544564366708,4835,31283,2728,1651.0,2615.0,4472.0,54935.0,7681.0,37146.0,4918.0,2945.0,2443.0,3771.0,54943.0
Hidalgo,13,5,2022,-40.31484620973602,-6.487792787210312,-8.26583210603829,-76.22509086351673,-21.50753768844221,-2.3322227510709186,13.762026032823997,12322,30182,4983,1897.0,2343.0,4104.0,80407.0,20645.0,32276.0,5432.0,7979.0,2985.0,4202.0,70680.0
Hidalgo,13,6,2022,-63.38446655610834,-44.11839063854377,-32.506780317706315,-33.120793482111225,13.425627817128138,-3.783078643309728,-0.6505539565508812,5299,30945,1742,1888.0,3523.0,5163.0,75594.0,14472.0,55376.0,2581.0,2823.0,3106.0,5366.0,76089.0
Hidalgo,13,7,2022,-61.867744610281925,-29.972101327976787,-55.048859934853425,-58.51272015655577,-11.818181818181818,55.188181498417165,-18.21047526673133,3679,31376,1242,1060.0,1843.0,4412.0,53968.0,9648.0,44805.0,2763.0,2555.0,2090.0,2843.0,65984.0
México,15,1,2023,-49.01608369049265,-15.209216101694913,-10.945945945945947,-100.0,-100.0,-100.0,-100.0,11063,64034,1977,0.0,0.0,0.0,0.0,21699.0,75520.0,2220.0,33406.0,3194.0,7198.0,56218.0
México,15,2,2023,-27.145797905665443,-0.32900216558387474,-70.94784509681449,-100.0,-100.0,-100.0,-100.0,8140,23933,3721,0.0,0.0,0.0,0.0,11173.0,24012.0,12808.0,4650.0,3228.0,7701.0,62767.0
México,15,3,2023,-38.728139904610494,-20.00079695033671,-3.028664142779881,-100.0,-100.0,-100.0,-100.0,5781,60229,1793,0.0,0.0,0.0,0.0,9435.0,75287.0,1849.0,8751.0,5190.0,16369.0,65138.0
México,15,4,2023,-62.44974735366798,-33.626513423407616,-13.743293437886916,-100.0,-100.0,-100.0,-100.0,10181,30261,2090,0.0,0.0,0.0,0.0,27113.0,45592.0,2423.0,4921.0,2296.0,6277.0,58273.0
México,15,5,2023,-72.90035901359543,-41.88275886600505,-36.39906469212782,-100.0,-100.0,-100.0,-100.0,9209,32677,1632,0.0,0.0,0.0,0.0,33982.0,56226.0,2566.0,6372.0,4734.0,3530.0,57276.0
