ENTIDAD,SECCION,DF_2021
01,212,3
01,23,3
01,274,3
01,238,3
01,499,2
01,500,2
01,239,3
01,501,2
01,443,1
01,148,2
01,570,2
01,339,1
01,338,1
01,571,2
01,340,1
01,341,1
01,342,1
01,343,1
01,491,2
01,344,1
01,345,1
01,96,2
01,346,1
01,356,1
01,347,1
01,348,1
01,349,1
01,351,1
01,350,1
01,492,2
01,352,1
01,353,1
01,354,1
01,355,1
01,97,2
01,357,1
01,358,1
01,359,1
01,360,1
01,361,1
01,449,1
01,362,1
01,363,1
01,364,1
01,365,1
01,366,1
01,586,2
01,367,1
01,375,1
01,127,2
01,24,3
01,369,1
01,370,1
01,128,2
01,371,1
01,372,1
01,373,1
01,374,1
01,129,2
01,376,1
01,377,1
01,378,1
01,381,1
01,382,1
01,272,3
01,379,1
01,380,1
01,130,2
01,131,2
01,383,1
01,385,1
01,388,1
01,384,1
01,132,2
01,502,2
01,386,1
01,387,1
01,450,1
01,389,1
01,391,1
01,503,2
01,390,1
01,404,1
01,504,2
01,392,1
01,393,1
01,394,1
01,395,1
01,505,2
01,396,1
01,397,1
01,398,1
01,506,2
01,399,1
01,400,1
01,402,1
01,403,1
01,405,1
01,408,1
01,409,1
01,507,2
01,508,2
01,406,1
01,407,1
01,412,1
01,410,1
01,433,1
01,411,1
01,434,1
01,435,1
01,414,1
01,415,1
01,416,1
01,417,1
01,437,1
01,418,1
01,419,1
01,420,1
01,421,1
01,422,1
01,423,1
01,424,1
01,425,1
01,438,1
01,439,1
01,426,1
01,427,1
01,440,1
01,560,2
01,428,1
01,429,1
01,441,1
01,442,1
01,430,1
01,431,1
01,432,1
01,561,2
01,444,1
01,445,1
01,446,1
01,447,1
01,562,2
01,448,1
01,563,2
01,451,1
01,452,1
01,453,1
01,454,1
01,133,2
01,455,1
01,456,1
01,457,1
01,458,1
01,460,1
01,461,1
01,462,1
01,134,2
01,564,2
01,463,1
01,467,1
01,135,2
01,464,1
01,465,1
01,472,1
01,136,2
01,466,1
01,688,1
01,468,1
01,469,1
01,470,1
01,471,1
01,565,2
01,473,1
01,474,1
01,481,1
01,689,1
01,690,1
01,475,1
01,476,1
01,488,1
01,566,2
01,477,1
01,479,1
01,480,1
01,632,1
01,633,1
01,482,1
01,483,1
01,484,1
01,485,1
01,486,1
01,634,1
01,652,1
01,653,1
01,654,1
01,655,1
01,656,1
01,567,2
01,657,1
01,658,1
01,659,1
01,660,1
01,93,2
01,94,2
01,661,1
01,684,1
01,685,1
01,686,1
01,687,1
01,95,2
01,691,1
01,64,2
01,68,2
01,69,2
01,70,2
01,78,2
01,80,2
01,84,2
01,85,2
01,87,2
01,88,2
01,89,2
01,90,2
01,91,2
01,92,2
01,568,2
01,99,2
01,100,2
01,101,2
01,102,2
01,103,2
01,104,2
01,105,2
01,106,2
01,107,2
01,108,2
01,109,2
01,146,2
01,110,2
01,111,2
01,112,2
01,113,2
01,114,2
01,115,2
01,116,2
01,117,2
01,118,2
01,119,2
01,120,2
01,121,2
01,122,2
01,123,2
01,124,2
01,125,2
01,126,2
01,137,2
01,138,2
01,139,2
01,140,2
01,141,2
01,142,2
01,143,2
01,144,2
01,145,2
01,147,2
01,149,2
01,150,2
01,151,2
01,152,2
01,153,2
01,154,2
01,157,2
01,158,2
01,159,2
01,160,2
01,316,2
01,493,2
01,494,2
01,495,2
01,496,2
01,497,2
01,498,2
01,317,2
01,489,2
01,490,2
01,509,2
01,510,2
01,511,2
01,512,2
01,513,2
01,530,2
01,531,2
01,532,2
01,533,2
01,534,2
01,548,2
01,569,2
01,549,2
01,550,2
01,551,2
01,552,2
01,553,2
01,554,2
01,555,2
01,556,2
01,557,2
01,558,2
01,559,2
01,58,3
01,572,2
01,573,2
01,574,2
01,575,2
01,584,2
01,585,2
01,576,2
01,577,2
01,578,2
01,579,2
01,580,2
01,581,2
01,582,2
01,583,2
01,587,2
01,588,2
01,590,2
01,591,2
01,592,2
01,593,2
01,594,2
01,174,3
01,595,2
01,596,2
01,597,2
01,598,2
01,599,2
01,600,2
01,643,2
01,601,2
01,602,2
01,603,2
01,604,2
01,605,2
01,606,2
01,607,2
01,608,2
01,609,2
01,610,2
01,611,2
01,612,2
01,613,2
01,614,2
01,615,2
01,616,2
01,617,2
01,635,2
01,636,2
01,644,2
01,637,2
01,638,2
01,639,2
01,640,2
01,641,2
01,642,2
01,645,2
01,662,2
01,663,2
01,664,2
01,665,2
01,666,2
01,667,2
01,668,2
01,669,2
01,670,2
01,692,2
01,693,2
01,694,2
01,695,2
01,696,2
01,175,3
01,697,2
01,698,2
01,699,2
01,700,2
01,701,2
01,702,2
01,703,2
01,704,2
01,709,2
01,705,2
01,706,2
01,707,2
01,708,2
01,8,3
01,1,3
01,2,3
01,3,3
01,4,3
01,5,3
01,6,3
01,7,3
01,9,3
01,10,3
01,11,3
01,12,3
01,13,3
01,14,3
01,15,3
01,16,3
01,17,3
01,18,3
01,19,3
01,20,3
01,21,3
01,22,3
01,25,3
01,26,3
01,27,3
01,28,3
01,29,3
01,30,3
01,31,3
01,32,3
01,33,3
01,34,3
01,35,3
01,36,3
01,37,3
01,224,3
01,38,3
01,39,3
01,40,3
01,42,3
01,43,3
01,44,3
01,45,3
01,176,3
01,46,3
01,47,3
01,48,3
01,49,3
01,50,3
01,51,3
01,52,3
01,53,3
01,54,3
01,55,3
01,56,3
01,57,3
