ENTIDAD,DISTRITO,WINNER_SIGLADO
AGUASCALIENTES,1,PAN
BAJA CALIFORNIA,1,MORENA
BAJA CALIFORNIA SUR,1,MORENA
CAMPECHE,1,MC
CHIAPAS,1,PVEM
CHIHUAHUA,1,MORENA
CIUDAD DE MÉXICO,1,MORENA
COAHUILA,1,PRI
COLIMA,1,MORENA
DURANGO,1,MORENA
GUANAJUATO,1,PAN
GUERRERO,1,MORENA
HIDALGO,1,MORENA
JALISCO,1,MORENA
MÉXICO,1,MORENA
MICHOACÁN,1,MORENA
MORELOS,1,MORENA
NAYARIT,1,MORENA
NUEVO LEÓN,1,PAN
OAXACA,1,MORENA
PUEBLA,1,MORENA
QUERÉTARO,1,MORENA
QUINTANA ROO,1,MORENA
SAN LUIS POTOSÍ,1,PVEM
SINALOA,1,MORENA
SONORA,1,MORENA
TABASCO,1,MORENA
TAMAULIPAS,1,MORENA
TLAXCALA,1,MORENA
VERACRUZ,1,MORENA
YUCATÁN,1,MORENA
ZACATECAS,1,MORENA
AGUASCALIENTES,2,PAN
BAJA CALIFORNIA,2,MORENA
BAJA CALIFORNIA SUR,2,MORENA
CAMPECHE,2,MORENA
CHIAPAS,2,MORENA
CHIHUAHUA,2,MORENA
CIUDAD DE MÉXICO,2,MORENA
COAHUILA,2,MORENA
COLIMA,2,MORENA
DURANGO,2,MORENA
GUANAJUATO,2,MORENA
GUERRERO,2,MORENA
HIDALGO,2,MORENA
JALISCO,2,MC
MÉXICO,2,MORENA
MICHOACÁN,2,MORENA
MORELOS,2,MORENA
NAYARIT,2,MORENA
NUEVO LEÓN,2,MORENA
OAXACA,2,MORENA
PUEBLA,2,MORENA
QUERÉTARO,2,MORENA
QUINTANA ROO,2,MORENA
SAN LUIS POTOSÍ,2,PVEM
SINALOA,2,MORENA
SONORA,2,MORENA
TABASCO,2,MORENA
TAMAULIPAS,2,MORENA
TLAXCALA,2,MORENA
VERACRUZ,2,MORENA
YUCATÁN,2,MORENA
ZACATECAS,2,MORENA
AGUASCALIENTES,3,PAN
BAJA CALIFORNIA,3,MORENA
CHIAPAS,3,MORENA
CHIHUAHUA,3,MORENA
CIUDAD DE MÉXICO,3,MORENA
COAHUILA,3,PRI
DURANGO,3,MORENA
GUANAJUATO,3,PAN
GUERRERO,3,MORENA
HIDALGO,3,MORENA
JALISCO,3,PAN
MÉXICO,3,MORENA
MICHOACÁN,3,MORENA
MORELOS,3,MORENA
NAYARIT,3,MORENA
NUEVO LEÓN,3,MORENA
OAXACA,3,MORENA
PUEBLA,3,MORENA
QUERÉTARO,3,PAN
QUINTANA ROO,3,MORENA
SAN LUIS POTOSÍ,3,PVEM
SINALOA,3,MORENA
SONORA,3,MORENA
TABASCO,3,MORENA
TAMAULIPAS,3,MORENA
TLAXCALA,3,MORENA
VERACRUZ,3,MORENA
YUCATÁN,3,MORENA
ZACATECAS,3,MORENA
BAJA CALIFORNIA,4,MORENA
CHIAPAS,4,MORENA
CHIHUAHUA,4,MORENA
CIUDAD DE MÉXICO,4,MORENA
COAHUILA,4,PRI
DURANGO,4,MORENA
GUANAJUATO,4,PAN
GUERRERO,4,MORENA
HIDALGO,4,MORENA
JALISCO,4,MC
MÉXICO,4,MORENA
MICHOACÁN,4,MORENA
MORELOS,4,MORENA
NUEVO LEÓN,4,PAN
OAXACA,4,MORENA
PUEBLA,4,MORENA
QUERÉTARO,4,PAN
QUINTANA ROO,4,MORENA
SAN LUIS POTOSÍ,4,MORENA
SINALOA,4,MORENA
SONORA,4,MORENA
TABASCO,4,MORENA
TAMAULIPAS,4,MORENA
VERACRUZ,4,PAN
YUCATÁN,4,PAN
ZACATECAS,4,MORENA
BAJA CALIFORNIA,5,MORENA
CHIAPAS,5,PRI
CHIHUAHUA,5,PAN
CIUDAD DE MÉXICO,5,MORENA
COAHUILA,5,PRI
GUANAJUATO,5,PAN
GUERRERO,5,MORENA
HIDALGO,5,MORENA
JALISCO,5,MORENA
MÉXICO,5,MORENA
MICHOACÁN,5,MORENA
MORELOS,5,MORENA
NUEVO LEÓN,5,MC
OAXACA,5,MORENA
PUEBLA,5,MORENA
QUERÉTARO,5,PAN
SAN LUIS POTOSÍ,5,PAN
SINALOA,5,MORENA
SONORA,5,MORENA
TABASCO,5,MORENA
TAMAULIPAS,5,MORENA
VERACRUZ,5,MORENA
YUCATÁN,5,MORENA
BAJA CALIFORNIA,6,MORENA
CHIAPAS,6,MORENA
CHIHUAHUA,6,PAN
CIUDAD DE MÉXICO,6,MORENA
COAHUILA,6,MORENA
GUANAJUATO,6,PAN
GUERRERO,6,MORENA
HIDALGO,6,MORENA
JALISCO,6,MC
MÉXICO,6,MORENA
MICHOACÁN,6,MORENA
NUEVO LEÓN,6,PAN
OAXACA,6,MORENA
PUEBLA,6,MORENA
QUERÉTARO,6,MORENA
SAN LUIS POTOSÍ,6,PVEM
SINALOA,6,MORENA
SONORA,6,MORENA
TABASCO,6,MORENA
TAMAULIPAS,6,MORENA
VERACRUZ,6,MORENA
