distrito,secciones,poblacion,poblacion_ideal,desviacion_pct,cumple_15pct,municipios,entidad_id,entidad_nombre
1,162,356611,356401,0.06,True,2,1,Estado_1
2,167,356205,356401,-0.05,True,3,1,Estado_1
3,180,356461,356401,0.02,True,3,1,Estado_1
4,113,356330,356401,-0.02,True,8,1,Estado_1
1,257,628139,628170,-0.0,True,1,2,Estado_2
2,368,628202,628170,0.01,True,2,2,Estado_2
3,331,628240,628170,0.01,True,2,2,Estado_2
4,390,628159,628170,-0.0,True,3,2,Estado_2
5,412,628108,628170,-0.01,True,3,2,Estado_2
6,258,628172,628170,0.0,True,1,2,Estado_2
1,99,266117,266149,-0.01,True,2,3,Estado_3
2,174,266123,266149,-0.01,True,1,3,Estado_3
3,211,266207,266149,0.02,True,5,3,Estado_3
1,166,309426,309454,-0.01,True,4,4,Estado_4
2,186,309385,309454,-0.02,True,7,4,Estado_4
3,180,309552,309454,0.03,True,6,4,Estado_4
1,264,629447,629354,0.01,True,6,5,Estado_5
2,413,629370,629354,0.0,True,14,5,Estado_5
3,372,629296,629354,-0.01,True,11,5,Estado_5
4,322,629348,629354,-0.0,True,13,5,Estado_5
5,330,629310,629354,-0.01,True,13,5,Estado_5
1,111,243739,243797,-0.02,True,7,6,Estado_6
2,131,243756,243797,-0.02,True,6,6,Estado_6
3,128,243896,243797,0.04,True,6,6,Estado_6
1,263,692599,692978,-0.05,True,16,7,Estado_7
2,239,692934,692978,-0.01,True,18,7,Estado_7
3,253,693007,692978,0.0,True,21,7,Estado_7
4,219,692668,692978,-0.04,True,20,7,Estado_7
5,320,693417,692978,0.06,True,18,7,Estado_7
6,283,692639,692978,-0.05,True,17,7,Estado_7
7,276,693568,692978,0.09,True,17,7,Estado_7
8,246,692996,692978,0.0,True,19,7,Estado_7
1,556,623687,623644,0.01,True,17,8,Estado_8
2,598,623618,623644,-0.0,True,10,8,Estado_8
3,486,623615,623644,-0.0,True,16,8,Estado_8
4,524,623640,623644,-0.0,True,15,8,Estado_8
5,534,623631,623644,-0.0,True,14,8,Estado_8
6,497,623678,623644,0.01,True,12,8,Estado_8
1,283,767537,767495,0.01,True,2,9,Estado_9
2,437,767436,767495,-0.01,True,1,9,Estado_9
3,463,767382,767495,-0.01,True,2,9,Estado_9
4,423,767554,767495,0.01,True,3,9,Estado_9
5,525,767609,767495,0.01,True,3,9,Estado_9
6,544,767557,767495,0.01,True,3,9,Estado_9
7,396,767488,767495,-0.0,True,4,9,Estado_9
8,518,767353,767495,-0.02,True,4,9,Estado_9
9,452,767608,767495,0.01,True,5,9,Estado_9
10,542,767530,767495,0.0,True,4,9,Estado_9
11,458,767452,767495,-0.01,True,5,9,Estado_9
12,494,767438,767495,-0.01,True,4,9,Estado_9
1,314,458156,458162,-0.0,True,10,10,Estado_10
2,414,458171,458162,0.0,True,15,10,Estado_10
3,319,458114,458162,-0.01,True,10,10,Estado_10
4,322,458209,458162,0.01,True,11,10,Estado_10
1,340,685031,685214,-0.03,True,6,11,Estado_11
2,390,685235,685214,0.0,True,5,11,Estado_11
3,353,685303,685214,0.01,True,5,11,Estado_11
4,333,685310,685214,0.01,True,6,11,Estado_11
5,371,685315,685214,0.01,True,6,11,Estado_11
6,375,685189,685214,-0.0,True,9,11,Estado_11
7,334,685332,685214,0.02,True,8,11,Estado_11
8,324,685115,685214,-0.01,True,6,11,Estado_11
9,341,685104,685214,-0.02,True,11,11,Estado_11
1,396,590091,590114,-0.0,True,13,12,Estado_12
2,480,590074,590114,-0.01,True,14,12,Estado_12
3,528,590160,590114,0.01,True,21,12,Estado_12
4,408,590081,590114,-0.01,True,17,12,Estado_12
5,410,590169,590114,0.01,True,16,12,Estado_12
6,463,590110,590114,-0.0,True,18,12,Estado_12
1,362,616498,616568,-0.01,True,15,13,Estado_13
2,347,616671,616568,0.02,True,19,13,Estado_13
3,355,616533,616568,-0.01,True,21,13,Estado_13
4,361,616576,616568,0.0,True,22,13,Estado_13
5,337,616563,616568,-0.0,True,20,13,Estado_13
1,259,758914,758922,-0.0,True,7,14,Estado_14
2,312,758970,758922,0.01,True,5,14,Estado_14
3,370,758824,758922,-0.01,True,19,14,Estado_14
4,354,758883,758922,-0.01,True,19,14,Estado_14
5,354,758901,758922,-0.0,True,15,14,Estado_14
6,355,758863,758922,-0.01,True,17,14,Estado_14
7,363,758897,758922,-0.0,True,19,14,Estado_14
8,369,758889,758922,-0.0,True,14,14,Estado_14
9,277,758912,758922,-0.0,True,12,14,Estado_14
10,260,759243,758922,0.04,True,6,14,Estado_14
11,340,758855,758922,-0.01,True,18,14,Estado_14
1,254,849716,849620,0.01,True,4,15,Estado_15
2,413,849645,849620,0.0,True,11,15,Estado_15
3,292,849680,849620,0.01,True,8,15,Estado_15
4,319,849423,849620,-0.02,True,8,15,Estado_15
5,343,849622,849620,0.0,True,11,15,Estado_15
6,334,849662,849620,0.0,True,3,15,Estado_15
7,300,849893,849620,0.03,True,13,15,Estado_15
8,359,849501,849620,-0.01,True,5,15,Estado_15
9,360,849587,849620,-0.0,True,10,15,Estado_15
10,306,849921,849620,0.04,True,11,15,Estado_15
11,299,849425,849620,-0.02,True,12,15,Estado_15
12,367,849417,849620,-0.02,True,4,15,Estado_15
13,331,849693,849620,0.01,True,12,15,Estado_15
14,296,849428,849620,-0.02,True,7,15,Estado_15
15,339,849751,849620,0.02,True,15,15,Estado_15
16,305,849704,849620,0.01,True,18,15,Estado_15
17,320,849884,849620,0.03,True,16,15,Estado_15
18,320,849466,849620,-0.02,True,17,15,Estado_15
19,385,849585,849620,-0.0,True,10,15,Estado_15
20,302,849415,849620,-0.02,True,8,15,Estado_15
1,379,678527,678406,0.02,True,15,16,Estado_16
2,412,678305,678406,-0.01,True,16,16,Estado_16
3,422,678467,678406,0.01,True,25,16,Estado_16
4,394,678438,678406,0.0,True,19,16,Estado_16
5,373,678420,678406,0.0,True,21,16,Estado_16
6,371,678338,678406,-0.01,True,21,16,Estado_16
7,352,678351,678406,-0.01,True,16,16,Estado_16
1,261,492862,492880,-0.0,True,9,17,Estado_17
2,214,492974,492880,0.02,True,14,17,Estado_17
3,243,492829,492880,-0.01,True,13,17,Estado_17
4,196,492855,492880,-0.01,True,8,17,Estado_17
