ENTIDAD_ID,ESTADO,DISTRITOS_TOTALES,PCT_MORENA,DISTRITOS_MORENA,PCT_DISTRITOS
1,AGUASCALIENTES,4,31.66555691454279,1,25.0
2,BAJA CALIFORNIA,7,54.763392331110985,4,57.14285714285714
3,BAJA CALIFORNIA SUR,3,42.997038134024436,1,33.33333333333333
4,CAMPECHE,3,42.67660828853824,1,33.33333333333333
5,CHIAPAS,6,43.002058489994575,2,33.33333333333333
6,CHIHUAHUA,3,42.774626560106285,1,33.33333333333333
7,COAHUILA,10,39.180677652291415,4,40.0
8,COLIMA,7,38.58590298956263,2,28.57142857142857
9,CIUDAD DE MEXICO,15,41.55127007366435,6,40.0
10,DURANGO,5,40.39385520728062,2,40.0
11,GUANAJUATO,11,36.016378336401154,4,36.36363636363637
12,GUERRERO,7,50.31543402045858,3,42.857142857142854
13,HIDALGO,6,48.534195028198056,3,50.0
14,JALISCO,14,31.337710665030254,4,28.57142857142857
15,MEXICO,26,42.49,12,46.15384615384615
16,MICHOACAN,9,42.49,4,44.44444444444444
17,MORELOS,5,42.64149451460652,2,40.0
18,NAYARIT,4,42.54942096080667,1,25.0
19,NUEVO LEON,10,25.792150696751687,2,20.0
20,OAXACA,8,50.91784642853906,4,50.0
21,PUEBLA,11,44.86360897264446,5,45.45454545454545
22,QUERETARO,5,42.49,2,40.0
23,QUINTANA ROO,5,48.2703069682522,2,40.0
24,SAN LUIS POTOSI,6,23.443717284631212,1,16.666666666666664
25,SINALOA,6,53.32629040916983,3,50.0
26,SONORA,6,48.16211756385862,3,50.0
27,TABASCO,5,65.0396056879494,3,60.0
28,TAMAULIPAS,7,49.17376507449586,3,42.857142857142854
29,TLAXCALA,4,41.916153847263224,1,25.0
30,VERACRUZ,13,51.10611666676629,7,53.84615384615385
31,YUCATAN,5,42.49,2,40.0
32,ZACATECAS,4,34.86776638089406,1,25.0
