escenario,mr_total,rp_total,topes,pct_votos,pct_distritos,mr_ganados,rp_ganados,total_escanos,pct_escanos,cap_aplicado,mayoria_simple,mayoria_calificada
300-100 CON TOPES,300,100,True,42.49199959870709,40,120,42,162,40.5,False,False,False
300-100 CON TOPES,300,100,True,42.49199959870709,45,135,42,177,44.25,False,False,False
300-100 CON TOPES,300,100,True,42.49199959870709,50,150,42,192,48.0,False,False,False
300-100 CON TOPES,300,100,True,42.49199959870709,55,165,36,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,60,180,21,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,65,195,6,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,70,210,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,75,225,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,80,240,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,85,255,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,90,270,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,95,285,0,201,50.24999999999999,True,True,False
300-100 CON TOPES,300,100,True,42.49199959870709,100,300,0,201,50.24999999999999,True,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,40,80,84,164,41.0,False,False,False
200-200 SIN TOPES,200,200,False,42.49199959870709,45,90,84,174,43.5,False,False,False
200-200 SIN TOPES,200,200,False,42.49199959870709,50,100,84,184,46.0,False,False,False
200-200 SIN TOPES,200,200,False,42.49199959870709,55,110,84,194,48.5,False,False,False
200-200 SIN TOPES,200,200,False,42.49199959870709,60,120,84,204,51.0,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,65,130,84,214,53.5,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,70,140,84,224,56.00000000000001,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,75,150,84,234,58.5,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,80,160,84,244,61.0,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,85,170,84,254,63.5,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,90,180,84,264,66.0,False,True,False
200-200 SIN TOPES,200,200,False,42.49199959870709,95,190,84,274,68.5,False,True,True
200-200 SIN TOPES,200,200,False,42.49199959870709,100,200,84,284,71.0,False,True,True
240-160 SIN TOPES,240,160,False,42.49199959870709,40,96,67,163,40.75,False,False,False
240-160 SIN TOPES,240,160,False,42.49199959870709,45,108,67,175,43.75,False,False,False
240-160 SIN TOPES,240,160,False,42.49199959870709,50,120,67,187,46.75,False,False,False
240-160 SIN TOPES,240,160,False,42.49199959870709,55,132,67,199,49.75,False,False,False
240-160 SIN TOPES,240,160,False,42.49199959870709,60,144,67,211,52.75,False,True,False
240-160 SIN TOPES,240,160,False,42.49199959870709,65,156,67,223,55.75,False,True,False
240-160 SIN TOPES,240,160,False,42.49199959870709,70,168,67,235,58.75,False,True,False
240-160 SIN TOPES,240,160,False,42.49199959870709,75,180,67,247,61.75000000000001,False,True,False
240-160 SIN TOPES,240,160,False,42.49199959870709,80,192,67,259,64.75,False,True,False
240-160 SIN TOPES,240,160,False,42.49199959870709,85,204,67,271,67.75,False,True,True
240-160 SIN TOPES,240,160,False,42.49199959870709,90,216,67,283,70.75,False,True,True
240-160 SIN TOPES,240,160,False,42.49199959870709,95,228,67,295,73.75,False,True,True
240-160 SIN TOPES,240,160,False,42.49199959870709,100,240,67,307,76.75,False,True,True
240-160 CON TOPES,240,160,True,42.49199959870709,40,96,67,163,40.75,False,False,False
240-160 CON TOPES,240,160,True,42.49199959870709,45,108,67,175,43.75,False,False,False
240-160 CON TOPES,240,160,True,42.49199959870709,50,120,67,187,46.75,False,False,False
240-160 CON TOPES,240,160,True,42.49199959870709,55,132,67,199,49.75,False,False,False
240-160 CON TOPES,240,160,True,42.49199959870709,60,144,57,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,65,156,45,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,70,168,33,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,75,180,21,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,80,192,9,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,85,204,0,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,90,216,0,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,95,228,0,201,50.24999999999999,True,True,False
240-160 CON TOPES,240,160,True,42.49199959870709,100,240,0,201,50.24999999999999,True,True,False
