ESCENARIO,PARTIDO,MR,PM,RP,TOTAL,PCT
ACTUAL (64 MR + 32 PM + 32 RP = 128),MC,2,5,3,10,7.8125
ACTUAL (64 MR + 32 PM + 32 RP = 128),MORENA,54,5,14,73,57.03125
ACTUAL (64 MR + 32 PM + 32 RP = 128),PAN,6,10,6,22,17.1875
ACTUAL (64 MR + 32 PM + 32 RP = 128),PRD,0,1,0,1,0.78125
ACTUAL (64 MR + 32 PM + 32 RP = 128),PRI,0,7,4,11,8.59375
ACTUAL (64 MR + 32 PM + 32 RP = 128),PT,0,0,2,2,1.5625
ACTUAL (64 MR + 32 PM + 32 RP = 128),PVEM,2,4,3,9,7.03125
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",MC,2,5,0,7,7.291666666666667
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",MORENA,54,5,0,59,61.458333333333336
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",PAN,6,10,0,16,16.666666666666664
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",PRD,0,1,0,1,1.0416666666666665
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",PRI,0,7,0,7,7.291666666666667
"PROPUESTO (64 MR + 32 PM = 96, SIN RP)",PVEM,2,4,0,6,6.25
