ENTIDAD,DISTRITO,grupo_parlamentario,VOTOS,coalicion,tipo_eleccion
AGUASCALIENTES,1,PAN,66312.04651305397,,MR
AGUASCALIENTES,2,PAN,69779.61594426147,,MR
AGUASCALIENTES,3,PAN,76258.18213727916,,MR
AGUASCALIENTES,4,PAN,58246.15540540541,,MR
BAJA CALIFORNIA,1,MORENA,87276.7278044778,,MR
BAJA CALIFORNIA,2,MORENA,111012.38884690878,,MR
BAJA CALIFORNIA,3,MORENA,88314.41985282216,,MR
BAJA CALIFORNIA,4,MORENA,121989.73883489886,,MR
BAJA CALIFORNIA,5,MORENA,131373.96133172905,,MR
BAJA CALIFORNIA,6,MORENA,85894.89394164394,,MR
BAJA CALIFORNIA,7,MORENA,86508.86938751939,,MR
BAJA CALIFORNIA SUR,1,MORENA,31042.822408077158,,MR
BAJA CALIFORNIA SUR,2,MORENA,48098.37537673297,,MR
BAJA CALIFORNIA SUR,3,MORENA,60220.80221518988,,MR
CAMPECHE,1,MORENA,55179.33220166356,,MR
CAMPECHE,2,MORENA,64155.256492955355,,MR
CAMPECHE,3,MORENA,65252.41130538109,,MR
CHIAPAS,1,MORENA,100502.55415832892,,MR
CHIAPAS,2,MORENA,77428.24325990156,,MR
CHIAPAS,3,MORENA,83469.89046007096,,MR
CHIAPAS,4,MORENA,98967.85898581272,,MR
CHIAPAS,5,MORENA,82204.43169546888,,MR
CHIAPAS,6,MORENA,91672.02144041697,,MR
CHIHUAHUA,1,MORENA,55248.142570281125,,MR
CHIHUAHUA,2,MORENA,65724.76381998582,,MR
CHIHUAHUA,3,MORENA,64239.093609733056,,MR
COAHUILA,1,MORENA,45364.5432544949,,MR
COAHUILA,2,PRI,77612.29707988864,,MR
COAHUILA,3,PRI,85203.97537972085,,MR
COAHUILA,4,PRI,92208.88103298329,,MR
COAHUILA,5,MORENA,48422.60081099559,,MR
COAHUILA,6,PRI,84913.03332591843,,MR
COAHUILA,7,PRI,48361.6329498827,,MR
COAHUILA,8,MORENA,46167.704771604156,,MR
COAHUILA,9,MORENA,56898.13415166455,,MR
COAHUILA,10,MORENA,31902.737647729446,,MR
COLIMA,1,MORENA,31401.035178151564,,MR
COLIMA,2,MORENA,6486.1578947368425,,MR
COLIMA,3,MORENA,16035.223684210527,,MR
COLIMA,4,MORENA,33098.20659251221,,MR
COLIMA,5,MORENA,6666.328947368421,,MR
COLIMA,6,MORENA,32710.047703020435,,MR
CIUDAD DE MEXICO,1,MORENA,135959.88313043633,,MR
CIUDAD DE MEXICO,2,MORENA,145205.45394097528,,MR
CIUDAD DE MEXICO,3,MORENA,119735.21811764705,,MR
CIUDAD DE MEXICO,4,MORENA,138918.68519938775,,MR
CIUDAD DE MEXICO,6,MORENA,180965.9917074199,,MR
CIUDAD DE MEXICO,7,MORENA,132844.41365605762,,MR
CIUDAD DE MEXICO,8,MORENA,223518.8329845074,,MR
CIUDAD DE MEXICO,9,PAN,194571.27159447235,,MR
CIUDAD DE MEXICO,10,MORENA,188424.71323792063,,MR
CIUDAD DE MEXICO,11,MORENA,152905.4273059121,,MR
CIUDAD DE MEXICO,12,MORENA,185260.16987448788,,MR
CIUDAD DE MEXICO,13,MORENA,176631.52762829597,,MR
CIUDAD DE MEXICO,14,MORENA,165922.61070782907,,MR
CIUDAD DE MEXICO,15,MORENA,160104.06810590415,,MR
DURANGO,1,MORENA,46265.87359087141,,MR
DURANGO,2,MORENA,71950.32773477011,,MR
DURANGO,3,MORENA,64065.546786354134,,MR
DURANGO,4,MORENA,51821.61460718665,,MR
DURANGO,5,MORENA,68469.6372808177,,MR
