ENTIDAD,DISTRITO,grupo_parlamentario,VOTOS,coalicion,tipo_eleccion
AGUASCALIENTES,1,PAN,66312.04651305397,,MR
AGUASCALIENTES,2,PAN,69779.61594426147,,MR
AGUASCALIENTES,3,PAN,76258.18213727916,,MR
AGUASCALIENTES,4,PAN,58246.15540540541,,MR
BAJA CALIFORNIA,1,MORENA,88653.67305727306,,MR
BAJA CALIFORNIA,2,MORENA,125895.97134173446,,MR
BAJA CALIFORNIA,3,MORENA,123664.8770107347,,MR
BAJA CALIFORNIA,4,MORENA,136649.89506286394,,MR
BAJA CALIFORNIA,5,MORENA,149062.9453852057,,MR
BAJA CALIFORNIA,6,MORENA,88443.63814218814,,MR
BAJA CALIFORNIA SUR,1,MORENA,31042.822408077158,,MR
BAJA CALIFORNIA SUR,2,MORENA,48098.37537673297,,MR
BAJA CALIFORNIA SUR,3,MORENA,60220.80221518988,,MR
CAMPECHE,1,MORENA,55179.33220166356,,MR
CAMPECHE,2,MORENA,64155.256492955355,,MR
CAMPECHE,3,MORENA,65252.41130538109,,MR
CHIAPAS,1,MORENA,124349.1864388922,,MR
CHIAPAS,2,MORENA,90172.8706843527,,MR
CHIAPAS,3,MORENA,63320.85215951447,,MR
CHIAPAS,4,MORENA,127077.6155954061,,MR
CHIAPAS,5,MORENA,129324.47512183455,,MR
CHIHUAHUA,1,MORENA,55248.142570281125,,MR
CHIHUAHUA,2,MORENA,65724.76381998582,,MR
CHIHUAHUA,3,MORENA,64239.093609733056,,MR
COAHUILA,1,MORENA,67540.66754766944,,MR
COAHUILA,2,PRI,63626.51569097778,,MR
COAHUILA,3,PRI,115623.16727195038,,MR
COAHUILA,4,MORENA,82053.3595954489,,MR
COAHUILA,5,MORENA,96369.41590064217,,MR
COAHUILA,6,PRI,21692.818367057127,,MR
COAHUILA,7,MORENA,95433.15933970435,,MR
COAHUILA,8,PRI,76877.04901707315,,MR
COLIMA,1,MORENA,41765.32510399711,,MR
COLIMA,2,MORENA,30889.429191535542,,MR
COLIMA,3,MORENA,30139.83780973051,,MR
COLIMA,4,MORENA,4864.618421052632,,MR
COLIMA,5,MORENA,2522.394736842105,,MR
COLIMA,6,MORENA,16215.394736842105,,MR
CIUDAD DE MEXICO,1,MORENA,159010.94173764595,,MR
CIUDAD DE MEXICO,2,MORENA,192833.34315394622,,MR
CIUDAD DE MEXICO,3,MORENA,184515.1568670133,,MR
CIUDAD DE MEXICO,4,MORENA,228777.3069672243,,MR
CIUDAD DE MEXICO,5,MORENA,60511.60105518198,,MR
CIUDAD DE MEXICO,6,MORENA,232722.1623050986,,MR
CIUDAD DE MEXICO,7,MORENA,150663.45226455812,,MR
CIUDAD DE MEXICO,8,MORENA,258634.3798228501,,MR
CIUDAD DE MEXICO,9,PAN,205234.92029940672,,MR
CIUDAD DE MEXICO,10,MORENA,226070.852451144,,MR
CIUDAD DE MEXICO,11,MORENA,166649.679496204,,MR
CIUDAD DE MEXICO,12,MORENA,210797.22318400483,,MR
DURANGO,1,MORENA,77710.5255440063,,MR
DURANGO,2,MORENA,73566.45647040704,,MR
DURANGO,3,MORENA,76537.46529876773,,MR
DURANGO,4,MORENA,74758.55268681893,,MR
GUANAJUATO,1,PAN,130623.49302255324,,MR
GUANAJUATO,2,MORENA,114960.13893463927,,MR
GUANAJUATO,3,PAN,96623.35686271098,,MR
GUANAJUATO,4,MORENA,119825.3390207779,,MR
GUANAJUATO,5,MORENA,126888.79730312702,,MR
GUANAJUATO,6,PAN,141122.52043239874,,MR
GUANAJUATO,7,PAN,132840.7349898862,,MR
