ESTADO,TOTAL_300,MORENA_300_CON,MORENA_300_SIN,TOTAL_200,MORENA_200_SIN,TOTAL_240,MORENA_240_SIN,MORENA_240_CON
AGUASCALIENTES,5,2,2,4,2,4,2,1
BAJA CALIFORNIA,9,6,8,6,5,7,6,5
BAJA CALIFORNIA SUR,3,1,2,3,2,3,2,1
CAMPECHE,4,2,2,3,2,3,2,1
CHIAPAS,8,4,5,5,3,6,4,3
CHIHUAHUA,3,1,2,3,2,3,2,1
COAHUILA,12,6,8,8,5,10,6,5
COLIMA,9,4,5,6,4,7,4,3
CIUDAD DE MEXICO,19,10,13,12,8,15,10,8
DURANGO,5,2,3,4,2,5,3,2
GUANAJUATO,14,6,8,9,5,11,6,5
GUERRERO,9,5,7,6,5,7,6,4
HIDALGO,8,5,6,5,4,6,5,3
JALISCO,18,7,9,11,5,14,7,5
MEXICO,34,18,24,20,14,26,19,14
MICHOACAN,11,6,8,7,5,9,6,5
MORELOS,6,3,4,4,2,5,3,2
NAYARIT,4,2,2,3,2,4,2,2
NUEVO LEON,13,4,5,8,3,10,4,3
OAXACA,10,6,8,6,5,8,7,5
PUEBLA,14,8,10,9,7,11,8,6
QUERETARO,6,3,4,5,3,5,3,2
QUINTANA ROO,5,3,4,4,3,5,4,3
SAN LUIS POTOSI,7,2,2,5,2,6,2,1
SINALOA,8,5,7,5,4,6,5,4
SONORA,8,4,6,5,4,6,5,3
TABASCO,6,5,6,5,5,5,5,4
TAMAULIPAS,9,5,7,6,5,7,5,4
TLAXCALA,5,2,3,3,2,4,2,2
VERACRUZ,17,11,14,11,9,13,11,8
YUCATAN,6,3,4,5,3,5,3,2
ZACATECAS,5,2,3,4,2,4,2,1
TOTAL NACIONAL,300,153,201,200,134,240,161,118
