Año,Escenario,MR_config,PM_config,RP_config,Total_Escaños,Partido,MR_escaños,PM_escaños,RP_escaños,Total_partido,Pct_partido,Es_Coalicion_4T
2021,300 MR + 100 PM,300,100,0,400,MORENA,135,23,0,158,39.5,True
2021,300 MR + 100 PM,300,100,0,400,PAN,71,24,0,95,23.75,False
2021,300 MR + 100 PM,300,100,0,400,PRI,29,37,0,66,16.5,False
2021,300 MR + 100 PM,300,100,0,400,PVEM,26,5,0,31,7.75,True
2021,300 MR + 100 PM,300,100,0,400,PT,29,0,0,29,7.25,True
2021,300 MR + 100 PM,300,100,0,400,MC,8,6,0,14,3.5,False
2021,300 MR + 100 PM,300,100,0,400,PRD,2,3,0,5,1.25,False
2021,300 MR + 100 PM,300,100,0,400,PES,0,2,0,2,0.5,False
2021,300 MR + 100 RP,300,0,100,400,MORENA,135,0,38,173,43.25,True
2021,300 MR + 100 RP,300,0,100,400,PAN,71,0,20,91,22.75,False
2021,300 MR + 100 RP,300,0,100,400,PRI,29,0,20,49,12.25,False
2021,300 MR + 100 RP,300,0,100,400,PT,29,0,4,33,8.25,True
2021,300 MR + 100 RP,300,0,100,400,PVEM,26,0,6,32,8.0,True
2021,300 MR + 100 RP,300,0,100,400,MC,8,0,8,16,4.0,False
2021,300 MR + 100 RP,300,0,100,400,PRD,2,0,4,6,1.5,False
2024,300 MR + 100 PM,300,100,0,400,MORENA,160,15,0,175,43.75,True
2024,300 MR + 100 PM,300,100,0,400,PAN,33,35,0,68,17.0,False
2024,300 MR + 100 PM,300,100,0,400,PVEM,58,9,0,67,16.75,True
2024,300 MR + 100 PM,300,100,0,400,PT,38,5,0,43,10.75,True
2024,300 MR + 100 PM,300,100,0,400,PRI,9,19,0,28,7.0,False
2024,300 MR + 100 PM,300,100,0,400,MC,1,17,0,18,4.5,False
2024,300 MR + 100 PM,300,100,0,400,PRD,1,0,0,1,0.25,False
2024,300 MR + 100 RP,300,0,100,400,MORENA,160,0,41,201,50.25,True
2024,300 MR + 100 RP,300,0,100,400,PVEM,58,0,8,66,16.5,True
2024,300 MR + 100 RP,300,0,100,400,PAN,33,0,20,53,13.25,False
2024,300 MR + 100 RP,300,0,100,400,PT,38,0,6,44,11.0,True
2024,300 MR + 100 RP,300,0,100,400,PRI,9,0,13,22,5.5,False
2024,300 MR + 100 RP,300,0,100,400,MC,1,0,12,13,3.25,False
2024,300 MR + 100 RP,300,0,100,400,PRD,1,0,0,1,0.25,False
