Año,Coalición,Partido,MR_Escaños,PM_Escaños,RP_Escaños,Total_Escaños,Porcentaje
2021,FCM,PAN,54,27,20,101,20.2
2021,FCM,PRI,25,24,20,69,13.8
2021,FCM,PRD,0,1,4,5,1.0
2021,Independiente,CI,0,0,0,0,0.0
2021,Independiente,FXM,0,0,0,0,0.0
2021,Independiente,PES,0,0,0,0,0.0
2021,Independiente,RSP,0,0,0,0,0.0
2021,MC,MC,16,5,8,29,5.8
2021,SHH,MORENA,202,36,38,276,55.2
2021,SHH,PVEM,3,7,6,16,3.2
2021,SHH,PT,0,0,4,4,0.8
2024,FCM,PAN,33,31,18,82,16.4
2024,FCM,PRI,6,11,12,29,5.8
2024,FCM,PRD,0,0,0,0,0.0
2024,Independiente,CI,0,0,0,0,0.0
2024,Independiente,FXM,0,0,0,0,0.0
2024,Independiente,PES,0,0,0,0,0.0
2024,Independiente,RSP,0,0,0,0,0.0
2024,MC,MC,10,21,12,43,8.6
2024,SHH,MORENA,245,33,43,321,64.2
2024,SHH,PVEM,6,3,9,18,3.6
2024,SHH,PT,0,1,6,7,1.4
